index,size,time,ip
0,78,1648911425.398718000,192.168.1.3
1,78,1648911425.399267000,192.168.1.3
2,-74,1648911425.406606000,18.65.110.227
3,66,1648911425.406680000,192.168.1.3
4,583,1648911425.407034000,192.168.1.3
5,-74,1648911425.410833000,18.65.110.227
6,66,1648911425.410893000,192.168.1.3
7,583,1648911425.411332000,192.168.1.3
8,-66,1648911425.418293000,18.65.110.227
9,-1468,1648911425.418296000,18.65.110.227
10,-1468,1648911425.418299000,18.65.110.227
11,-1468,1648911425.418302000,18.65.110.227
12,66,1648911425.418357000,192.168.1.3
13,66,1648911425.418445000,192.168.1.3
14,-66,1648911425.419303000,18.65.110.227
15,-1468,1648911425.419306000,18.65.110.227
16,-1468,1648911425.419309000,18.65.110.227
17,-1468,1648911425.419311000,18.65.110.227
18,66,1648911425.419395000,192.168.1.3
19,66,1648911425.419551000,192.168.1.3
20,-1115,1648911425.419830000,18.65.110.227
21,66,1648911425.419861000,192.168.1.3
22,-1115,1648911425.420778000,18.65.110.227
23,66,1648911425.420824000,192.168.1.3
24,130,1648911425.438097000,192.168.1.3
25,130,1648911425.438265000,192.168.1.3
26,66,1648911425.438353000,192.168.1.3
27,158,1648911425.438465000,192.168.1.3
28,838,1648911425.438733000,192.168.1.3
29,-66,1648911425.445264000,18.65.110.227
30,-128,1648911425.445267000,18.65.110.227
31,66,1648911425.445329000,192.168.1.3
32,97,1648911425.445639000,192.168.1.3
33,-66,1648911425.446156000,18.65.110.227
34,-66,1648911425.446158000,18.65.110.227
35,-97,1648911425.446160000,18.65.110.227
36,-66,1648911425.446167000,18.65.110.227
37,-66,1648911425.446169000,18.65.110.227
38,-66,1648911425.446171000,18.65.110.227
39,66,1648911425.446229000,192.168.1.3
40,66,1648911425.446311000,192.168.1.3
41,-66,1648911425.453419000,18.65.110.227
42,-1173,1648911425.705170000,18.65.110.227
43,-1468,1648911425.705178000,18.65.110.227
44,-1468,1648911425.705181000,18.65.110.227
45,-1468,1648911425.705183000,18.65.110.227
46,-678,1648911425.705186000,18.65.110.227
47,66,1648911425.705252000,192.168.1.3
48,-1468,1648911425.705338000,18.65.110.227
49,-1468,1648911425.705342000,18.65.110.227
50,-1468,1648911425.705346000,18.65.110.227
51,-1468,1648911425.705349000,18.65.110.227
52,-1356,1648911425.705352000,18.65.110.227
53,66,1648911425.705358000,192.168.1.3
54,66,1648911425.705408000,192.168.1.3
55,66,1648911425.707138000,192.168.1.3
56,-1468,1648911425.750275000,18.65.110.227
57,-1468,1648911425.750278000,18.65.110.227
58,-1468,1648911425.750280000,18.65.110.227
59,-1468,1648911425.750281000,18.65.110.227
60,-1468,1648911425.750283000,18.65.110.227
61,-1468,1648911425.750284000,18.65.110.227
62,-680,1648911425.750286000,18.65.110.227
63,66,1648911425.750329000,192.168.1.3
64,66,1648911425.750378000,192.168.1.3
65,-1468,1648911425.758400000,18.65.110.227
66,-1468,1648911425.758403000,18.65.110.227
67,-1468,1648911425.758404000,18.65.110.227
68,-1468,1648911425.758405000,18.65.110.227
69,-1468,1648911425.758407000,18.65.110.227
70,-1468,1648911425.758409000,18.65.110.227
71,-1468,1648911425.758410000,18.65.110.227
72,-1468,1648911425.758411000,18.65.110.227
73,66,1648911425.758458000,192.168.1.3
74,66,1648911425.758981000,192.168.1.3
75,-1468,1648911425.759276000,18.65.110.227
76,-1468,1648911425.759278000,18.65.110.227
77,-1468,1648911425.759279000,18.65.110.227
78,-795,1648911425.759281000,18.65.110.227
79,66,1648911425.759310000,192.168.1.3
80,66,1648911425.760405000,192.168.1.3
81,78,1648911425.830085000,192.168.1.3
82,-1468,1648911425.847103000,18.65.110.227
83,-1468,1648911425.847106000,18.65.110.227
84,-1291,1648911425.847107000,18.65.110.227
