index,size,time,ip
0,78,1648910376.374212000,192.168.1.3
1,78,1648910376.375053000,192.168.1.3
2,-74,1648910376.382714000,18.65.110.227
3,-74,1648910376.382723000,18.65.110.227
4,66,1648910376.382789000,192.168.1.3
5,66,1648910376.382810000,192.168.1.3
6,583,1648910376.383145000,192.168.1.3
7,583,1648910376.383510000,192.168.1.3
8,-66,1648910376.390995000,18.65.110.227
9,-66,1648910376.391007000,18.65.110.227
10,-1468,1648910376.391618000,18.65.110.227
11,-1468,1648910376.391622000,18.65.110.227
12,-1468,1648910376.391625000,18.65.110.227
13,-1468,1648910376.391634000,18.65.110.227
14,-1468,1648910376.391637000,18.65.110.227
15,-1468,1648910376.391639000,18.65.110.227
16,66,1648910376.391684000,192.168.1.3
17,66,1648910376.391707000,192.168.1.3
18,66,1648910376.391797000,192.168.1.3
19,66,1648910376.392201000,192.168.1.3
20,-1115,1648910376.393341000,18.65.110.227
21,-1115,1648910376.393351000,18.65.110.227
22,66,1648910376.393399000,192.168.1.3
23,66,1648910376.393423000,192.168.1.3
24,130,1648910376.411403000,192.168.1.3
25,130,1648910376.411586000,192.168.1.3
26,66,1648910376.411669000,192.168.1.3
27,158,1648910376.411781000,192.168.1.3
28,693,1648910376.412037000,192.168.1.3
29,-66,1648910376.418585000,18.65.110.227
30,-128,1648910376.418589000,18.65.110.227
31,66,1648910376.418667000,192.168.1.3
32,-66,1648910376.419036000,18.65.110.227
33,-66,1648910376.419041000,18.65.110.227
34,-97,1648910376.419042000,18.65.110.227
35,-66,1648910376.419057000,18.65.110.227
36,-66,1648910376.419060000,18.65.110.227
37,97,1648910376.419085000,192.168.1.3
38,66,1648910376.419133000,192.168.1.3
39,66,1648910376.419219000,192.168.1.3
40,-66,1648910376.426474000,18.65.110.227
41,-1174,1648910376.656996000,18.65.110.227
42,66,1648910376.657051000,192.168.1.3
43,-1468,1648910376.731318000,18.65.110.227
44,-1468,1648910376.731321000,18.65.110.227
45,-1468,1648910376.731322000,18.65.110.227
46,-1468,1648910376.731323000,18.65.110.227
47,-1468,1648910376.731324000,18.65.110.227
48,-1468,1648910376.731326000,18.65.110.227
49,-1468,1648910376.731327000,18.65.110.227
50,-1468,1648910376.731328000,18.65.110.227
51,66,1648910376.731368000,192.168.1.3
52,66,1648910376.731428000,192.168.1.3
53,-550,1648910376.731678000,18.65.110.227
54,66,1648910376.731708000,192.168.1.3
55,-1468,1648910376.741580000,18.65.110.227
56,-1468,1648910376.741583000,18.65.110.227
57,-1468,1648910376.741584000,18.65.110.227
58,-1468,1648910376.741585000,18.65.110.227
59,-1468,1648910376.741587000,18.65.110.227
60,-1468,1648910376.741588000,18.65.110.227
61,-680,1648910376.741590000,18.65.110.227
62,-1468,1648910376.741591000,18.65.110.227
63,66,1648910376.741619000,192.168.1.3
64,-1468,1648910376.741656000,18.65.110.227
65,-1468,1648910376.741658000,18.65.110.227
66,-1468,1648910376.741660000,18.65.110.227
67,-1468,1648910376.741662000,18.65.110.227
68,-1468,1648910376.741663000,18.65.110.227
69,-1468,1648910376.741664000,18.65.110.227
70,-1468,1648910376.741666000,18.65.110.227
71,66,1648910376.741685000,192.168.1.3
72,66,1648910376.741882000,192.168.1.3
73,-1468,1648910376.743106000,18.65.110.227
