index,size,time,ip
0,78,1649219323.021845,192.168.1.3
1,78,1649219323.022338,192.168.1.3
2,-74,1649219323.066642,13.249.146.146
3,66,1649219323.066705,192.168.1.3
4,583,1649219323.066984,192.168.1.3
5,-66,1649219323.103972,13.249.146.146
6,-1468,1649219323.103973,13.249.146.146
7,-1468,1649219323.103973,13.249.146.146
8,-1468,1649219323.103974,13.249.146.146
9,66,1649219323.104012,192.168.1.3
10,66,1649219323.104085,192.168.1.3
11,-1115,1649219323.105365,13.249.146.146
12,66,1649219323.105402,192.168.1.3
13,130,1649219323.111535,192.168.1.3
14,158,1649219323.111663,192.168.1.3
15,719,1649219323.111792,192.168.1.3
16,78,1649219323.118126,192.168.1.3
17,-66,1649219323.138259,13.249.146.146
18,-128,1649219323.13826,13.249.146.146
19,66,1649219323.138315,192.168.1.3
20,97,1649219323.138516,192.168.1.3
21,-66,1649219323.138805,13.249.146.146
22,-66,1649219323.138806,13.249.146.146
23,-97,1649219323.138806,13.249.146.146
24,66,1649219323.138867,192.168.1.3
25,-74,1649219323.14612,13.249.146.146
26,66,1649219323.146184,192.168.1.3
27,583,1649219323.146737,192.168.1.3
28,-66,1649219323.169733,13.249.146.146
29,-66,1649219323.176122,13.249.146.146
30,-1468,1649219323.176627,13.249.146.146
31,-1468,1649219323.176629,13.249.146.146
32,-1468,1649219323.17663,13.249.146.146
33,66,1649219323.176684,192.168.1.3
34,66,1649219323.176802,192.168.1.3
35,-1115,1649219323.178182,13.249.146.146
36,66,1649219323.178216,192.168.1.3
37,130,1649219323.178705,192.168.1.3
38,-66,1649219323.20826,13.249.146.146
39,-128,1649219323.208261,13.249.146.146
40,66,1649219323.208319,192.168.1.3
41,-1175,1649219323.375472,13.249.146.146
42,66,1649219323.375544,192.168.1.3
43,-1468,1649219323.375864,13.249.146.146
44,-1468,1649219323.375866,13.249.146.146
45,-1468,1649219323.375867,13.249.146.146
46,-664,1649219323.375869,13.249.146.146
47,-1468,1649219323.37587,13.249.146.146
48,-1468,1649219323.375872,13.249.146.146
49,-1468,1649219323.375873,13.249.146.146
50,-1468,1649219323.375874,13.249.146.146
51,-1356,1649219323.375876,13.249.146.146
52,66,1649219323.375931,192.168.1.3
53,66,1649219323.37765,192.168.1.3
54,-1468,1649219323.44275,13.249.146.146
55,-1468,1649219323.442751,13.249.146.146
56,66,1649219323.442803,192.168.1.3
57,66,1649219323.442861,192.168.1.3
58,-1468,1649219323.443613,13.249.146.146
59,-1468,1649219323.443614,13.249.146.146
60,66,1649219323.443639,192.168.1.3
61,66,1649219323.443712,192.168.1.3
62,-1468,1649219323.444871,13.249.146.146
63,-854,1649219323.444872,13.249.146.146
64,66,1649219323.444912,192.168.1.3
65,-1468,1649219323.451781,13.249.146.146
66,-1468,1649219323.451782,13.249.146.146
67,66,1649219323.451821,192.168.1.3
68,66,1649219323.45191,192.168.1.3
69,-1468,1649219323.453767,13.249.146.146
70,-1468,1649219323.453769,13.249.146.146
71,66,1649219323.453823,192.168.1.3
72,66,1649219323.453972,192.168.1.3
73,-1468,1649219323.454335,13.249.146.146
74,-1468,1649219323.454336,13.249.146.146
75,66,1649219323.454361,192.168.1.3
76,66,1649219323.454415,192.168.1.3
77,-1468,1649219323.456476,13.249.146.146
