index,size,time,ip
0,78,1648802730.872696000,192.168.1.3
1,78,1648802730.873137000,192.168.1.3
2,-74,1648802730.883485000,18.65.110.227
3,66,1648802730.883539000,192.168.1.3
4,583,1648802730.884225000,192.168.1.3
5,-74,1648802730.885262000,18.65.110.227
6,66,1648802730.885301000,192.168.1.3
7,583,1648802730.885531000,192.168.1.3
8,-66,1648802730.893648000,18.65.110.227
9,-1468,1648802730.893649000,18.65.110.227
10,-1468,1648802730.893650000,18.65.110.227
11,-1468,1648802730.893651000,18.65.110.227
12,66,1648802730.893689000,192.168.1.3
13,66,1648802730.893767000,192.168.1.3
14,-1115,1648802730.894591000,18.65.110.227
15,66,1648802730.894627000,192.168.1.3
16,-66,1648802730.896330000,18.65.110.227
17,-1468,1648802730.896331000,18.65.110.227
18,-1468,1648802730.896332000,18.65.110.227
19,-1468,1648802730.896333000,18.65.110.227
20,66,1648802730.896367000,192.168.1.3
21,66,1648802730.896405000,192.168.1.3
22,-1115,1648802730.898733000,18.65.110.227
23,66,1648802730.898763000,192.168.1.3
24,130,1648802730.909153000,192.168.1.3
25,130,1648802730.909323000,192.168.1.3
26,66,1648802730.909406000,192.168.1.3
27,158,1648802730.909522000,192.168.1.3
28,963,1648802730.909736000,192.168.1.3
29,-66,1648802730.919328000,18.65.110.227
30,-128,1648802730.919330000,18.65.110.227
31,-66,1648802730.919338000,18.65.110.227
32,-128,1648802730.919339000,18.65.110.227
33,66,1648802730.919389000,192.168.1.3
34,97,1648802730.919674000,192.168.1.3
35,-66,1648802730.919863000,18.65.110.227
36,-66,1648802730.919865000,18.65.110.227
37,-97,1648802730.919866000,18.65.110.227
38,-66,1648802730.919886000,18.65.110.227
39,66,1648802730.919913000,192.168.1.3
40,54,1648802730.919939000,192.168.1.3
41,-66,1648802730.931479000,18.65.110.227
42,-1171,1648802731.246599000,18.65.110.227
43,66,1648802731.246638000,192.168.1.3
44,-1468,1648802731.246876000,18.65.110.227
45,-1468,1648802731.246877000,18.65.110.227
46,-1468,1648802731.246878000,18.65.110.227
47,-1468,1648802731.246880000,18.65.110.227
48,66,1648802731.246897000,192.168.1.3
49,-1468,1648802731.247013000,18.65.110.227
50,-1468,1648802731.247015000,18.65.110.227
51,-1468,1648802731.247016000,18.65.110.227
52,-1468,1648802731.247017000,18.65.110.227
53,-543,1648802731.247018000,18.65.110.227
54,-543,1648802731.247019000,18.65.110.227
55,-1468,1648802731.247020000,18.65.110.227
