index,size,time,ip
0,78,1648804599.784728,192.168.1.3
1,78,1648804599.785187,192.168.1.3
2,-74,1648804599.796906,18.65.110.227
3,66,1648804599.79695,192.168.1.3
4,583,1648804599.797207,192.168.1.3
5,-74,1648804599.797644,18.65.110.227
6,66,1648804599.797668,192.168.1.3
7,583,1648804599.797848,192.168.1.3
8,-66,1648804599.812779,18.65.110.227
9,-1468,1648804599.812781,18.65.110.227
10,-1468,1648804599.812783,18.65.110.227
11,-1468,1648804599.812785,18.65.110.227
12,-66,1648804599.8128,18.65.110.227
13,66,1648804599.81285,192.168.1.3
14,66,1648804599.812964,192.168.1.3
15,-1468,1648804599.813355,18.65.110.227
16,-1468,1648804599.813359,18.65.110.227
17,-1468,1648804599.81336,18.65.110.227
18,66,1648804599.813413,192.168.1.3
19,66,1648804599.813495,192.168.1.3
20,-1115,1648804599.814111,18.65.110.227
21,66,1648804599.814149,192.168.1.3
22,-1115,1648804599.814742,18.65.110.227
23,66,1648804599.814777,192.168.1.3
24,130,1648804599.832618,192.168.1.3
25,130,1648804599.832786,192.168.1.3
26,66,1648804599.832869,192.168.1.3
27,158,1648804599.832987,192.168.1.3
28,829,1648804599.833246,192.168.1.3
29,-66,1648804599.843496,18.65.110.227
30,-66,1648804599.843497,18.65.110.227
31,-137,1648804599.843498,18.65.110.227
32,-66,1648804599.843503,18.65.110.227
33,66,1648804599.843535,192.168.1.3
34,-66,1648804599.844343,18.65.110.227
35,-66,1648804599.844347,18.65.110.227
36,66,1648804599.844418,192.168.1.3
37,97,1648804599.844473,192.168.1.3
38,-66,1648804599.854681,18.65.110.227
39,-1170,1648804600.143911,18.65.110.227
40,66,1648804600.143969,192.168.1.3
41,-1468,1648804600.144258,18.65.110.227
42,-1468,1648804600.14426,18.65.110.227
43,-1468,1648804600.144262,18.65.110.227
44,-1468,1648804600.144263,18.65.110.227
45,-1468,1648804600.144266,18.65.110.227
46,-1468,1648804600.144267,18.65.110.227
47,-1468,1648804600.144269,18.65.110.227
48,-1468,1648804600.144271,18.65.110.227
49,-1374,1648804600.144288,18.65.110.227
50,-1374,1648804600.144291,18.65.110.227
51,66,1648804600.144317,192.168.1.3
52,66,1648804600.144342,192.168.1.3
53,78,1648804600.144358,192.168.1.3
54,66,1648804600.145947,192.168.1.3
55,-1468,1648804600.179595,18.65.110.227
56,-1468,1648804600.179598,18.65.110.227
57,-1468,1648804600.179599,18.65.110.227
58,-1468,1648804600.1796,18.65.110.227
59,-1468,1648804600.179601,18.65.110.227
60,66,1648804600.179655,192.168.1.3
61,66,1648804600.179787,192.168.1.3
62,-1468,1648804600.180112,18.65.110.227
63,-680,1648804600.180113,18.65.110.227
64,-1468,1648804600.180114,18.65.110.227
65,-1468,1648804600.180115,18.65.110.227
66,-1468,1648804600.180116,18.65.110.227
67,-1468,1648804600.180117,18.65.110.227
68,-1468,1648804600.180118,18.65.110.227
69,66,1648804600.180149,192.168.1.3
70,66,1648804600.180352,192.168.1.3
71,-1468,1648804600.181335,18.65.110.227
72,-1468,1648804600.181337,18.65.110.227
73,-1468,1648804600.181337,18.65.110.227
74,-1468,1648804600.181339,18.65.110.227
75,-1468,1648804600.181339,18.65.110.227
76,66,1648804600.181365,192.168.1.3
77,66,1648804600.181441,192.168.1.3
78,-1468,1648804600.182406,18.65.110.227
79,-1219,1648804600.182408,18.65.110.227
80,66,1648804600.182451,192.168.1.3
81,-1468,1648804600.185286,18.65.110.227
82,-369,1648804600.185288,18.65.110.227
83,66,1648804600.185346,192.168.1.3
84,-1468,1648804600.263874,18.65.110.227
85,-1468,1648804600.263875,18.65.110.227
86,-1436,1648804600.263877,18.65.110.227
87,66,1648804600.263909,192.168.1.3
88,66,1648804600.26402,192.168.1.3
