index,size,time,ip
0,78,1649601071.50936,192.168.1.3
1,-74,1649601071.517,13.249.146.146
2,66,1649601071.517056,192.168.1.3
3,583,1649601071.51733,192.168.1.3
4,-66,1649601071.52599,13.249.146.146
5,-1468,1649601071.527315,13.249.146.146
6,-1468,1649601071.527319,13.249.146.146
7,-1468,1649601071.52732,13.249.146.146
8,66,1649601071.527401,192.168.1.3
9,66,1649601071.527704,192.168.1.3
10,-1115,1649601071.529906,13.249.146.146
11,66,1649601071.529949,192.168.1.3
12,130,1649601071.55781,192.168.1.3
13,158,1649601071.558118,192.168.1.3
14,807,1649601071.558515,192.168.1.3
15,-66,1649601071.565196,13.249.146.146
16,-66,1649601071.565198,13.249.146.146
17,-137,1649601071.565198,13.249.146.146
18,66,1649601071.565241,192.168.1.3
19,97,1649601071.565662,192.168.1.3
20,-66,1649601071.566085,13.249.146.146
21,-66,1649601071.573308,13.249.146.146
22,-184,1649601071.592961,162.125.35.134
23,66,1649601071.592993,192.168.1.3
24,198,1649601071.595404,192.168.1.3
25,-66,1649601071.720359,162.125.35.134
26,1191,1649601071.720412,192.168.1.3
27,-1171,1649601071.801555,13.249.146.146
28,-1468,1649601071.801558,13.249.146.146
29,-1468,1649601071.801559,13.249.146.146
30,-1468,1649601071.801561,13.249.146.146
31,-671,1649601071.801563,13.249.146.146
32,66,1649601071.801631,192.168.1.3
33,66,1649601071.801758,192.168.1.3
34,-1468,1649601071.815549,13.249.146.146
35,-1468,1649601071.815551,13.249.146.146
36,-1468,1649601071.815552,13.249.146.146
37,-1468,1649601071.815553,13.249.146.146
38,-1357,1649601071.815554,13.249.146.146
39,66,1649601071.815595,192.168.1.3
40,66,1649601071.815698,192.168.1.3
41,-66,1649601071.840527,162.125.35.134
42,-1468,1649601071.900176,13.249.146.146
43,-1468,1649601071.900177,13.249.146.146
44,-1468,1649601071.900178,13.249.146.146
45,-1468,1649601071.900179,13.249.146.146
46,66,1649601071.900218,192.168.1.3
47,-1468,1649601071.900296,13.249.146.146
48,-942,1649601071.900298,13.249.146.146
49,66,1649601071.90032,192.168.1.3
50,66,1649601071.900934,192.168.1.3
51,-1468,1649601071.911761,13.249.146.146
52,-1468,1649601071.911763,13.249.146.146
53,-1468,1649601071.911764,13.249.146.146
54,-1468,1649601071.911766,13.249.146.146
55,-1468,1649601071.911767,13.249.146.146
56,-1468,1649601071.911768,13.249.146.146
57,-1468,1649601071.911769,13.249.146.146
58,-1468,1649601071.91177,13.249.146.146
59,-1468,1649601071.911792,13.249.146.146
60,-1468,1649601071.911794,13.249.146.146
61,-1468,1649601071.911795,13.249.146.146
62,-1468,1649601071.911796,13.249.146.146
63,66,1649601071.911818,192.168.1.3
64,66,1649601071.911837,192.168.1.3
65,66,1649601071.911867,192.168.1.3
66,-1049,1649601071.911947,13.249.146.146
67,66,1649601071.911967,192.168.1.3
68,-1147,1649601071.912904,13.249.146.146
69,66,1649601071.912933,192.168.1.3
70,78,1649601071.940544,192.168.1.3
71,-1468,1649601071.996926,13.249.146.146
72,-1090,1649601071.996928,13.249.146.146
73,66,1649601071.996969,192.168.1.3
74,-1468,1649601071.998786,13.249.146.146
75,-1468,1649601071.998788,13.249.146.146
76,-1468,1649601071.998789,13.249.146.146
77,-1468,1649601071.99879,13.249.146.146
78,-1468,1649601071.998791,13.249.146.146
79,-1468,1649601071.998792,13.249.146.146
80,-1468,1649601071.998793,13.249.146.146
81,-1468,1649601071.998794,13.249.146.146
82,-1468,1649601071.998795,13.249.146.146
83,66,1649601071.99885,192.168.1.3
84,-1468,1649601071.999294,13.249.146.146
85,-1468,1649601071.999296,13.249.146.146
86,-1468,1649601071.999296,13.249.146.146
87,-1468,1649601071.999298,13.249.146.146
88,-647,1649601071.999298,13.249.146.146
89,66,1649601071.999321,192.168.1.3
90,66,1649601072.001502,192.168.1.3
91,-1468,1649601072.009863,13.249.146.146
92,-1468,1649601072.009866,13.249.146.146
93,-1468,1649601072.009867,13.249.146.146
94,-1468,1649601072.009868,13.249.146.146
95,-1468,1649601072.009869,13.249.146.146
96,-1468,1649601072.00987,13.249.146.146
97,-1468,1649601072.009872,13.249.146.146
98,-1468,1649601072.009873,13.249.146.146
99,-1468,1649601072.009912,13.249.146.146
100,-1468,1649601072.009914,13.249.146.146
101,-1468,1649601072.009914,13.249.146.146
102,66,1649601072.009926,192.168.1.3
103,66,1649601072.009944,192.168.1.3
104,66,1649601072.010057,192.168.1.3
105,-1468,1649601072.010406,13.249.146.146
106,-1201,1649601072.010407,13.249.146.146
107,66,1649601072.010435,192.168.1.3
108,-1468,1649601072.012602,13.249.146.146
109,-1468,1649601072.012604,13.249.146.146
110,-1468,1649601072.012605,13.249.146.146
111,-1468,1649601072.012607,13.249.146.146
112,-1468,1649601072.012617,13.249.146.146
113,-1468,1649601072.012618,13.249.146.146
114,-1468,1649601072.01262,13.249.146.146
115,-1468,1649601072.012621,13.249.146.146
116,66,1649601072.012652,192.168.1.3
117,66,1649601072.012671,192.168.1.3
118,-1468,1649601072.012683,13.249.146.146
119,-1468,1649601072.012684,13.249.146.146
120,-1468,1649601072.012685,13.249.146.146
121,-1468,1649601072.012686,13.249.146.146
122,-1291,1649601072.012687,13.249.146.146
123,66,1649601072.012702,192.168.1.3
124,66,1649601072.016885,192.168.1.3
125,-74,1649601072.071487,44.237.65.114
126,66,1649601072.071536,192.168.1.3
127,583,1649601072.071807,192.168.1.3
128,-1468,1649601072.095329,13.249.146.146
129,-1468,1649601072.095331,13.249.146.146
130,-1468,1649601072.095332,13.249.146.146
131,-1468,1649601072.095334,13.249.146.146
132,-1468,1649601072.095335,13.249.146.146
133,-1468,1649601072.095336,13.249.146.146
134,-1468,1649601072.095337,13.249.146.146
135,-1468,1649601072.095338,13.249.146.146
136,-1468,1649601072.095351,13.249.146.146
137,-1468,1649601072.095352,13.249.146.146
138,-1468,1649601072.095354,13.249.146.146
139,-1468,1649601072.095355,13.249.146.146
140,66,1649601072.095432,192.168.1.3
141,66,1649601072.095451,192.168.1.3
142,66,1649601072.095498,192.168.1.3
143,-1468,1649601072.095541,13.249.146.146
144,-1468,1649601072.095543,13.249.146.146
145,-1468,1649601072.095544,13.249.146.146
146,-1468,1649601072.095545,13.249.146.146
147,-1468,1649601072.095546,13.249.146.146
148,-1468,1649601072.095548,13.249.146.146
149,66,1649601072.095567,192.168.1.3
150,66,1649601072.095623,192.168.1.3
151,-1468,1649601072.096635,13.249.146.146
152,-506,1649601072.096637,13.249.146.146
153,-1468,1649601072.096638,13.249.146.146
154,-1468,1649601072.096639,13.249.146.146
155,-1468,1649601072.09664,13.249.146.146
156,-1468,1649601072.096641,13.249.146.146
157,-1468,1649601072.096642,13.249.146.146
158,-1468,1649601072.096643,13.249.146.146
159,66,1649601072.096671,192.168.1.3
160,-1468,1649601072.096677,13.249.146.146
161,-1468,1649601072.096679,13.249.146.146
162,-1468,1649601072.096681,13.249.146.146
163,66,1649601072.096707,192.168.1.3
164,66,1649601072.097213,192.168.1.3
165,-1468,1649601072.097995,13.249.146.146
166,-1468,1649601072.097997,13.249.146.146
167,-1468,1649601072.097998,13.249.146.146
168,-1468,1649601072.097999,13.249.146.146
169,-1468,1649601072.098,13.249.146.146
170,-1468,1649601072.098001,13.249.146.146
171,-1468,1649601072.098003,13.249.146.146
172,-1468,1649601072.098004,13.249.146.146
173,-1468,1649601072.098037,13.249.146.146
174,66,1649601072.098043,192.168.1.3
175,66,1649601072.098383,192.168.1.3
176,-1468,1649601072.098442,13.249.146.146
177,-1468,1649601072.098444,13.249.146.146
178,-1468,1649601072.098445,13.249.146.146
179,-1292,1649601072.098446,13.249.146.146
180,66,1649601072.098463,192.168.1.3
181,66,1649601072.100286,192.168.1.3
182,-1468,1649601072.108119,13.249.146.146
183,-1415,1649601072.108121,13.249.146.146
184,66,1649601072.108169,192.168.1.3
185,-66,1649601072.203553,44.237.65.114
186,-1468,1649601072.20499,44.237.65.114
187,-1468,1649601072.204991,44.237.65.114
188,-1468,1649601072.204993,44.237.65.114
189,-1305,1649601072.204993,44.237.65.114
190,66,1649601072.205025,192.168.1.3
191,66,1649601072.205076,192.168.1.3
192,192,1649601072.211747,192.168.1.3
193,165,1649601072.211901,192.168.1.3
194,650,1649601072.212044,192.168.1.3
195,-66,1649601072.350167,44.237.65.114
196,-324,1649601072.35017,44.237.65.114
197,66,1649601072.350239,192.168.1.3
198,-144,1649601072.350666,44.237.65.114
199,-236,1649601072.350668,44.237.65.114
200,-104,1649601072.350669,44.237.65.114
201,66,1649601072.350712,192.168.1.3
202,104,1649601072.351912,192.168.1.3
203,-66,1649601072.560363,44.237.65.114
204,-1468,1649601072.76497,13.249.146.146
205,-1468,1649601072.764973,13.249.146.146
206,-1468,1649601072.764976,13.249.146.146
207,-389,1649601072.764977,13.249.146.146
208,66,1649601072.765043,192.168.1.3
209,66,1649601072.765153,192.168.1.3
210,-1468,1649601072.765392,13.249.146.146
211,-1468,1649601072.765395,13.249.146.146
212,-1468,1649601072.765397,13.249.146.146
213,-1468,1649601072.765399,13.249.146.146
214,-1468,1649601072.765401,13.249.146.146
215,-1468,1649601072.765402,13.249.146.146
216,-680,1649601072.765404,13.249.146.146
217,-1468,1649601072.765406,13.249.146.146
218,-1468,1649601072.765407,13.249.146.146
219,-1468,1649601072.765409,13.249.146.146
220,-1468,1649601072.765411,13.249.146.146
221,-1468,1649601072.765412,13.249.146.146
222,-1468,1649601072.76543,13.249.146.146
223,-686,1649601072.765432,13.249.146.146
224,-1468,1649601072.765433,13.249.146.146
225,-1468,1649601072.765435,13.249.146.146
226,66,1649601072.765477,192.168.1.3
227,66,1649601072.765498,192.168.1.3
228,66,1649601072.765596,192.168.1.3
229,-1468,1649601072.765626,13.249.146.146
230,-1468,1649601072.765628,13.249.146.146
231,-1468,1649601072.76563,13.249.146.146
232,-1468,1649601072.765632,13.249.146.146
233,-1468,1649601072.765634,13.249.146.146
234,-1468,1649601072.765636,13.249.146.146
235,-1468,1649601072.765638,13.249.146.146
236,-1468,1649601072.76564,13.249.146.146
237,66,1649601072.765679,192.168.1.3
238,66,1649601072.765688,192.168.1.3
239,-1468,1649601072.765968,13.249.146.146
240,-1468,1649601072.765969,13.249.146.146
241,-1417,1649601072.765971,13.249.146.146
242,-530,1649601072.765973,13.249.146.146
243,66,1649601072.766012,192.168.1.3
244,66,1649601072.766163,192.168.1.3
245,-486,1649601073.245177,13.249.146.146
246,-385,1649601073.245179,13.249.146.146
247,66,1649601073.245259,192.168.1.3
248,-1468,1649601073.247325,13.249.146.146
249,-1468,1649601073.247327,13.249.146.146
250,-1468,1649601073.247328,13.249.146.146
251,-938,1649601073.247328,13.249.146.146
252,-1468,1649601073.247329,13.249.146.146
253,-193,1649601073.24733,13.249.146.146
254,66,1649601073.247371,192.168.1.3
255,66,1649601073.247414,192.168.1.3
256,-1468,1649601073.248294,13.249.146.146
257,-1468,1649601073.248296,13.249.146.146
258,-1468,1649601073.248297,13.249.146.146
259,-1468,1649601073.248298,13.249.146.146
260,-1468,1649601073.248299,13.249.146.146
261,-1101,1649601073.2483,13.249.146.146
262,-1468,1649601073.248301,13.249.146.146
263,-1468,1649601073.248302,13.249.146.146
264,66,1649601073.24834,192.168.1.3
265,66,1649601073.248399,192.168.1.3
266,-1468,1649601073.249286,13.249.146.146
267,-1468,1649601073.249288,13.249.146.146
268,-675,1649601073.249289,13.249.146.146
269,66,1649601073.24932,192.168.1.3
270,66,1649601073.24937,192.168.1.3
271,-1468,1649601073.260184,13.249.146.146
