index,size,time,ip
0,78,1648819656.634327000,192.168.1.3
1,78,1648819656.634786000,192.168.1.3
2,-74,1648819656.660394000,184.25.233.138
3,66,1648819656.660487000,192.168.1.3
4,583,1648819656.660832000,192.168.1.3
5,-74,1648819656.661332000,184.25.233.138
6,66,1648819656.661379000,192.168.1.3
7,583,1648819656.661726000,192.168.1.3
8,-66,1648819656.683588000,184.25.233.138
9,-1468,1648819656.684209000,184.25.233.138
10,-1468,1648819656.684211000,184.25.233.138
11,-1358,1648819656.684213000,184.25.233.138
12,-66,1648819656.684223000,184.25.233.138
13,66,1648819656.684267000,192.168.1.3
14,66,1648819656.684375000,192.168.1.3
15,-1468,1648819656.685414000,184.25.233.138
16,-1468,1648819656.685415000,184.25.233.138
17,-1358,1648819656.685417000,184.25.233.138
18,66,1648819656.685500000,192.168.1.3
19,-1188,1648819656.685814000,184.25.233.138
20,66,1648819656.685857000,192.168.1.3
21,-1188,1648819656.686710000,184.25.233.138
22,66,1648819656.686765000,192.168.1.3
23,66,1648819656.687407000,192.168.1.3
24,192,1648819656.709928000,192.168.1.3
25,192,1648819656.710340000,192.168.1.3
26,66,1648819656.710443000,192.168.1.3
27,165,1648819656.710544000,192.168.1.3
28,789,1648819656.710756000,192.168.1.3
29,-66,1648819656.725576000,184.25.233.138
30,-324,1648819656.725579000,184.25.233.138
31,-66,1648819656.725580000,184.25.233.138
32,-66,1648819656.725590000,184.25.233.138
33,-324,1648819656.725591000,184.25.233.138
34,66,1648819656.725647000,192.168.1.3
35,-143,1648819656.725997000,184.25.233.138
36,-66,1648819656.726000000,184.25.233.138
37,66,1648819656.726065000,192.168.1.3
38,104,1648819656.726375000,192.168.1.3
39,-112,1648819656.735146000,184.25.233.138
40,-97,1648819656.735150000,184.25.233.138
41,-66,1648819656.735152000,184.25.233.138
42,54,1648819656.735179000,192.168.1.3
43,54,1648819656.735191000,192.168.1.3
44,54,1648819656.735200000,192.168.1.3
45,-66,1648819656.746617000,184.25.233.138
46,-1468,1648819657.092492000,184.25.233.138
47,66,1648819657.092559000,192.168.1.3
48,-1460,1648819657.093565000,184.25.233.138
49,-1468,1648819657.093568000,184.25.233.138
50,-1460,1648819657.093570000,184.25.233.138
51,-161,1648819657.093572000,184.25.233.138
52,-1468,1648819657.093573000,184.25.233.138
53,-1460,1648819657.093575000,184.25.233.138
54,-1468,1648819657.093599000,184.25.233.138
55,-1460,1648819657.093601000,184.25.233.138
56,-1465,1648819657.093603000,184.25.233.138
57,66,1648819657.093699000,192.168.1.3
58,66,1648819657.093861000,192.168.1.3
59,-1468,1648819657.121915000,184.25.233.138
60,66,1648819657.121973000,192.168.1.3
61,-1460,1648819657.124351000,184.25.233.138
62,66,1648819657.124399000,192.168.1.3
63,-1468,1648819657.125084000,184.25.233.138
64,66,1648819657.125123000,192.168.1.3
65,-1460,1648819657.125901000,184.25.233.138
66,66,1648819657.125936000,192.168.1.3
67,-1468,1648819657.127247000,184.25.233.138
68,66,1648819657.127291000,192.168.1.3
69,-1468,1648819657.128461000,184.25.233.138
70,66,1648819657.128502000,192.168.1.3
71,66,1648819657.130052000,192.168.1.3
72,-949,1648819657.130852000,184.25.233.138
73,66,1648819657.130892000,192.168.1.3
74,-1468,1648819657.157046000,184.25.233.138
75,66,1648819657.157083000,192.168.1.3
76,-1468,1648819657.170959000,184.25.233.138
77,66,1648819657.170996000,192.168.1.3
78,-1468,1648819657.171917000,184.25.233.138
79,66,1648819657.172414000,192.168.1.3
80,-1468,1648819657.174024000,184.25.233.138
81,-1468,1648819657.175214000,184.25.233.138
82,66,1648819657.175252000,192.168.1.3
83,-1468,1648819657.177682000,184.25.233.138
84,66,1648819657.177769000,192.168.1.3
85,-1468,1648819657.178746000,184.25.233.138
86,66,1648819657.179006000,192.168.1.3
87,-1468,1648819657.181263000,184.25.233.138
88,-1468,1648819657.183383000,184.25.233.138
89,66,1648819657.183408000,192.168.1.3
90,-1468,1648819657.187515000,184.25.233.138
91,66,1648819657.188076000,192.168.1.3
92,-1468,1648819657.189112000,184.25.233.138
93,66,1648819657.191391000,192.168.1.3
94,-1468,1648819657.223560000,184.25.233.138
95,-74,1648819657.224601000,184.25.233.138
96,66,1648819657.224622000,192.168.1.3
97,78,1648819657.237968000,192.168.1.3
98,-1468,1648819657.276176000,184.25.233.138
99,-1460,1648819657.277399000,184.25.233.138
100,66,1648819657.277439000,192.168.1.3
101,-266,1648819657.278721000,184.25.233.138
102,66,1648819657.282273000,192.168.1.3
103,-1468,1648819657.284589000,184.25.233.138
104,-1460,1648819657.285293000,184.25.233.138
105,66,1648819657.285322000,192.168.1.3
106,-1468,1648819657.288560000,184.25.233.138
107,-1460,1648819657.289658000,184.25.233.138
108,66,1648819657.289692000,192.168.1.3
