index,size,time,ip
0,-184,1649185433.634733,162.125.35.134
1,66,1649185433.63879,192.168.1.3
2,194,1649185433.67029,192.168.1.3
3,78,1649185433.732852,192.168.1.3
4,78,1649185433.733361,192.168.1.3
5,-74,1649185433.740246,13.249.146.146
6,66,1649185433.740307,192.168.1.3
7,583,1649185433.740582,192.168.1.3
8,-74,1649185433.741345,13.249.146.146
9,66,1649185433.74137,192.168.1.3
10,583,1649185433.741536,192.168.1.3
11,-66,1649185433.748789,13.249.146.146
12,-1468,1649185433.74879,13.249.146.146
13,-1468,1649185433.748791,13.249.146.146
14,-1468,1649185433.748791,13.249.146.146
15,66,1649185433.748835,192.168.1.3
16,66,1649185433.748918,192.168.1.3
17,-66,1649185433.750674,13.249.146.146
18,-1115,1649185433.750679,13.249.146.146
19,66,1649185433.750716,192.168.1.3
20,-1468,1649185433.752384,13.249.146.146
21,-1468,1649185433.752385,13.249.146.146
22,-1468,1649185433.752386,13.249.146.146
23,66,1649185433.752425,192.168.1.3
24,66,1649185433.752549,192.168.1.3
25,-1115,1649185433.753267,13.249.146.146
26,66,1649185433.753297,192.168.1.3
27,130,1649185433.769034,192.168.1.3
28,130,1649185433.769292,192.168.1.3
29,66,1649185433.769494,192.168.1.3
30,158,1649185433.76966,192.168.1.3
31,730,1649185433.769937,192.168.1.3
32,-66,1649185433.775895,13.249.146.146
33,-128,1649185433.775895,13.249.146.146
34,66,1649185433.77593,192.168.1.3
35,97,1649185433.776083,192.168.1.3
36,-66,1649185433.777434,13.249.146.146
37,-66,1649185433.777434,13.249.146.146
38,-97,1649185433.777435,13.249.146.146
39,-66,1649185433.77744,13.249.146.146
40,-66,1649185433.777441,13.249.146.146
41,-66,1649185433.777441,13.249.146.146
42,66,1649185433.777476,192.168.1.3
43,66,1649185433.777526,192.168.1.3
44,-66,1649185433.783794,13.249.146.146
45,-66,1649185433.788733,162.125.35.134
46,1113,1649185433.788797,192.168.1.3
47,-66,1649185433.906946,162.125.35.134
48,-1172,1649185433.981715,13.249.146.146
49,66,1649185433.981786,192.168.1.3
50,-1468,1649185433.982191,13.249.146.146
51,-1468,1649185433.982194,13.249.146.146
52,-1468,1649185433.982195,13.249.146.146
53,-658,1649185433.982196,13.249.146.146
54,66,1649185433.982278,192.168.1.3
55,66,1649185433.983706,192.168.1.3
56,-1468,1649185433.989574,13.249.146.146
57,-1468,1649185433.989575,13.249.146.146
58,-1468,1649185433.989576,13.249.146.146
59,-1468,1649185433.989577,13.249.146.146
60,-1356,1649185433.989578,13.249.146.146
61,66,1649185433.989634,192.168.1.3
62,66,1649185433.990106,192.168.1.3
63,-1468,1649185434.079075,13.249.146.146
64,-1468,1649185434.079076,13.249.146.146
65,-1468,1649185434.079077,13.249.146.146
66,-1468,1649185434.079078,13.249.146.146
67,-1468,1649185434.079079,13.249.146.146
68,-1468,1649185434.07908,13.249.146.146
69,-680,1649185434.07908,13.249.146.146
70,66,1649185434.079125,192.168.1.3
71,66,1649185434.079479,192.168.1.3
72,-1468,1649185434.086889,13.249.146.146
73,-1468,1649185434.08689,13.249.146.146
74,-1468,1649185434.086892,13.249.146.146
75,-1468,1649185434.086892,13.249.146.146
76,-1468,1649185434.086893,13.249.146.146
77,-1468,1649185434.086894,13.249.146.146
78,-1468,1649185434.086895,13.249.146.146
79,-1468,1649185434.086896,13.249.146.146
80,66,1649185434.086929,192.168.1.3
81,-1468,1649185434.086931,13.249.146.146
82,-1468,1649185434.086932,13.249.146.146
83,66,1649185434.086944,192.168.1.3
84,-1468,1649185434.087947,13.249.146.146
85,-1196,1649185434.087948,13.249.146.146
86,66,1649185434.087967,192.168.1.3
87,66,1649185434.088602,192.168.1.3
88,78,1649185434.110552,192.168.1.3
89,-397,1649185434.127177,13.249.146.146
90,66,1649185434.127226,192.168.1.3
91,-1468,1649185434.1754,13.249.146.146
92,-1468,1649185434.175402,13.249.146.146
93,-428,1649185434.175402,13.249.146.146
94,66,1649185434.175453,192.168.1.3
95,66,1649185434.175579,192.168.1.3
96,-1468,1649185434.176199,13.249.146.146
97,-1468,1649185434.1762,13.249.146.146
98,-1468,1649185434.176201,13.249.146.146
99,-1468,1649185434.176204,13.249.146.146
100,-1468,1649185434.176205,13.249.146.146
101,-1468,1649185434.176206,13.249.146.146
102,-1468,1649185434.176206,13.249.146.146
103,-1468,1649185434.176207,13.249.146.146
104,66,1649185434.176255,192.168.1.3
105,-1443,1649185434.176311,13.249.146.146
106,-1468,1649185434.176311,13.249.146.146
107,-1468,1649185434.176312,13.249.146.146
