index,size,time,ip
0,78,1649177095.300368,192.168.1.3
1,78,1649177095.300856,192.168.1.3
2,-74,1649177095.319117,18.65.110.227
3,-74,1649177095.319118,18.65.110.227
4,66,1649177095.319177,192.168.1.3
5,66,1649177095.31919,192.168.1.3
6,583,1649177095.31942,192.168.1.3
7,583,1649177095.319615,192.168.1.3
8,-66,1649177095.339486,18.65.110.227
9,-1468,1649177095.339488,18.65.110.227
10,-1468,1649177095.339489,18.65.110.227
11,-66,1649177095.339501,18.65.110.227
12,-1468,1649177095.339502,18.65.110.227
13,-1468,1649177095.339503,18.65.110.227
14,-1468,1649177095.339505,18.65.110.227
15,66,1649177095.33956,192.168.1.3
16,66,1649177095.339595,192.168.1.3
17,-1468,1649177095.339834,18.65.110.227
18,66,1649177095.339881,192.168.1.3
19,66,1649177095.340239,192.168.1.3
20,-1115,1649177095.34109,18.65.110.227
21,-1115,1649177095.341096,18.65.110.227
22,66,1649177095.341132,192.168.1.3
23,66,1649177095.341154,192.168.1.3
24,130,1649177095.356347,192.168.1.3
25,130,1649177095.356641,192.168.1.3
26,66,1649177095.356796,192.168.1.3
27,158,1649177095.356913,192.168.1.3
28,737,1649177095.357199,192.168.1.3
29,-66,1649177095.377283,18.65.110.227
30,-128,1649177095.377284,18.65.110.227
31,-66,1649177095.377284,18.65.110.227
32,-97,1649177095.377286,18.65.110.227
33,-66,1649177095.377294,18.65.110.227
34,-128,1649177095.377295,18.65.110.227
35,66,1649177095.377357,192.168.1.3
36,66,1649177095.377379,192.168.1.3
37,97,1649177095.377731,192.168.1.3
38,-66,1649177095.377815,18.65.110.227
39,-66,1649177095.377829,18.65.110.227
40,54,1649177095.377862,192.168.1.3
41,-66,1649177095.399692,18.65.110.227
42,-1175,1649177095.63823,18.65.110.227
43,66,1649177095.638286,192.168.1.3
44,-1468,1649177095.638572,18.65.110.227
45,-1468,1649177095.638574,18.65.110.227
46,-1468,1649177095.638576,18.65.110.227
47,-1468,1649177095.638577,18.65.110.227
48,-1468,1649177095.638579,18.65.110.227
49,-1468,1649177095.63858,18.65.110.227
50,-1468,1649177095.638582,18.65.110.227
51,-1468,1649177095.638583,18.65.110.227
52,-1397,1649177095.638585,18.65.110.227
53,66,1649177095.638638,192.168.1.3
54,-1397,1649177095.639666,18.65.110.227
55,78,1649177095.639723,192.168.1.3
56,66,1649177095.640346,192.168.1.3
