index,size,time,ip
0,78,1648808319.681737000,192.168.1.3
1,78,1648808319.682641000,192.168.1.3
2,-74,1648808319.726584000,162.219.225.115
3,66,1648808319.726670000,192.168.1.3
4,583,1648808319.727075000,192.168.1.3
5,-74,1648808319.727541000,162.219.225.115
6,66,1648808319.727586000,192.168.1.3
7,583,1648808319.728834000,192.168.1.3
8,-66,1648808319.766338000,162.219.225.115
9,-66,1648808319.766345000,162.219.225.115
10,-1464,1648808319.769153000,162.219.225.115
11,-1464,1648808319.769155000,162.219.225.115
12,-1464,1648808319.769157000,162.219.225.115
13,-1396,1648808319.769160000,162.219.225.115
14,66,1648808319.769209000,192.168.1.3
15,66,1648808319.769319000,192.168.1.3
16,-1464,1648808319.771448000,162.219.225.115
17,-1464,1648808319.771452000,162.219.225.115
18,-1464,1648808319.771453000,162.219.225.115
19,-1396,1648808319.771456000,162.219.225.115
20,66,1648808319.771506000,192.168.1.3
21,66,1648808319.771576000,192.168.1.3
22,130,1648808319.778186000,192.168.1.3
23,130,1648808319.778317000,192.168.1.3
24,66,1648808319.778406000,192.168.1.3
25,158,1648808319.778453000,192.168.1.3
26,871,1648808319.778579000,192.168.1.3
27,-66,1648808319.805279000,162.219.225.115
28,-66,1648808319.805280000,162.219.225.115
29,-125,1648808319.805281000,162.219.225.115
30,-66,1648808319.805286000,162.219.225.115
31,66,1648808319.805320000,192.168.1.3
32,97,1648808319.805418000,192.168.1.3
33,-66,1648808319.805587000,162.219.225.115
34,-90,1648808319.805588000,162.219.225.115
35,-66,1648808319.805592000,162.219.225.115
36,-66,1648808319.807004000,162.219.225.115
37,54,1648808319.807019000,192.168.1.3
38,-66,1648808319.830204000,162.219.225.115
39,-965,1648808320.039768000,162.219.225.115
40,66,1648808320.039802000,192.168.1.3
41,-1464,1648808320.040912000,162.219.225.115
42,-1464,1648808320.040915000,162.219.225.115
43,-1464,1648808320.040916000,162.219.225.115
44,-1464,1648808320.040917000,162.219.225.115
45,-1464,1648808320.040918000,162.219.225.115
46,-1464,1648808320.040920000,162.219.225.115
