index,size,time,ip
0,78,1648888017.097152000,192.168.1.3
1,-74,1648888017.113203000,18.65.110.227
2,66,1648888017.113268000,192.168.1.3
3,583,1648888017.113542000,192.168.1.3
4,-66,1648888017.128647000,18.65.110.227
5,-1468,1648888017.128649000,18.65.110.227
6,-1468,1648888017.128652000,18.65.110.227
7,-1468,1648888017.128653000,18.65.110.227
8,66,1648888017.128716000,192.168.1.3
9,66,1648888017.128769000,192.168.1.3
10,-1115,1648888017.131002000,18.65.110.227
11,66,1648888017.131035000,192.168.1.3
12,130,1648888017.155294000,192.168.1.3
13,158,1648888017.155615000,192.168.1.3
14,789,1648888017.156052000,192.168.1.3
15,-66,1648888017.167680000,18.65.110.227
16,-128,1648888017.167682000,18.65.110.227
17,-66,1648888017.167684000,18.65.110.227
18,-97,1648888017.167684000,18.65.110.227
19,66,1648888017.167721000,192.168.1.3
20,66,1648888017.167736000,192.168.1.3
21,97,1648888017.167861000,192.168.1.3
22,-66,1648888017.168874000,18.65.110.227
23,-66,1648888017.180789000,18.65.110.227
24,-1173,1648888017.503541000,18.65.110.227
25,66,1648888017.503603000,192.168.1.3
26,-1468,1648888017.503899000,18.65.110.227
27,-1468,1648888017.503902000,18.65.110.227
28,-1468,1648888017.503905000,18.65.110.227
29,-667,1648888017.503908000,18.65.110.227
30,-667,1648888017.503910000,18.65.110.227
31,66,1648888017.503964000,192.168.1.3
32,78,1648888017.503990000,192.168.1.3
33,66,1648888017.505288000,192.168.1.3
34,-1468,1648888017.521040000,18.65.110.227
35,-1468,1648888017.521043000,18.65.110.227
36,-1468,1648888017.521045000,18.65.110.227
37,-1468,1648888017.521047000,18.65.110.227
38,66,1648888017.521098000,192.168.1.3
39,66,1648888017.521557000,192.168.1.3
40,-1468,1648888017.521849000,18.65.110.227
41,-1468,1648888017.521851000,18.65.110.227
42,-680,1648888017.521852000,18.65.110.227
43,66,1648888017.521880000,192.168.1.3
44,66,1648888017.526247000,192.168.1.3
45,-1468,1648888017.592957000,18.65.110.227
46,-1468,1648888017.592959000,18.65.110.227
47,-1468,1648888017.592960000,18.65.110.227
48,-1468,1648888017.592962000,18.65.110.227
49,66,1648888017.592993000,192.168.1.3
50,66,1648888017.593033000,192.168.1.3
51,-1468,1648888017.594073000,18.65.110.227
52,-1468,1648888017.594075000,18.65.110.227
53,-1468,1648888017.594076000,18.65.110.227
54,-1468,1648888017.594078000,18.65.110.227
55,66,1648888017.594102000,192.168.1.3
56,66,1648888017.594138000,192.168.1.3
57,-1468,1648888017.594458000,18.65.110.227
58,-1468,1648888017.594459000,18.65.110.227
59,-1468,1648888017.594461000,18.65.110.227
60,-1050,1648888017.594462000,18.65.110.227
61,66,1648888017.594480000,192.168.1.3
62,66,1648888017.594507000,192.168.1.3
63,-1468,1648888017.595488000,18.65.110.227
64,-1468,1648888017.595490000,18.65.110.227
65,-1468,1648888017.595491000,18.65.110.227
66,-1468,1648888017.595492000,18.65.110.227
67,66,1648888017.595513000,192.168.1.3
68,-1423,1648888017.596252000,18.65.110.227
69,66,1648888017.596275000,192.168.1.3
70,66,1648888017.596596000,192.168.1.3
71,-397,1648888017.626170000,18.65.110.227
72,66,1648888017.626208000,192.168.1.3
73,-1468,1648888017.635849000,18.65.110.227
