index,size,time,ip
0,78,1648793909.753549000,192.168.1.3
1,78,1648793909.759408000,192.168.1.3
2,-74,1648793909.774128000,18.65.110.227
3,66,1648793909.774185000,192.168.1.3
4,583,1648793909.774471000,192.168.1.3
5,-74,1648793909.780681000,18.65.110.227
6,66,1648793909.780723000,192.168.1.3
7,583,1648793909.781005000,192.168.1.3
8,-66,1648793909.798448000,18.65.110.227
9,-1468,1648793909.798450000,18.65.110.227
10,-1468,1648793909.798451000,18.65.110.227
11,-1468,1648793909.798453000,18.65.110.227
12,66,1648793909.798495000,192.168.1.3
13,66,1648793909.798548000,192.168.1.3
14,-1115,1648793909.799433000,18.65.110.227
15,66,1648793909.799457000,192.168.1.3
16,-66,1648793909.807782000,18.65.110.227
17,-1468,1648793909.809594000,18.65.110.227
18,-1468,1648793909.809596000,18.65.110.227
19,-1468,1648793909.809597000,18.65.110.227
20,66,1648793909.809974000,192.168.1.3
21,66,1648793909.810018000,192.168.1.3
22,-1115,1648793909.811000000,18.65.110.227
23,66,1648793909.811037000,192.168.1.3
24,130,1648793909.823960000,192.168.1.3
25,130,1648793909.824211000,192.168.1.3
26,66,1648793909.824317000,192.168.1.3
27,158,1648793909.824467000,192.168.1.3
28,700,1648793909.824764000,192.168.1.3
29,-66,1648793909.856162000,18.65.110.227
30,-66,1648793909.856164000,18.65.110.227
31,-137,1648793909.856165000,18.65.110.227
32,-66,1648793909.856174000,18.65.110.227
33,-128,1648793909.856175000,18.65.110.227
34,66,1648793909.856230000,192.168.1.3
35,97,1648793909.856523000,192.168.1.3
36,-66,1648793909.856705000,18.65.110.227
37,-66,1648793909.856729000,18.65.110.227
38,54,1648793909.856773000,192.168.1.3
39,-66,1648793909.889502000,18.65.110.227
40,-1171,1648793910.088979000,18.65.110.227
41,66,1648793910.089045000,192.168.1.3
42,-1468,1648793910.090560000,18.65.110.227
43,-1468,1648793910.090565000,18.65.110.227
44,-1468,1648793910.090566000,18.65.110.227
45,-1468,1648793910.090568000,18.65.110.227
46,66,1648793910.090642000,192.168.1.3
47,-1468,1648793910.090770000,18.65.110.227
48,-1468,1648793910.090772000,18.65.110.227
49,-1468,1648793910.090775000,18.65.110.227
50,-1468,1648793910.090776000,18.65.110.227
51,-568,1648793910.090778000,18.65.110.227
52,66,1648793910.090834000,192.168.1.3
53,66,1648793910.091015000,192.168.1.3
54,-1468,1648793910.173408000,18.65.110.227
55,-1468,1648793910.173410000,18.65.110.227
56,-1468,1648793910.173411000,18.65.110.227
57,-1468,1648793910.173412000,18.65.110.227
58,-1468,1648793910.173413000,18.65.110.227
59,-1468,1648793910.173414000,18.65.110.227
60,66,1648793910.173445000,192.168.1.3
61,66,1648793910.173594000,192.168.1.3
62,-1468,1648793910.174968000,18.65.110.227
63,-1468,1648793910.174970000,18.65.110.227
64,-1468,1648793910.174971000,18.65.110.227
65,66,1648793910.175007000,192.168.1.3
66,66,1648793910.175352000,192.168.1.3
67,-1468,1648793910.176433000,18.65.110.227
68,-1468,1648793910.176434000,18.65.110.227
69,-1468,1648793910.176435000,18.65.110.227
70,66,1648793910.176470000,192.168.1.3
71,-1468,1648793910.176715000,18.65.110.227
72,-1468,1648793910.176717000,18.65.110.227
73,-1468,1648793910.176718000,18.65.110.227
74,66,1648793910.176743000,192.168.1.3
75,66,1648793910.177038000,192.168.1.3
76,-1468,1648793910.177326000,18.65.110.227
77,-1468,1648793910.177327000,18.65.110.227
78,66,1648793910.177345000,192.168.1.3
79,-1468,1648793910.177420000,18.65.110.227
80,66,1648793910.177433000,192.168.1.3
81,-549,1648793910.177739000,18.65.110.227
82,66,1648793910.177767000,192.168.1.3
83,66,1648793910.178078000,192.168.1.3
84,78,1648793910.222093000,192.168.1.3
85,-403,1648793910.234769000,18.65.110.227
86,66,1648793910.234810000,192.168.1.3
87,-1468,1648793910.238314000,18.65.110.227
88,-1468,1648793910.238315000,18.65.110.227
89,-252,1648793910.238317000,18.65.110.227
90,66,1648793910.238356000,192.168.1.3
91,66,1648793910.238441000,192.168.1.3
92,-1468,1648793910.248700000,18.65.110.227
93,-1468,1648793910.248701000,18.65.110.227
94,-1468,1648793910.248702000,18.65.110.227
95,-626,1648793910.248703000,18.65.110.227
96,-1468,1648793910.248704000,18.65.110.227
97,66,1648793910.248741000,192.168.1.3
98,66,1648793910.248826000,192.168.1.3
99,-1468,1648793910.249230000,18.65.110.227
100,-936,1648793910.249232000,18.65.110.227
101,66,1648793910.249253000,192.168.1.3
102,-1468,1648793910.250534000,18.65.110.227
103,-1468,1648793910.250536000,18.65.110.227
104,-1468,1648793910.250537000,18.65.110.227
105,66,1648793910.250564000,192.168.1.3
106,66,1648793910.250645000,192.168.1.3
107,-1468,1648793910.251661000,18.65.110.227
108,-1468,1648793910.251662000,18.65.110.227
109,-1468,1648793910.251663000,18.65.110.227
110,66,1648793910.251684000,192.168.1.3
111,66,1648793910.251751000,192.168.1.3
112,-1468,1648793910.252726000,18.65.110.227
113,-1468,1648793910.252727000,18.65.110.227
114,-1468,1648793910.252729000,18.65.110.227
115,66,1648793910.252750000,192.168.1.3
116,66,1648793910.252816000,192.168.1.3
117,-1468,1648793910.253855000,18.65.110.227
118,-1468,1648793910.253857000,18.65.110.227
119,-1468,1648793910.253858000,18.65.110.227
120,66,1648793910.253883000,192.168.1.3
121,66,1648793910.254268000,192.168.1.3
122,-1468,1648793910.254681000,18.65.110.227
123,-1468,1648793910.254682000,18.65.110.227
124,-1468,1648793910.254683000,18.65.110.227
125,66,1648793910.254696000,192.168.1.3
126,66,1648793910.254724000,192.168.1.3
127,-1468,1648793910.255946000,18.65.110.227
128,-1468,1648793910.255948000,18.65.110.227
129,-1468,1648793910.255949000,18.65.110.227
130,66,1648793910.255969000,192.168.1.3
131,66,1648793910.256035000,192.168.1.3
132,-1468,1648793910.257848000,18.65.110.227
133,-1468,1648793910.257849000,18.65.110.227
134,-1330,1648793910.257850000,18.65.110.227
135,66,1648793910.257878000,192.168.1.3
136,66,1648793910.258083000,192.168.1.3
137,-1468,1648793910.329513000,18.65.110.227
138,-1468,1648793910.329516000,18.65.110.227
139,-1468,1648793910.329517000,18.65.110.227
140,-1468,1648793910.329518000,18.65.110.227
141,-1468,1648793910.329519000,18.65.110.227
142,66,1648793910.329557000,192.168.1.3
143,66,1648793910.329676000,192.168.1.3
144,-1468,1648793910.330546000,18.65.110.227
145,66,1648793910.330589000,192.168.1.3
146,-1468,1648793910.330864000,18.65.110.227
147,-1468,1648793910.330865000,18.65.110.227
148,-1468,1648793910.330866000,18.65.110.227
149,66,1648793910.330882000,192.168.1.3
150,66,1648793910.330905000,192.168.1.3
151,-1468,1648793910.332138000,18.65.110.227
152,-1468,1648793910.332140000,18.65.110.227
153,-1084,1648793910.332141000,18.65.110.227
