index,size,time,ip
0,78,1648809312.426726000,192.168.1.3
1,78,1648809312.427447000,192.168.1.3
2,-74,1648809312.435106000,162.219.225.115
3,-74,1648809312.435114000,162.219.225.115
4,66,1648809312.435179000,192.168.1.3
5,66,1648809312.435200000,192.168.1.3
6,583,1648809312.435575000,192.168.1.3
7,583,1648809312.435858000,192.168.1.3
8,-66,1648809312.480715000,162.219.225.115
9,-66,1648809312.482128000,162.219.225.115
10,-1464,1648809312.484168000,162.219.225.115
11,66,1648809312.484210000,192.168.1.3
12,-1464,1648809312.485057000,162.219.225.115
13,66,1648809312.485096000,192.168.1.3
14,-1464,1648809312.486945000,162.219.225.115
15,-1396,1648809312.486947000,162.219.225.115
16,66,1648809312.486971000,192.168.1.3
17,-1464,1648809312.488366000,162.219.225.115
18,66,1648809312.488390000,192.168.1.3
19,-1464,1648809312.489886000,162.219.225.115
20,-1464,1648809312.489887000,162.219.225.115
21,66,1648809312.489912000,192.168.1.3
22,-1396,1648809312.490352000,162.219.225.115
23,66,1648809312.490373000,192.168.1.3
24,130,1648809312.501950000,192.168.1.3
25,130,1648809312.502074000,192.168.1.3
26,66,1648809312.502164000,192.168.1.3
27,158,1648809312.502210000,192.168.1.3
28,831,1648809312.502372000,192.168.1.3
29,-1396,1648809312.509372000,162.219.225.115
30,78,1648809312.509409000,192.168.1.3
31,-1396,1648809312.511878000,162.219.225.115
32,78,1648809312.511914000,192.168.1.3
33,-66,1648809312.524161000,162.219.225.115
34,-66,1648809312.524163000,162.219.225.115
35,-66,1648809312.524171000,162.219.225.115
36,66,1648809312.524263000,192.168.1.3
37,-66,1648809312.525325000,162.219.225.115
38,-66,1648809312.525333000,162.219.225.115
39,-90,1648809312.525334000,162.219.225.115
40,-66,1648809312.525335000,162.219.225.115
41,-125,1648809312.533622000,162.219.225.115
42,66,1648809312.533679000,192.168.1.3
43,97,1648809312.533880000,192.168.1.3
44,-78,1648809312.534874000,162.219.225.115
45,54,1648809312.534902000,192.168.1.3
46,-78,1648809312.547470000,162.219.225.115
47,54,1648809312.547498000,192.168.1.3
