index,size,time,ip
0,78,1649189158.498921,192.168.1.3
1,78,1649189158.499682,192.168.1.3
2,-74,1649189158.506738,18.65.110.227
3,66,1649189158.506786,192.168.1.3
4,583,1649189158.507032,192.168.1.3
5,-74,1649189158.507246,18.65.110.227
6,66,1649189158.507271,192.168.1.3
7,583,1649189158.507457,192.168.1.3
8,-66,1649189158.518168,18.65.110.227
9,-1468,1649189158.518169,18.65.110.227
10,-1468,1649189158.518169,18.65.110.227
11,-1468,1649189158.51817,18.65.110.227
12,-66,1649189158.518179,18.65.110.227
13,-1468,1649189158.518179,18.65.110.227
14,-1468,1649189158.51818,18.65.110.227
15,-1468,1649189158.518181,18.65.110.227
16,66,1649189158.518228,192.168.1.3
17,66,1649189158.518245,192.168.1.3
18,66,1649189158.518463,192.168.1.3
19,66,1649189158.518792,192.168.1.3
20,-1115,1649189158.519726,18.65.110.227
21,-1115,1649189158.519732,18.65.110.227
22,66,1649189158.519765,192.168.1.3
23,66,1649189158.519781,192.168.1.3
24,130,1649189158.544206,192.168.1.3
25,130,1649189158.544471,192.168.1.3
26,66,1649189158.544649,192.168.1.3
27,158,1649189158.544816,192.168.1.3
28,825,1649189158.545161,192.168.1.3
29,-66,1649189158.551531,18.65.110.227
30,-128,1649189158.551532,18.65.110.227
31,-66,1649189158.551533,18.65.110.227
32,-66,1649189158.55154,18.65.110.227
33,-128,1649189158.55154,18.65.110.227
34,-97,1649189158.551544,18.65.110.227
35,66,1649189158.55158,192.168.1.3
36,66,1649189158.551659,192.168.1.3
37,97,1649189158.551918,192.168.1.3
38,-66,1649189158.55246,18.65.110.227
39,-66,1649189158.552467,18.65.110.227
40,54,1649189158.552482,192.168.1.3
41,-66,1649189158.559484,18.65.110.227
42,-1171,1649189158.784423,18.65.110.227
43,66,1649189158.784485,192.168.1.3
44,-1468,1649189158.784626,18.65.110.227
45,-1468,1649189158.784627,18.65.110.227
46,-1468,1649189158.784629,18.65.110.227
47,-1468,1649189158.78463,18.65.110.227
48,-1468,1649189158.784631,18.65.110.227
49,-1468,1649189158.784633,18.65.110.227
50,-1468,1649189158.784635,18.65.110.227
51,-1468,1649189158.784636,18.65.110.227
52,-566,1649189158.784638,18.65.110.227
53,66,1649189158.784718,192.168.1.3
54,66,1649189158.786172,192.168.1.3
55,-1468,1649189158.860255,18.65.110.227
56,-1468,1649189158.860256,18.65.110.227
57,-1468,1649189158.860257,18.65.110.227
58,-1468,1649189158.860257,18.65.110.227
59,-1468,1649189158.860258,18.65.110.227
60,-1468,1649189158.860259,18.65.110.227
61,-680,1649189158.860259,18.65.110.227
62,-1468,1649189158.86026,18.65.110.227
63,-1468,1649189158.860261,18.65.110.227
64,-1468,1649189158.860261,18.65.110.227
65,-1468,1649189158.860262,18.65.110.227
66,-1468,1649189158.860262,18.65.110.227
67,-1468,1649189158.860263,18.65.110.227
68,-1468,1649189158.860264,18.65.110.227
69,-1468,1649189158.860264,18.65.110.227
70,-1468,1649189158.860265,18.65.110.227
71,-1468,1649189158.860265,18.65.110.227
72,-1468,1649189158.86028,18.65.110.227
73,-1050,1649189158.860281,18.65.110.227
74,66,1649189158.86031,192.168.1.3
75,66,1649189158.860324,192.168.1.3
76,66,1649189158.860347,192.168.1.3
77,66,1649189158.860471,192.168.1.3
78,-281,1649189158.862093,18.65.110.227
79,66,1649189158.86213,192.168.1.3
80,-397,1649189158.904373,18.65.110.227
81,66,1649189158.904429,192.168.1.3
82,78,1649189158.914518,192.168.1.3
83,-1468,1649189158.9468,18.65.110.227
84,-1468,1649189158.946801,18.65.110.227
85,-1468,1649189158.946801,18.65.110.227
86,-1468,1649189158.946802,18.65.110.227
87,-833,1649189158.946803,18.65.110.227
88,66,1649189158.946861,192.168.1.3
89,66,1649189158.947044,192.168.1.3
90,-1468,1649189158.956634,18.65.110.227
91,-1468,1649189158.956635,18.65.110.227
92,-1468,1649189158.956636,18.65.110.227
93,-1468,1649189158.956637,18.65.110.227
94,-1468,1649189158.956637,18.65.110.227
95,-1468,1649189158.956638,18.65.110.227
96,-1468,1649189158.956638,18.65.110.227
97,-632,1649189158.956639,18.65.110.227
98,66,1649189158.95668,192.168.1.3
99,-1468,1649189158.956715,18.65.110.227
100,-1468,1649189158.956716,18.65.110.227
101,-1468,1649189158.956717,18.65.110.227
102,-1468,1649189158.956718,18.65.110.227
103,-1468,1649189158.956718,18.65.110.227
104,-1468,1649189158.956719,18.65.110.227
105,-680,1649189158.95672,18.65.110.227
106,66,1649189158.956779,192.168.1.3
107,66,1649189158.956788,192.168.1.3
108,66,1649189158.956847,192.168.1.3
109,-1468,1649189158.957771,18.65.110.227
110,-1468,1649189158.957772,18.65.110.227
111,-1468,1649189158.957772,18.65.110.227
112,-1468,1649189158.957773,18.65.110.227
113,-1468,1649189158.957774,18.65.110.227
114,-1468,1649189158.957775,18.65.110.227
115,-1468,1649189158.957775,18.65.110.227
116,-1468,1649189158.957776,18.65.110.227
117,66,1649189158.957801,192.168.1.3
118,66,1649189158.957842,192.168.1.3
119,-1468,1649189158.958617,18.65.110.227
120,-1468,1649189158.958618,18.65.110.227
121,-1468,1649189158.958619,18.65.110.227
122,-1084,1649189158.958619,18.65.110.227
123,66,1649189158.958647,192.168.1.3
124,66,1649189158.958716,192.168.1.3
125,-1468,1649189159.001824,18.65.110.227
126,-1468,1649189159.001825,18.65.110.227
127,-1468,1649189159.001826,18.65.110.227
128,66,1649189159.00186,192.168.1.3
129,-1468,1649189159.001879,18.65.110.227
130,-1468,1649189159.00188,18.65.110.227
131,-1468,1649189159.001881,18.65.110.227
132,-1468,1649189159.001882,18.65.110.227
133,-1468,1649189159.001883,18.65.110.227
134,66,1649189159.001898,192.168.1.3
135,66,1649189159.001976,192.168.1.3
136,-1468,1649189159.003486,18.65.110.227
137,-399,1649189159.003487,18.65.110.227
138,66,1649189159.003531,192.168.1.3
139,-74,1649189159.044309,35.160.181.77
140,66,1649189159.044356,192.168.1.3
141,583,1649189159.044598,192.168.1.3
142,-1468,1649189159.053944,18.65.110.227
143,-1468,1649189159.053945,18.65.110.227
144,-1468,1649189159.053946,18.65.110.227
145,-1468,1649189159.053947,18.65.110.227
146,-1468,1649189159.053948,18.65.110.227
147,-1468,1649189159.053948,18.65.110.227
148,-1468,1649189159.053949,18.65.110.227
149,-1468,1649189159.05395,18.65.110.227
150,-1468,1649189159.053964,18.65.110.227
151,-1468,1649189159.053964,18.65.110.227
152,-1468,1649189159.053965,18.65.110.227
153,-1050,1649189159.053966,18.65.110.227
154,66,1649189159.053995,192.168.1.3
155,66,1649189159.054013,192.168.1.3
156,66,1649189159.054091,192.168.1.3
157,-1468,1649189159.054767,18.65.110.227
158,-1468,1649189159.054768,18.65.110.227
159,-1468,1649189159.054768,18.65.110.227
160,-1468,1649189159.054769,18.65.110.227
161,-1468,1649189159.05477,18.65.110.227
162,-1468,1649189159.054771,18.65.110.227
163,-1468,1649189159.054771,18.65.110.227
164,-1468,1649189159.054772,18.65.110.227
165,66,1649189159.0548,192.168.1.3
166,66,1649189159.05487,192.168.1.3
167,-1468,1649189159.05603,18.65.110.227
168,-1468,1649189159.056031,18.65.110.227
169,-1468,1649189159.056031,18.65.110.227
170,-1468,1649189159.056032,18.65.110.227
171,66,1649189159.056065,192.168.1.3
172,-1468,1649189159.056252,18.65.110.227
173,-1468,1649189159.056253,18.65.110.227
174,-1468,1649189159.056254,18.65.110.227
175,-1468,1649189159.056255,18.65.110.227
176,66,1649189159.05628,192.168.1.3
177,66,1649189159.056594,192.168.1.3
178,-1468,1649189159.057086,18.65.110.227
179,-1468,1649189159.057087,18.65.110.227
180,-1468,1649189159.057088,18.65.110.227
181,-1468,1649189159.057088,18.65.110.227
182,-1468,1649189159.05709,18.65.110.227
183,-1468,1649189159.05709,18.65.110.227
184,-1468,1649189159.057091,18.65.110.227
185,-1468,1649189159.057096,18.65.110.227
186,66,1649189159.057128,192.168.1.3
187,66,1649189159.057274,192.168.1.3
188,-1468,1649189159.057499,18.65.110.227
189,-1468,1649189159.057501,18.65.110.227
190,-1468,1649189159.057501,18.65.110.227
191,-1468,1649189159.057502,18.65.110.227
192,-1468,1649189159.057503,18.65.110.227
193,-1468,1649189159.057504,18.65.110.227
194,-1468,1649189159.057505,18.65.110.227
195,-599,1649189159.057505,18.65.110.227
196,66,1649189159.057529,192.168.1.3
197,66,1649189159.057777,192.168.1.3
198,-1026,1649189159.058215,18.65.110.227
199,66,1649189159.058577,192.168.1.3
200,-1468,1649189159.075515,18.65.110.227
201,-327,1649189159.075516,18.65.110.227
202,66,1649189159.075558,192.168.1.3
203,-296,1649189159.085351,18.65.110.227
204,66,1649189159.085405,192.168.1.3
205,-66,1649189159.175788,35.160.181.77
206,-1468,1649189159.177612,35.160.181.77
207,-1468,1649189159.177613,35.160.181.77
208,-1468,1649189159.177613,35.160.181.77
209,-1305,1649189159.177614,35.160.181.77
210,66,1649189159.177652,192.168.1.3
211,66,1649189159.181937,192.168.1.3
212,192,1649189159.198169,192.168.1.3
213,165,1649189159.198366,192.168.1.3
214,651,1649189159.19853,192.168.1.3
215,-1261,1649189159.308978,18.65.110.227
216,-1468,1649189159.308979,18.65.110.227
217,-767,1649189159.30898,18.65.110.227
218,66,1649189159.30911,192.168.1.3
219,-1468,1649189159.310254,18.65.110.227
220,-1468,1649189159.310256,18.65.110.227
221,-1468,1649189159.310257,18.65.110.227
222,-1468,1649189159.310258,18.65.110.227
223,-1468,1649189159.310259,18.65.110.227
224,-1242,1649189159.31026,18.65.110.227
225,66,1649189159.310906,192.168.1.3
226,-1468,1649189159.320827,18.65.110.227
227,-1468,1649189159.320828,18.65.110.227
228,-1468,1649189159.320829,18.65.110.227
229,-1468,1649189159.320829,18.65.110.227
230,-1468,1649189159.32083,18.65.110.227
231,-1468,1649189159.320831,18.65.110.227
232,-1468,1649189159.32084,18.65.110.227
233,-1468,1649189159.320841,18.65.110.227
234,-1468,1649189159.320874,18.65.110.227
235,-1468,1649189159.320875,18.65.110.227
236,-1468,1649189159.320875,18.65.110.227
237,-1076,1649189159.320876,18.65.110.227
238,66,1649189159.320881,192.168.1.3
239,66,1649189159.320934,192.168.1.3
240,66,1649189159.32104,192.168.1.3
241,-1468,1649189159.321408,18.65.110.227
242,-1468,1649189159.321408,18.65.110.227
243,-1468,1649189159.321409,18.65.110.227
244,-898,1649189159.321409,18.65.110.227
245,66,1649189159.321442,192.168.1.3
246,-324,1649189159.328298,35.160.181.77
247,-135,1649189159.328299,35.160.181.77
248,-104,1649189159.328299,35.160.181.77
249,66,1649189159.328348,192.168.1.3
250,66,1649189159.328365,192.168.1.3
251,104,1649189159.328783,192.168.1.3
252,-237,1649189159.331594,35.160.181.77
253,-104,1649189159.331595,35.160.181.77
254,66,1649189159.331637,192.168.1.3
255,-1255,1649189159.34649,18.65.110.227
256,66,1649189159.346632,192.168.1.3
257,-66,1649189159.499005,35.160.181.77
258,915,1649189159.54059,192.168.1.3
259,-66,1649189159.547893,18.65.110.227
260,206,1649189159.672802,192.168.1.3
261,837,1649189159.672932,192.168.1.3
262,-66,1649189159.680009,18.65.110.227
263,-66,1649189159.68001,18.65.110.227
264,-1468,1649189159.737895,18.65.110.227
265,-1468,1649189159.737896,18.65.110.227
266,-1468,1649189159.737896,18.65.110.227
267,-475,1649189159.737897,18.65.110.227
268,-97,1649189159.737897,18.65.110.227
269,66,1649189159.73797,192.168.1.3
270,-445,1649189159.757049,18.65.110.227
271,66,1649189159.757107,192.168.1.3
272,-1468,1649189159.758811,18.65.110.227
273,-1468,1649189159.758812,18.65.110.227
274,-1468,1649189159.758813,18.65.110.227
275,-1468,1649189159.758813,18.65.110.227
276,-1468,1649189159.758814,18.65.110.227
277,-1468,1649189159.758814,18.65.110.227
278,-1468,1649189159.758815,18.65.110.227
279,-1468,1649189159.758815,18.65.110.227
280,-351,1649189159.758816,18.65.110.227
281,66,1649189159.758872,192.168.1.3
282,66,1649189159.758944,192.168.1.3
283,-1468,1649189159.759987,18.65.110.227
284,-1468,1649189159.759988,18.65.110.227
285,-1468,1649189159.759989,18.65.110.227
286,-162,1649189159.759989,18.65.110.227
287,66,1649189159.760034,192.168.1.3
288,-1468,1649189159.771361,18.65.110.227
289,-1468,1649189159.771362,18.65.110.227
290,-1468,1649189159.771362,18.65.110.227
291,-1468,1649189159.771363,18.65.110.227
292,-1468,1649189159.771363,18.65.110.227
293,-1468,1649189159.771364,18.65.110.227
294,-1468,1649189159.771365,18.65.110.227
295,-1468,1649189159.771365,18.65.110.227
296,-1468,1649189159.771366,18.65.110.227
297,-1468,1649189159.771366,18.65.110.227
298,-1468,1649189159.771367,18.65.110.227
299,-1468,1649189159.771367,18.65.110.227
300,-1468,1649189159.771368,18.65.110.227
