index,size,time,ip
0,78,1649200359.788298,192.168.1.3
1,78,1649200359.788792,192.168.1.3
2,78,1649200359.8185,192.168.1.3
3,78,1649200359.818516,192.168.1.3
4,-74,1649200359.824827,18.65.110.227
5,-74,1649200359.824833,18.65.110.227
6,66,1649200359.824888,192.168.1.3
7,66,1649200359.824905,192.168.1.3
8,583,1649200359.825193,192.168.1.3
9,583,1649200359.825442,192.168.1.3
10,-74,1649200359.855124,18.65.110.227
11,-74,1649200359.85513,18.65.110.227
12,66,1649200359.855168,192.168.1.3
13,66,1649200359.855182,192.168.1.3
14,-66,1649200359.862692,18.65.110.227
15,-66,1649200359.862696,18.65.110.227
16,-1468,1649200359.862697,18.65.110.227
17,-1468,1649200359.862698,18.65.110.227
18,66,1649200359.862734,192.168.1.3
19,-1468,1649200359.863903,18.65.110.227
20,-1468,1649200359.863905,18.65.110.227
21,-1468,1649200359.863905,18.65.110.227
22,-1468,1649200359.863911,18.65.110.227
23,66,1649200359.86394,192.168.1.3
24,66,1649200359.863954,192.168.1.3
25,66,1649200359.864045,192.168.1.3
26,-1115,1649200359.865681,18.65.110.227
27,-1115,1649200359.86569,18.65.110.227
28,66,1649200359.865782,192.168.1.3
29,66,1649200359.865828,192.168.1.3
30,130,1649200359.873505,192.168.1.3
31,130,1649200359.873716,192.168.1.3
32,66,1649200359.873823,192.168.1.3
33,158,1649200359.873956,192.168.1.3
34,802,1649200359.874171,192.168.1.3
35,-66,1649200359.911057,18.65.110.227
36,-128,1649200359.911059,18.65.110.227
37,-66,1649200359.91106,18.65.110.227
38,66,1649200359.911116,192.168.1.3
39,97,1649200359.911354,192.168.1.3
40,-66,1649200359.912038,18.65.110.227
41,-97,1649200359.912038,18.65.110.227
42,-66,1649200359.912045,18.65.110.227
43,-66,1649200359.912046,18.65.110.227
44,-66,1649200359.912046,18.65.110.227
45,66,1649200359.912091,192.168.1.3
46,66,1649200359.912175,192.168.1.3
47,-66,1649200359.958522,18.65.110.227
