index,size,time,ip
0,78,1649171204.884038,192.168.1.3
1,78,1649171204.884632,192.168.1.3
2,-74,1649171204.892698,18.65.110.227
3,-74,1649171204.892707,18.65.110.227
4,66,1649171204.892793,192.168.1.3
5,66,1649171204.892819,192.168.1.3
6,583,1649171204.89314,192.168.1.3
7,583,1649171204.893453,192.168.1.3
8,-66,1649171204.903872,18.65.110.227
9,-1468,1649171204.903873,18.65.110.227
10,-1468,1649171204.903874,18.65.110.227
11,-1468,1649171204.903876,18.65.110.227
12,-66,1649171204.903891,18.65.110.227
13,-1468,1649171204.903891,18.65.110.227
14,-1468,1649171204.903893,18.65.110.227
15,-1468,1649171204.903894,18.65.110.227
16,66,1649171204.903952,192.168.1.3
17,66,1649171204.903989,192.168.1.3
18,66,1649171204.904078,192.168.1.3
19,-1115,1649171204.904351,18.65.110.227
20,-1115,1649171204.904362,18.65.110.227
21,66,1649171204.904412,192.168.1.3
22,66,1649171204.904437,192.168.1.3
23,66,1649171204.905957,192.168.1.3
24,130,1649171204.923249,192.168.1.3
25,130,1649171204.92342,192.168.1.3
26,66,1649171204.923506,192.168.1.3
27,158,1649171204.92374,192.168.1.3
28,718,1649171204.924114,192.168.1.3
29,-66,1649171204.930338,18.65.110.227
30,-128,1649171204.930338,18.65.110.227
31,66,1649171204.930431,192.168.1.3
32,-66,1649171204.930997,18.65.110.227
33,-97,1649171204.930997,18.65.110.227
34,-66,1649171204.931005,18.65.110.227
35,-66,1649171204.931006,18.65.110.227
36,-66,1649171204.931006,18.65.110.227
37,66,1649171204.931048,192.168.1.3
38,66,1649171204.931129,192.168.1.3
39,97,1649171204.931398,192.168.1.3
40,-66,1649171204.933123,18.65.110.227
41,-66,1649171204.940386,18.65.110.227
42,-1173,1649171205.169231,18.65.110.227
43,66,1649171205.169304,192.168.1.3
44,-1468,1649171205.169572,18.65.110.227
45,-1468,1649171205.169574,18.65.110.227
46,-1468,1649171205.169575,18.65.110.227
47,-1468,1649171205.169577,18.65.110.227
48,-1468,1649171205.169578,18.65.110.227
49,-1468,1649171205.16958,18.65.110.227
50,-1468,1649171205.169581,18.65.110.227
51,-1468,1649171205.169582,18.65.110.227
52,-564,1649171205.169584,18.65.110.227
53,66,1649171205.16964,192.168.1.3
54,66,1649171205.171716,192.168.1.3
55,-1468,1649171205.242813,18.65.110.227
56,-1468,1649171205.242813,18.65.110.227
57,-1468,1649171205.242814,18.65.110.227
58,-1468,1649171205.242815,18.65.110.227
59,-1468,1649171205.242816,18.65.110.227
60,-1468,1649171205.242816,18.65.110.227
61,-680,1649171205.242817,18.65.110.227
62,-1468,1649171205.242818,18.65.110.227
63,66,1649171205.242853,192.168.1.3
64,-1468,1649171205.242883,18.65.110.227
65,-1468,1649171205.242884,18.65.110.227
66,-1468,1649171205.242885,18.65.110.227
67,-1468,1649171205.242885,18.65.110.227
68,-1468,1649171205.242886,18.65.110.227
69,-1468,1649171205.242887,18.65.110.227
70,66,1649171205.242912,192.168.1.3
71,66,1649171205.243447,192.168.1.3
72,-1468,1649171205.245608,18.65.110.227
73,-1468,1649171205.245609,18.65.110.227
74,-1468,1649171205.24561,18.65.110.227
75,-1468,1649171205.24561,18.65.110.227
76,-1050,1649171205.245612,18.65.110.227
77,66,1649171205.245651,192.168.1.3
78,66,1649171205.245716,192.168.1.3
79,-501,1649171205.245965,18.65.110.227
80,66,1649171205.245986,192.168.1.3
81,-404,1649171205.28308,18.65.110.227
82,66,1649171205.283123,192.168.1.3
83,78,1649171205.306472,192.168.1.3
84,-1468,1649171205.331593,18.65.110.227
85,-1468,1649171205.331594,18.65.110.227
86,-1468,1649171205.331595,18.65.110.227
87,-1468,1649171205.331595,18.65.110.227
88,-600,1649171205.331596,18.65.110.227
89,66,1649171205.331629,192.168.1.3
90,66,1649171205.331679,192.168.1.3
91,-1468,1649171205.340445,18.65.110.227
92,-531,1649171205.340446,18.65.110.227
93,-1468,1649171205.340446,18.65.110.227
94,-1468,1649171205.340447,18.65.110.227
95,-1468,1649171205.340447,18.65.110.227
96,-1468,1649171205.340448,18.65.110.227
97,-1468,1649171205.340449,18.65.110.227
98,-975,1649171205.340449,18.65.110.227
99,66,1649171205.340491,192.168.1.3
100,66,1649171205.34054,192.168.1.3
101,-1468,1649171205.34124,18.65.110.227
102,-1468,1649171205.341241,18.65.110.227
103,-1468,1649171205.341242,18.65.110.227
104,-1468,1649171205.341242,18.65.110.227
105,-1468,1649171205.341243,18.65.110.227
106,-1468,1649171205.341244,18.65.110.227
107,-1468,1649171205.341244,18.65.110.227
108,66,1649171205.34127,192.168.1.3
109,66,1649171205.341299,192.168.1.3
110,-1468,1649171205.342837,18.65.110.227
111,-1468,1649171205.342838,18.65.110.227
112,-1468,1649171205.342838,18.65.110.227
113,-1468,1649171205.34284,18.65.110.227
114,-1050,1649171205.34284,18.65.110.227
115,-1468,1649171205.342841,18.65.110.227
116,-1468,1649171205.342842,18.65.110.227
117,-1468,1649171205.342842,18.65.110.227
118,-1468,1649171205.342843,18.65.110.227
119,-1468,1649171205.342844,18.65.110.227
120,-1468,1649171205.342845,18.65.110.227
121,-1468,1649171205.342846,18.65.110.227
122,66,1649171205.342884,192.168.1.3
123,66,1649171205.34296,192.168.1.3
124,-1468,1649171205.343837,18.65.110.227
125,-1468,1649171205.343838,18.65.110.227
126,-1468,1649171205.343839,18.65.110.227
127,-1468,1649171205.343839,18.65.110.227
128,-1468,1649171205.34384,18.65.110.227
129,-1468,1649171205.34384,18.65.110.227
130,-1468,1649171205.343841,18.65.110.227
131,66,1649171205.343861,192.168.1.3
132,66,1649171205.343892,192.168.1.3
133,-1220,1649171205.344336,18.65.110.227
134,66,1649171205.344527,192.168.1.3
135,-1468,1649171205.429601,18.65.110.227
136,-1468,1649171205.429602,18.65.110.227
137,-1468,1649171205.429603,18.65.110.227
138,-1468,1649171205.429604,18.65.110.227
139,-1468,1649171205.429604,18.65.110.227
140,-1468,1649171205.429605,18.65.110.227
141,-686,1649171205.429605,18.65.110.227
142,66,1649171205.429644,192.168.1.3
143,66,1649171205.429699,192.168.1.3
144,-74,1649171205.4344,44.236.225.165
145,66,1649171205.434444,192.168.1.3
146,583,1649171205.434657,192.168.1.3
147,-1468,1649171205.438241,18.65.110.227
148,-1468,1649171205.438243,18.65.110.227
149,-1468,1649171205.438244,18.65.110.227
150,-1468,1649171205.438244,18.65.110.227
151,-1468,1649171205.438245,18.65.110.227
152,-1468,1649171205.438246,18.65.110.227
153,-1468,1649171205.438247,18.65.110.227
154,-1468,1649171205.438248,18.65.110.227
155,66,1649171205.438302,192.168.1.3
156,66,1649171205.438352,192.168.1.3
157,-1468,1649171205.439072,18.65.110.227
158,-1468,1649171205.439072,18.65.110.227
159,-1468,1649171205.439073,18.65.110.227
160,-1050,1649171205.439074,18.65.110.227
161,-1468,1649171205.439074,18.65.110.227
162,-1468,1649171205.439075,18.65.110.227
163,-1468,1649171205.439075,18.65.110.227
164,-1468,1649171205.439076,18.65.110.227
165,66,1649171205.439099,192.168.1.3
166,66,1649171205.439144,192.168.1.3
167,-1468,1649171205.439236,18.65.110.227
168,-1468,1649171205.439237,18.65.110.227
169,-1468,1649171205.439238,18.65.110.227
170,-1468,1649171205.439238,18.65.110.227
171,66,1649171205.439255,192.168.1.3
172,66,1649171205.439282,192.168.1.3
173,-1468,1649171205.440119,18.65.110.227
174,-1468,1649171205.44012,18.65.110.227
175,-1468,1649171205.440121,18.65.110.227
176,-1468,1649171205.440121,18.65.110.227
177,-1468,1649171205.440122,18.65.110.227
178,-1468,1649171205.440123,18.65.110.227
179,-1468,1649171205.440124,18.65.110.227
180,-1468,1649171205.440125,18.65.110.227
181,66,1649171205.440151,192.168.1.3
182,66,1649171205.440198,192.168.1.3
183,-1468,1649171205.441164,18.65.110.227
184,-1468,1649171205.441166,18.65.110.227
185,-1468,1649171205.441167,18.65.110.227
186,-1468,1649171205.441167,18.65.110.227
187,-1468,1649171205.441168,18.65.110.227
188,-1468,1649171205.441169,18.65.110.227
189,-1468,1649171205.441169,18.65.110.227
190,-1468,1649171205.44117,18.65.110.227
191,66,1649171205.441209,192.168.1.3
192,66,1649171205.441379,192.168.1.3
193,-1468,1649171205.442332,18.65.110.227
194,-838,1649171205.442333,18.65.110.227
195,66,1649171205.442375,192.168.1.3
196,-1090,1649171205.467688,18.65.110.227
197,66,1649171205.467741,192.168.1.3
198,-1422,1649171205.489881,18.65.110.227
199,66,1649171205.492046,192.168.1.3
200,-66,1649171205.562353,44.236.225.165
201,-1468,1649171205.56391,44.236.225.165
202,-1468,1649171205.563911,44.236.225.165
203,-1468,1649171205.563912,44.236.225.165
204,-1305,1649171205.563912,44.236.225.165
205,66,1649171205.56394,192.168.1.3
206,66,1649171205.564296,192.168.1.3
207,192,1649171205.576645,192.168.1.3
208,165,1649171205.57953,192.168.1.3
209,649,1649171205.579984,192.168.1.3
210,-324,1649171205.704695,44.236.225.165
211,-135,1649171205.704697,44.236.225.165
212,66,1649171205.704756,192.168.1.3
213,104,1649171205.705092,192.168.1.3
214,-66,1649171205.707266,44.236.225.165
215,-104,1649171205.707267,44.236.225.165
216,66,1649171205.707332,192.168.1.3
217,-236,1649171205.71031,44.236.225.165
218,-104,1649171205.710311,44.236.225.165
219,66,1649171205.710394,192.168.1.3
220,-1468,1649171205.734219,18.65.110.227
221,-340,1649171205.73422,18.65.110.227
222,-303,1649171205.734221,18.65.110.227
223,66,1649171205.734286,192.168.1.3
224,-1468,1649171205.73621,18.65.110.227
225,-1468,1649171205.736211,18.65.110.227
226,-1468,1649171205.736212,18.65.110.227
227,-1468,1649171205.736213,18.65.110.227
228,-1424,1649171205.736214,18.65.110.227
229,-1468,1649171205.736215,18.65.110.227
230,-1468,1649171205.736216,18.65.110.227
231,-1468,1649171205.736218,18.65.110.227
232,66,1649171205.736296,192.168.1.3
233,-1468,1649171205.736323,18.65.110.227
234,-452,1649171205.736325,18.65.110.227
235,-1468,1649171205.736325,18.65.110.227
236,-1468,1649171205.736326,18.65.110.227
237,-1468,1649171205.736327,18.65.110.227
238,-1468,1649171205.736328,18.65.110.227
239,-1468,1649171205.736329,18.65.110.227
240,-765,1649171205.73633,18.65.110.227
241,66,1649171205.736373,192.168.1.3
242,66,1649171205.736756,192.168.1.3
243,-1468,1649171205.746883,18.65.110.227
244,-1468,1649171205.746884,18.65.110.227
245,-1468,1649171205.746885,18.65.110.227
246,-1468,1649171205.746885,18.65.110.227
247,-1468,1649171205.746886,18.65.110.227
248,-1468,1649171205.746886,18.65.110.227
249,-680,1649171205.746887,18.65.110.227
250,-1468,1649171205.746887,18.65.110.227
251,-1468,1649171205.746888,18.65.110.227
252,-1468,1649171205.746888,18.65.110.227
253,-1468,1649171205.746889,18.65.110.227
254,-1468,1649171205.746889,18.65.110.227
255,-1468,1649171205.74692,18.65.110.227
256,-686,1649171205.74692,18.65.110.227
257,66,1649171205.746944,192.168.1.3
258,66,1649171205.746961,192.168.1.3
259,66,1649171205.747077,192.168.1.3
260,-1468,1649171205.748076,18.65.110.227
261,-1468,1649171205.748077,18.65.110.227
262,-1468,1649171205.748078,18.65.110.227
263,-1468,1649171205.748078,18.65.110.227
264,-1468,1649171205.748079,18.65.110.227
265,-1468,1649171205.748079,18.65.110.227
266,-1468,1649171205.74808,18.65.110.227
267,-326,1649171205.74808,18.65.110.227
268,66,1649171205.748116,192.168.1.3
269,66,1649171205.748794,192.168.1.3
270,-415,1649171205.762078,18.65.110.227
271,66,1649171205.762157,192.168.1.3
272,-1468,1649171205.773154,18.65.110.227
273,-1010,1649171205.773155,18.65.110.227
274,66,1649171205.773198,192.168.1.3
275,-444,1649171205.814846,18.65.110.227
276,66,1649171205.814898,192.168.1.3
277,-360,1649171205.850267,18.65.110.227
278,66,1649171205.850334,192.168.1.3
279,-306,1649171205.867067,18.65.110.227
280,66,1649171205.867398,192.168.1.3
281,-66,1649171205.875433,44.236.225.165
282,807,1649171206.065475,192.168.1.3
283,-66,1649171206.073595,18.65.110.227
284,365,1649171206.168691,192.168.1.3
285,399,1649171206.169716,192.168.1.3
286,-66,1649171206.176231,18.65.110.227
287,-66,1649171206.176232,18.65.110.227
288,-1468,1649171206.267162,18.65.110.227
289,-1468,1649171206.267163,18.65.110.227
290,-1468,1649171206.267164,18.65.110.227
291,-470,1649171206.267164,18.65.110.227
292,-97,1649171206.267165,18.65.110.227
293,66,1649171206.267208,192.168.1.3
294,66,1649171206.26726,192.168.1.3
295,78,1649171206.297048,192.168.1.3
296,-74,1649171206.304915,18.65.121.44
297,66,1649171206.304987,192.168.1.3
298,583,1649171206.3055,192.168.1.3
