index,size,time,ip
0,78,1649198939.452166,192.168.1.3
1,78,1649198939.452929,192.168.1.3
2,-74,1649198939.460264,18.65.110.227
3,-74,1649198939.460275,18.65.110.227
4,66,1649198939.46036,192.168.1.3
5,66,1649198939.460397,192.168.1.3
6,583,1649198939.460715,192.168.1.3
7,583,1649198939.461063,192.168.1.3
8,-66,1649198939.468441,18.65.110.227
9,-1468,1649198939.469266,18.65.110.227
10,-1468,1649198939.469268,18.65.110.227
11,-1468,1649198939.469269,18.65.110.227
12,66,1649198939.469318,192.168.1.3
13,66,1649198939.469426,192.168.1.3
14,-66,1649198939.470272,18.65.110.227
15,-1468,1649198939.470273,18.65.110.227
16,-1468,1649198939.470274,18.65.110.227
17,-1468,1649198939.470275,18.65.110.227
18,-1115,1649198939.470285,18.65.110.227
19,66,1649198939.470334,192.168.1.3
20,66,1649198939.470353,192.168.1.3
21,66,1649198939.470442,192.168.1.3
22,-1115,1649198939.471785,18.65.110.227
23,66,1649198939.471829,192.168.1.3
24,130,1649198939.489914,192.168.1.3
25,130,1649198939.49008,192.168.1.3
26,66,1649198939.49016,192.168.1.3
27,158,1649198939.490269,192.168.1.3
28,796,1649198939.490582,192.168.1.3
29,-66,1649198939.497597,18.65.110.227
30,-66,1649198939.497598,18.65.110.227
31,-137,1649198939.497599,18.65.110.227
32,-66,1649198939.4976,18.65.110.227
33,-66,1649198939.497608,18.65.110.227
34,-128,1649198939.497609,18.65.110.227
35,66,1649198939.497666,192.168.1.3
36,97,1649198939.498025,192.168.1.3
37,-66,1649198939.498228,18.65.110.227
38,54,1649198939.498255,192.168.1.3
39,-66,1649198939.505644,18.65.110.227
40,-1352,1649198939.68021,18.65.110.227
41,66,1649198939.680275,192.168.1.3
42,-1468,1649198939.697801,18.65.110.227
43,-1468,1649198939.697802,18.65.110.227
44,-1468,1649198939.697804,18.65.110.227
45,-1468,1649198939.697805,18.65.110.227
46,-1468,1649198939.697806,18.65.110.227
47,-1468,1649198939.697807,18.65.110.227
48,-1468,1649198939.697808,18.65.110.227
49,-1468,1649198939.697809,18.65.110.227
50,-260,1649198939.697811,18.65.110.227
51,66,1649198939.697857,192.168.1.3
52,66,1649198939.70261,192.168.1.3
53,-1468,1649198939.778219,18.65.110.227
54,-1468,1649198939.778221,18.65.110.227
55,-1468,1649198939.778222,18.65.110.227
56,-434,1649198939.778223,18.65.110.227
57,66,1649198939.778276,192.168.1.3
58,66,1649198939.778373,192.168.1.3
59,-1468,1649198939.795862,18.65.110.227
60,-240,1649198939.795863,18.65.110.227
61,66,1649198939.795923,192.168.1.3
62,-1468,1649198939.796312,18.65.110.227
63,-1468,1649198939.796314,18.65.110.227
64,-1468,1649198939.796314,18.65.110.227
65,66,1649198939.796356,192.168.1.3
66,66,1649198939.796653,192.168.1.3
67,-1468,1649198939.798104,18.65.110.227
68,-1154,1649198939.798105,18.65.110.227
69,-1468,1649198939.798105,18.65.110.227
70,-1468,1649198939.798106,18.65.110.227
71,-1468,1649198939.798106,18.65.110.227
72,-1468,1649198939.798107,18.65.110.227
73,-1468,1649198939.798108,18.65.110.227
74,-1468,1649198939.798109,18.65.110.227
75,-680,1649198939.79812,18.65.110.227
76,66,1649198939.798174,192.168.1.3
77,66,1649198939.798181,192.168.1.3
78,66,1649198939.798817,192.168.1.3
79,78,1649198939.871118,192.168.1.3
80,-1468,1649198939.876579,18.65.110.227
81,-1468,1649198939.87658,18.65.110.227
82,-1468,1649198939.876581,18.65.110.227
83,-1468,1649198939.876581,18.65.110.227
84,-1468,1649198939.876582,18.65.110.227
85,-1468,1649198939.876583,18.65.110.227
86,-1468,1649198939.876583,18.65.110.227
87,-1468,1649198939.876584,18.65.110.227
88,66,1649198939.876637,192.168.1.3
89,66,1649198939.876729,192.168.1.3
90,-1468,1649198939.878103,18.65.110.227
91,-1468,1649198939.878104,18.65.110.227
92,-1468,1649198939.878105,18.65.110.227
93,-1050,1649198939.878105,18.65.110.227
94,66,1649198939.878129,192.168.1.3
95,66,1649198939.878187,192.168.1.3
96,-144,1649198939.878428,18.65.110.227
