index,size,time,ip
0,78,1648807278.190872000,192.168.1.3
1,78,1648807278.191420000,192.168.1.3
2,-74,1648807278.221948000,13.249.146.146
3,-74,1648807278.221954000,13.249.146.146
4,66,1648807278.221999000,192.168.1.3
5,66,1648807278.222021000,192.168.1.3
6,583,1648807278.222527000,192.168.1.3
7,583,1648807278.222730000,192.168.1.3
8,-66,1648807278.255222000,13.249.146.146
9,-66,1648807278.255227000,13.249.146.146
10,-1468,1648807278.255834000,13.249.146.146
11,-1468,1648807278.255836000,13.249.146.146
12,-1468,1648807278.255837000,13.249.146.146
13,66,1648807278.255871000,192.168.1.3
14,66,1648807278.255914000,192.168.1.3
15,-1468,1648807278.256937000,13.249.146.146
16,-1468,1648807278.256939000,13.249.146.146
17,-1468,1648807278.256940000,13.249.146.146
18,66,1648807278.256975000,192.168.1.3
19,66,1648807278.257074000,192.168.1.3
20,-1115,1648807278.259098000,13.249.146.146
21,66,1648807278.259123000,192.168.1.3
22,-1115,1648807278.259363000,13.249.146.146
23,66,1648807278.259381000,192.168.1.3
24,130,1648807278.265204000,192.168.1.3
25,130,1648807278.265337000,192.168.1.3
26,66,1648807278.265417000,192.168.1.3
27,158,1648807278.265464000,192.168.1.3
28,709,1648807278.265598000,192.168.1.3
29,-66,1648807278.297087000,13.249.146.146
30,-66,1648807278.297089000,13.249.146.146
31,-137,1648807278.297091000,13.249.146.146
32,-66,1648807278.297099000,13.249.146.146
33,-66,1648807278.297100000,13.249.146.146
34,-66,1648807278.297101000,13.249.146.146
35,66,1648807278.297159000,192.168.1.3
36,66,1648807278.297238000,192.168.1.3
37,97,1648807278.297417000,192.168.1.3
38,-66,1648807278.298941000,13.249.146.146
39,-66,1648807278.324566000,13.249.146.146
40,-1171,1648807278.613148000,13.249.146.146
41,-1468,1648807278.613151000,13.249.146.146
42,-1468,1648807278.613168000,13.249.146.146
43,-1468,1648807278.613170000,13.249.146.146
44,-1468,1648807278.613171000,13.249.146.146
45,66,1648807278.613230000,192.168.1.3
46,66,1648807278.613261000,192.168.1.3
47,66,1648807278.613336000,192.168.1.3
48,-1468,1648807278.613398000,13.249.146.146
49,-1468,1648807278.613400000,13.249.146.146
50,-1468,1648807278.613402000,13.249.146.146
51,-1468,1648807278.613404000,13.249.146.146
52,-1380,1648807278.613408000,13.249.146.146
53,66,1648807278.613458000,192.168.1.3
54,66,1648807278.613469000,192.168.1.3
55,-1468,1648807278.615333000,13.249.146.146
56,-1468,1648807278.615337000,13.249.146.146
57,-1468,1648807278.615339000,13.249.146.146
58,-1468,1648807278.615340000,13.249.146.146
59,66,1648807278.615401000,192.168.1.3
60,66,1648807278.615622000,192.168.1.3
61,-1468,1648807278.617919000,13.249.146.146
62,-1468,1648807278.617922000,13.249.146.146
63,66,1648807278.617975000,192.168.1.3
64,66,1648807278.618343000,192.168.1.3
65,-1468,1648807278.619437000,13.249.146.146
66,-1468,1648807278.619439000,13.249.146.146
67,66,1648807278.619490000,192.168.1.3
68,66,1648807278.620733000,192.168.1.3
69,-1468,1648807278.621410000,13.249.146.146
70,-1468,1648807278.621412000,13.249.146.146
71,66,1648807278.621448000,192.168.1.3
72,66,1648807278.621498000,192.168.1.3
73,-1468,1648807278.623097000,13.249.146.146
74,-1468,1648807278.623099000,13.249.146.146
75,66,1648807278.623133000,192.168.1.3
76,66,1648807278.623569000,192.168.1.3
77,-1468,1648807278.623934000,13.249.146.146
78,-1468,1648807278.623935000,13.249.146.146
79,66,1648807278.623962000,192.168.1.3
80,-1468,1648807278.624686000,13.249.146.146
81,-1468,1648807278.624689000,13.249.146.146
82,66,1648807278.624724000,192.168.1.3
83,66,1648807278.624995000,192.168.1.3
84,-1468,1648807278.625726000,13.249.146.146
85,-1468,1648807278.625727000,13.249.146.146
86,66,1648807278.625747000,192.168.1.3
87,66,1648807278.625979000,192.168.1.3
88,-355,1648807278.626480000,13.249.146.146
89,66,1648807278.626499000,192.168.1.3
90,-517,1648807278.706263000,13.249.146.146
91,66,1648807278.706296000,192.168.1.3
92,-1468,1648807278.730460000,13.249.146.146
93,-1468,1648807278.730463000,13.249.146.146
94,-1468,1648807278.730464000,13.249.146.146
95,-558,1648807278.730465000,13.249.146.146
96,66,1648807278.730490000,192.168.1.3
97,66,1648807278.730570000,192.168.1.3
98,-1468,1648807278.731611000,13.249.146.146
99,-1468,1648807278.731612000,13.249.146.146
100,66,1648807278.731632000,192.168.1.3
101,66,1648807278.731699000,192.168.1.3
102,-1468,1648807278.732373000,13.249.146.146
103,-1468,1648807278.732374000,13.249.146.146
104,66,1648807278.732395000,192.168.1.3
105,66,1648807278.732459000,192.168.1.3
