index,size,time,ip
0,78,1649184199.472059,192.168.1.3
1,78,1649184199.472896,192.168.1.3
2,-74,1649184199.480113,18.65.110.227
3,-74,1649184199.480118,18.65.110.227
4,66,1649184199.48016,192.168.1.3
5,66,1649184199.480176,192.168.1.3
6,583,1649184199.480434,192.168.1.3
7,583,1649184199.480634,192.168.1.3
8,-66,1649184199.492304,18.65.110.227
9,-1468,1649184199.492305,18.65.110.227
10,-1468,1649184199.492305,18.65.110.227
11,-1468,1649184199.492306,18.65.110.227
12,-66,1649184199.492314,18.65.110.227
13,-1468,1649184199.492315,18.65.110.227
14,-1468,1649184199.492316,18.65.110.227
15,-1468,1649184199.492316,18.65.110.227
16,66,1649184199.492359,192.168.1.3
17,66,1649184199.492377,192.168.1.3
18,66,1649184199.49245,192.168.1.3
19,66,1649184199.4927,192.168.1.3
20,-1115,1649184199.493942,18.65.110.227
21,-1115,1649184199.493947,18.65.110.227
22,66,1649184199.493987,192.168.1.3
23,66,1649184199.494001,192.168.1.3
24,130,1649184199.526673,192.168.1.3
25,130,1649184199.527065,192.168.1.3
26,66,1649184199.527715,192.168.1.3
27,158,1649184199.527869,192.168.1.3
28,929,1649184199.52817,192.168.1.3
29,-66,1649184199.534522,18.65.110.227
30,-128,1649184199.534523,18.65.110.227
31,-66,1649184199.534524,18.65.110.227
32,-66,1649184199.534524,18.65.110.227
33,-66,1649184199.534531,18.65.110.227
34,-128,1649184199.534531,18.65.110.227
35,66,1649184199.534564,192.168.1.3
36,97,1649184199.534871,192.168.1.3
37,-97,1649184199.535438,18.65.110.227
38,-66,1649184199.535449,18.65.110.227
39,66,1649184199.535481,192.168.1.3
40,54,1649184199.535504,192.168.1.3
41,-66,1649184199.542579,18.65.110.227
42,-1173,1649184199.756707,18.65.110.227
43,66,1649184199.756761,192.168.1.3
44,-1468,1649184199.75717,18.65.110.227
45,-1468,1649184199.757171,18.65.110.227
46,-1468,1649184199.757173,18.65.110.227
47,-1468,1649184199.757175,18.65.110.227
48,-1468,1649184199.757176,18.65.110.227
49,-1468,1649184199.757178,18.65.110.227
50,-1468,1649184199.757179,18.65.110.227
51,-1468,1649184199.757181,18.65.110.227
52,-1382,1649184199.757183,18.65.110.227
53,66,1649184199.757282,192.168.1.3
54,66,1649184199.758842,192.168.1.3
55,-1468,1649184199.845153,18.65.110.227
56,-1468,1649184199.845154,18.65.110.227
57,-1468,1649184199.845155,18.65.110.227
58,-1468,1649184199.845155,18.65.110.227
59,-1468,1649184199.845156,18.65.110.227
60,-1468,1649184199.845156,18.65.110.227
61,-680,1649184199.845157,18.65.110.227
62,-1468,1649184199.845158,18.65.110.227
63,66,1649184199.845193,192.168.1.3
64,-1468,1649184199.845216,18.65.110.227
65,-1468,1649184199.845217,18.65.110.227
66,-1468,1649184199.845218,18.65.110.227
67,-1468,1649184199.845219,18.65.110.227
68,66,1649184199.845241,192.168.1.3
69,-1468,1649184199.845383,18.65.110.227
70,-1468,1649184199.845384,18.65.110.227
71,-1468,1649184199.845384,18.65.110.227
72,-1468,1649184199.845385,18.65.110.227
73,66,1649184199.845405,192.168.1.3
74,66,1649184199.846476,192.168.1.3
75,-1468,1649184199.846755,18.65.110.227
76,-1468,1649184199.846756,18.65.110.227
77,-1288,1649184199.846757,18.65.110.227
78,66,1649184199.846793,192.168.1.3
79,66,1649184199.84691,192.168.1.3
80,78,1649184199.882945,192.168.1.3
81,-1468,1649184199.936805,18.65.110.227
82,-1468,1649184199.936806,18.65.110.227
83,-346,1649184199.936808,18.65.110.227
84,66,1649184199.936875,192.168.1.3
85,66,1649184199.937046,192.168.1.3
86,-1468,1649184199.943197,18.65.110.227
87,-1468,1649184199.943198,18.65.110.227
88,-1468,1649184199.943199,18.65.110.227
89,-1468,1649184199.943199,18.65.110.227
90,-1468,1649184199.9432,18.65.110.227
91,-1468,1649184199.943201,18.65.110.227
92,-1178,1649184199.943201,18.65.110.227
93,-1468,1649184199.943202,18.65.110.227
94,66,1649184199.94324,192.168.1.3
95,-798,1649184199.943263,18.65.110.227
96,-1468,1649184199.943263,18.65.110.227
97,-1468,1649184199.943264,18.65.110.227
98,-1468,1649184199.943264,18.65.110.227
99,-1468,1649184199.943265,18.65.110.227
100,-1468,1649184199.943266,18.65.110.227
101,-1468,1649184199.943266,18.65.110.227
102,-1468,1649184199.943267,18.65.110.227
103,66,1649184199.943281,192.168.1.3
104,-1468,1649184199.943394,18.65.110.227
105,-1468,1649184199.943396,18.65.110.227
106,66,1649184199.943416,192.168.1.3
107,-1468,1649184199.94447,18.65.110.227
108,-1468,1649184199.944472,18.65.110.227
109,-1468,1649184199.944472,18.65.110.227
110,-1468,1649184199.944473,18.65.110.227
111,-1468,1649184199.944474,18.65.110.227
112,-1468,1649184199.944474,18.65.110.227
113,-1468,1649184199.944475,18.65.110.227
114,-1468,1649184199.944476,18.65.110.227
115,-1468,1649184199.944476,18.65.110.227
116,66,1649184199.944506,192.168.1.3
117,66,1649184199.944791,192.168.1.3
118,-1468,1649184199.945665,18.65.110.227
119,-1468,1649184199.945667,18.65.110.227
120,-1468,1649184199.945677,18.65.110.227
121,-1468,1649184199.945678,18.65.110.227
122,-1468,1649184199.945678,18.65.110.227
123,-264,1649184199.945679,18.65.110.227
124,66,1649184199.945969,192.168.1.3
125,66,1649184199.946009,192.168.1.3
126,-1468,1649184199.963657,18.65.110.227
127,-1468,1649184199.963658,18.65.110.227
128,-1468,1649184199.963659,18.65.110.227
129,-1468,1649184199.963659,18.65.110.227
130,-1468,1649184199.96366,18.65.110.227
131,-1468,1649184199.963661,18.65.110.227
132,-686,1649184199.963661,18.65.110.227
133,66,1649184199.963716,192.168.1.3
134,66,1649184199.965997,192.168.1.3
135,-74,1649184200.004272,50.112.50.63
136,66,1649184200.004319,192.168.1.3
137,583,1649184200.004531,192.168.1.3
138,-1468,1649184200.041165,18.65.110.227
139,-1468,1649184200.041166,18.65.110.227
140,-1468,1649184200.041167,18.65.110.227
141,-1468,1649184200.041168,18.65.110.227
142,-1468,1649184200.041169,18.65.110.227
143,-1468,1649184200.04117,18.65.110.227
144,-1468,1649184200.04117,18.65.110.227
145,-1468,1649184200.041171,18.65.110.227
146,-1468,1649184200.041193,18.65.110.227
147,-1468,1649184200.041194,18.65.110.227
148,-1468,1649184200.041194,18.65.110.227
149,-1050,1649184200.041195,18.65.110.227
150,66,1649184200.04123,192.168.1.3
151,66,1649184200.041249,192.168.1.3
152,-1468,1649184200.042376,18.65.110.227
153,-1468,1649184200.042377,18.65.110.227
154,-1468,1649184200.042378,18.65.110.227
155,-1468,1649184200.042378,18.65.110.227
156,-1468,1649184200.042379,18.65.110.227
157,-1468,1649184200.04238,18.65.110.227
158,-1468,1649184200.042381,18.65.110.227
159,-1468,1649184200.042381,18.65.110.227
160,-1468,1649184200.042391,18.65.110.227
161,-1468,1649184200.042908,18.65.110.227
162,-1468,1649184200.04291,18.65.110.227
163,-1468,1649184200.04291,18.65.110.227
164,-1468,1649184200.042911,18.65.110.227
165,-1468,1649184200.042912,18.65.110.227
166,-1468,1649184200.042913,18.65.110.227
167,-1468,1649184200.042914,18.65.110.227
168,-1468,1649184200.042914,18.65.110.227
169,-1468,1649184200.042915,18.65.110.227
170,66,1649184200.042927,192.168.1.3
171,66,1649184200.043002,192.168.1.3
172,-1468,1649184200.043701,18.65.110.227
173,-1468,1649184200.043703,18.65.110.227
174,-1468,1649184200.043703,18.65.110.227
175,-1468,1649184200.043704,18.65.110.227
176,-1468,1649184200.043705,18.65.110.227
177,-1468,1649184200.043706,18.65.110.227
178,-1468,1649184200.043707,18.65.110.227
179,-1468,1649184200.043707,18.65.110.227
180,-1468,1649184200.043708,18.65.110.227
181,66,1649184200.043775,192.168.1.3
182,-1468,1649184200.044648,18.65.110.227
183,-1468,1649184200.044649,18.65.110.227
184,-1468,1649184200.04465,18.65.110.227
185,-1281,1649184200.04465,18.65.110.227
186,66,1649184200.045128,192.168.1.3
187,-1256,1649184200.045906,18.65.110.227
188,66,1649184200.046121,192.168.1.3
189,-1468,1649184200.05583,18.65.110.227
190,-271,1649184200.055831,18.65.110.227
191,66,1649184200.055919,192.168.1.3
192,-66,1649184200.127099,50.112.50.63
193,-1468,1649184200.128753,50.112.50.63
194,-1468,1649184200.128754,50.112.50.63
195,-1468,1649184200.128754,50.112.50.63
196,-1305,1649184200.128755,50.112.50.63
197,66,1649184200.128804,192.168.1.3
198,66,1649184200.129805,192.168.1.3
199,192,1649184200.165526,192.168.1.3
200,165,1649184200.167326,192.168.1.3
201,651,1649184200.168012,192.168.1.3
202,-324,1649184200.327518,50.112.50.63
203,-135,1649184200.327519,50.112.50.63
204,66,1649184200.32756,192.168.1.3
205,-104,1649184200.327746,50.112.50.63
206,-236,1649184200.327746,50.112.50.63
207,-104,1649184200.327747,50.112.50.63
208,66,1649184200.327768,192.168.1.3
209,66,1649184200.327778,192.168.1.3
210,104,1649184200.327807,192.168.1.3
211,-128,1649184200.575922,18.65.110.227
212,-379,1649184200.575923,18.65.110.227
213,66,1649184200.576065,192.168.1.3
