index,size,time,ip
0,130,1647454243.061472000,192.168.10.155
1,-66,1647454243.071501000,162.219.225.115
2,236,1647454243.125394000,192.168.10.155
3,686,1647454243.125437000,192.168.10.155
4,130,1647454243.125701000,192.168.10.155
5,508,1647454243.126204000,192.168.10.155
6,74,1647454243.126627000,192.168.10.155
7,-66,1647454243.128927000,54.239.168.127
8,-4102,1647454243.130042000,54.239.168.127
9,-74,1647454243.130043000,54.230.130.22
10,-90,1647454243.130043000,54.239.168.127
11,66,1647454243.130057000,192.168.10.155
12,66,1647454243.130088000,192.168.10.155
13,90,1647454243.130391000,192.168.10.155
14,66,1647454243.130408000,192.168.10.155
15,583,1647454243.130572000,192.168.10.155
16,74,1647454243.132510000,192.168.10.155
17,-60,1647454243.133704000,54.239.168.127
18,-60,1647454243.133705000,54.239.168.127
19,-66,1647454243.133705000,54.230.130.22
20,-213,1647454243.133706000,54.230.130.22
21,66,1647454243.133731000,192.168.10.155
22,117,1647454243.133917000,192.168.10.155
23,538,1647454243.134001000,192.168.10.155
24,-66,1647454243.135386000,162.219.225.115
25,-125,1647454243.135386000,162.219.225.115
26,66,1647454243.135396000,192.168.10.155
27,97,1647454243.135458000,192.168.10.155
28,-74,1647454243.136512000,54.239.168.127
29,-66,1647454243.136512000,54.230.130.22
30,66,1647454243.136543000,192.168.10.155
31,583,1647454243.138334000,192.168.10.155
32,-1060,1647454243.138928000,54.230.130.22
33,66,1647454243.138940000,192.168.10.155
34,-66,1647454243.142663000,54.239.168.127
35,-2922,1647454243.142665000,54.239.168.127
36,66,1647454243.142700000,192.168.10.155
37,561,1647454243.143870000,192.168.10.155
38,-1208,1647454243.144944000,54.239.168.127
39,-97,1647454243.144945000,35.155.98.26
40,-66,1647454243.144946000,35.155.98.26
41,-66,1647454243.144946000,162.219.225.115
42,66,1647454243.144975000,192.168.10.155
43,54,1647454243.145021000,192.168.10.155
44,54,1647454243.145042000,192.168.10.155
45,130,1647454243.147181000,192.168.10.155
46,506,1647454243.147311000,192.168.10.155
47,-66,1647454243.147350000,54.230.130.22
48,-1449,1647454243.147350000,54.230.130.22
49,66,1647454243.147371000,192.168.10.155
50,-66,1647454243.151929000,54.239.168.127
51,-2821,1647454243.152553000,54.239.168.127
52,-90,1647454243.152554000,54.239.168.127
53,66,1647454243.152567000,192.168.10.155
54,90,1647454243.152852000,192.168.10.155
55,66,1647454243.152876000,192.168.10.155
56,74,1647454243.154745000,192.168.10.155
57,-60,1647454243.156022000,54.239.168.127
58,-60,1647454243.156023000,54.239.168.127
59,-74,1647454243.158449000,54.239.168.127
60,66,1647454243.158478000,192.168.10.155
61,583,1647454243.160452000,192.168.10.155
62,-66,1647454243.164152000,54.239.168.127
63,-2922,1647454243.164153000,54.239.168.127
64,66,1647454243.164171000,192.168.10.155
65,-1208,1647454243.168244000,54.239.168.127
66,66,1647454243.168264000,192.168.10.155
67,130,1647454243.171869000,192.168.10.155
68,518,1647454243.172174000,192.168.10.155
69,-66,1647454243.177713000,54.239.168.127
70,-996,1647454243.177714000,54.239.168.127
71,-90,1647454243.177714000,54.239.168.127
72,66,1647454243.177751000,192.168.10.155
73,90,1647454243.178057000,192.168.10.155
74,66,1647454243.178080000,192.168.10.155
75,-60,1647454243.181250000,54.239.168.127
76,-60,1647454243.181250000,54.239.168.127
77,74,1647454243.197834000,192.168.10.155
78,-74,1647454243.201442000,54.239.168.127
79,66,1647454243.201457000,192.168.10.155
80,583,1647454243.203524000,192.168.10.155
81,-66,1647454243.207109000,54.239.168.127
82,-2922,1647454243.207156000,54.239.168.127
83,66,1647454243.207165000,192.168.10.155
84,-1208,1647454243.209556000,54.239.168.127
85,66,1647454243.209577000,192.168.10.155
86,130,1647454243.213588000,192.168.10.155
87,518,1647454243.213816000,192.168.10.155
88,-66,1647454243.216880000,54.239.168.127
89,-675,1647454243.216881000,54.239.168.127
90,-90,1647454243.216882000,54.239.168.127
91,66,1647454243.216908000,192.168.10.155
92,90,1647454243.217242000,192.168.10.155
93,66,1647454243.217270000,192.168.10.155
94,74,1647454243.219778000,192.168.10.155
95,-60,1647454243.220446000,54.239.168.127
96,-60,1647454243.220447000,54.239.168.127
97,-74,1647454243.235829000,54.239.168.127
98,66,1647454243.235882000,192.168.10.155
99,583,1647454243.242819000,192.168.10.155
100,-66,1647454243.247127000,54.239.168.127
101,-2922,1647454243.247129000,54.239.168.127
102,66,1647454243.247150000,192.168.10.155
103,-1208,1647454243.249462000,54.239.168.127
104,66,1647454243.249474000,192.168.10.155
105,130,1647454243.252118000,192.168.10.155
106,517,1647454243.252265000,192.168.10.155
107,-66,1647454243.255432000,54.239.168.127
108,-772,1647454243.256419000,54.239.168.127
109,-90,1647454243.256420000,54.239.168.127
110,66,1647454243.256437000,192.168.10.155
111,90,1647454243.256925000,192.168.10.155
112,66,1647454243.256963000,192.168.10.155
113,-60,1647454243.260156000,54.239.168.127
114,-60,1647454243.260157000,54.239.168.127
115,-904,1647454243.353902000,162.219.225.115
116,66,1647454243.353921000,192.168.10.155
117,-2962,1647454243.354636000,162.219.225.115
118,66,1647454243.354647000,192.168.10.155
119,-2043,1647454243.354953000,162.219.225.115
120,66,1647454243.354959000,192.168.10.155
121,-2962,1647454243.365677000,162.219.225.115
122,66,1647454243.365694000,192.168.10.155
123,-4154,1647454243.367612000,162.219.225.115
124,66,1647454243.367633000,192.168.10.155
125,547,1647454243.451510000,192.168.10.155
126,-66,1647454243.454495000,54.230.130.22
127,-1069,1647454243.454496000,54.230.130.22
128,66,1647454243.454515000,192.168.10.155
129,570,1647454243.462879000,192.168.10.155
130,-1832,1647454243.467258000,54.230.130.22
