index,size,time,ip
0,236,1647462725.880965000,192.168.10.155
1,529,1647462725.881189000,192.168.10.155
2,97,1647462725.881450000,192.168.10.155
3,74,1647462725.881509000,192.168.10.155
4,74,1647462725.881567000,192.168.10.155
5,-66,1647462725.884320000,54.230.130.235
6,-66,1647462725.884321000,54.230.130.235
7,-97,1647462725.884693000,54.230.130.235
8,-66,1647462725.884694000,54.230.130.235
9,-74,1647462725.884696000,54.230.130.25
10,-74,1647462725.884696000,54.239.168.127
11,66,1647462725.884752000,192.168.10.155
12,66,1647462725.884829000,192.168.10.155
13,66,1647462725.884837000,192.168.10.155
14,284,1647462725.885038000,192.168.10.155
15,583,1647462725.886795000,192.168.10.155
16,-66,1647462725.887732000,54.230.130.25
17,-1494,1647462725.888400000,54.230.130.25
18,66,1647462725.888411000,192.168.10.155
19,-1494,1647462725.888528000,54.230.130.25
20,66,1647462725.888533000,192.168.10.155
21,-66,1647462725.889866000,54.239.168.127
22,-97,1647462725.889968000,34.210.39.83
23,-66,1647462725.889968000,34.210.39.83
24,54,1647462725.889997000,192.168.10.155
25,54,1647462725.890025000,192.168.10.155
26,-1122,1647462725.890597000,54.230.130.25
27,66,1647462725.890606000,192.168.10.155
28,-1494,1647462725.890698000,54.239.168.127
29,66,1647462725.890703000,192.168.10.155
30,-1494,1647462725.891585000,54.239.168.127
31,66,1647462725.891601000,192.168.10.155
32,-1208,1647462725.892240000,54.239.168.127
33,66,1647462725.892255000,192.168.10.155
34,159,1647462725.893245000,192.168.10.155
35,-66,1647462725.895588000,54.230.130.25
36,-237,1647462725.895832000,54.230.130.25
37,66,1647462725.895842000,192.168.10.155
38,538,1647462725.898654000,192.168.10.155
39,130,1647462725.899372000,192.168.10.155
40,494,1647462725.899516000,192.168.10.155
41,-66,1647462725.900985000,54.230.130.25
42,-1060,1647462725.901652000,54.230.130.25
43,66,1647462725.901659000,192.168.10.155
44,-66,1647462725.901733000,54.239.168.127
45,-66,1647462725.901987000,54.239.168.127
