index,size,time,ip
0,236,1647403800.762800000,192.168.10.155
1,710,1647403800.762824000,192.168.10.155
2,97,1647403800.763246000,192.168.10.155
3,583,1647403800.764782000,192.168.10.155
4,74,1647403800.764916000,192.168.10.155
5,-66,1647403800.766189000,54.230.130.235
6,-97,1647403800.766189000,54.230.130.235
7,66,1647403800.766211000,192.168.10.155
8,-74,1647403800.771484000,54.230.130.93
9,-66,1647403800.771488000,54.239.168.97
10,-2922,1647403800.771489000,54.239.168.97
11,-1208,1647403800.771490000,54.239.168.97
12,66,1647403800.771528000,192.168.10.155
13,66,1647403800.771562000,192.168.10.155
14,66,1647403800.771572000,192.168.10.155
15,284,1647403800.773904000,192.168.10.155
16,130,1647403800.777944000,192.168.10.155
17,500,1647403800.778182000,192.168.10.155
18,-66,1647403800.778902000,54.230.130.93
19,-2922,1647403800.778903000,54.230.130.93
20,66,1647403800.778919000,192.168.10.155
21,-1122,1647403800.781021000,54.230.130.93
22,-66,1647403800.781021000,54.239.168.97
23,66,1647403800.781032000,192.168.10.155
24,159,1647403800.782000000,192.168.10.155
25,-16472,1647403800.783184000,54.239.168.97
26,66,1647403800.783196000,192.168.10.155
27,-20058,1647403800.783230000,54.239.168.97
28,66,1647403800.783233000,192.168.10.155
29,-2922,1647403800.783243000,54.239.168.97
30,66,1647403800.783245000,192.168.10.155
31,-66,1647403800.785157000,54.230.130.93
32,-237,1647403800.785158000,54.230.130.93
33,66,1647403800.785178000,192.168.10.155
34,538,1647403800.785539000,192.168.10.155
35,-28626,1647403800.788191000,54.239.168.97
36,66,1647403800.788211000,192.168.10.155
37,-2922,1647403800.788248000,54.239.168.97
38,-3402,1647403800.788248000,54.239.168.97
39,66,1647403800.788254000,192.168.10.155
40,66,1647403800.788307000,192.168.10.155
41,90,1647403800.788577000,192.168.10.155
42,66,1647403800.788606000,192.168.10.155
43,-66,1647403800.788730000,54.230.130.93
44,74,1647403800.790446000,192.168.10.155
45,-60,1647403800.791735000,54.239.168.97
46,-60,1647403800.791736000,54.239.168.97
47,-74,1647403800.793836000,54.239.168.97
48,66,1647403800.793855000,192.168.10.155
49,583,1647403800.796760000,192.168.10.155
50,-66,1647403800.800859000,54.239.168.97
51,-2922,1647403800.800861000,54.239.168.97
52,66,1647403800.800888000,192.168.10.155
53,-1059,1647403800.804009000,54.230.130.93
54,-1208,1647403800.804010000,54.239.168.97
55,66,1647403800.804030000,192.168.10.155
56,66,1647403800.804056000,192.168.10.155
57,-66,1647403800.805892000,54.70.104.236
58,130,1647403800.810298000,192.168.10.155
59,561,1647403800.810502000,192.168.10.155
60,501,1647403800.810567000,192.168.10.155
61,-66,1647403800.813600000,54.239.168.97
62,-66,1647403800.813601000,54.230.130.93
63,-675,1647403800.813602000,54.239.168.97
64,66,1647403800.813630000,192.168.10.155
65,90,1647403800.813834000,192.168.10.155
66,66,1647403800.813857000,192.168.10.155
67,-1449,1647403800.814765000,54.230.130.93
68,-90,1647403800.814766000,54.239.168.97
69,54,1647403800.814800000,192.168.10.155
70,74,1647403800.816120000,192.168.10.155
71,-60,1647403800.817897000,54.239.168.97
72,-60,1647403800.817897000,54.239.168.97
73,-74,1647403800.819276000,54.239.168.97
74,66,1647403800.819305000,192.168.10.155
75,583,1647403800.822393000,192.168.10.155
76,74,1647403800.828945000,192.168.10.155
77,-66,1647403800.830040000,54.239.168.97
78,-2922,1647403800.830041000,54.239.168.97
79,-1208,1647403800.830041000,54.239.168.97
80,66,1647403800.830062000,192.168.10.155
