index,size,time,ip
0,236,1647364507.402950000,192.168.10.155
1,537,1647364507.402976000,192.168.10.155
2,97,1647364507.404695000,192.168.10.155
3,-66,1647364507.405284000,13.249.150.146
4,-66,1647364507.405284000,13.249.150.146
5,-97,1647364507.405371000,13.249.150.146
6,66,1647364507.405382000,192.168.10.155
7,-66,1647364507.406525000,13.249.150.146
8,130,1647364507.406849000,192.168.10.155
9,506,1647364507.407047000,192.168.10.155
10,-66,1647364507.408695000,13.224.141.44
11,-66,1647364507.409011000,13.224.141.44
12,-1494,1647364507.409389000,13.224.141.44
13,66,1647364507.409405000,192.168.10.155
14,-1392,1647364507.409486000,13.224.141.44
15,66,1647364507.409491000,192.168.10.155
16,90,1647364507.409686000,192.168.10.155
17,66,1647364507.409703000,192.168.10.155
18,-90,1647364507.410058000,13.224.141.44
19,54,1647364507.410079000,192.168.10.155
20,74,1647364507.411251000,192.168.10.155
21,-60,1647364507.412267000,13.224.141.44
22,-60,1647364507.412268000,13.224.141.44
23,-74,1647364507.413230000,13.224.141.44
24,66,1647364507.413256000,192.168.10.155
25,583,1647364507.416170000,192.168.10.155
26,-66,1647364507.418668000,13.224.141.44
27,-1494,1647364507.419892000,13.224.141.44
28,66,1647364507.419906000,192.168.10.155
29,-1494,1647364507.419969000,13.224.141.44
30,66,1647364507.419975000,192.168.10.155
31,-1208,1647364507.421696000,13.224.141.44
32,66,1647364507.421711000,192.168.10.155
33,130,1647364507.426184000,192.168.10.155
34,518,1647364507.426445000,192.168.10.155
35,-66,1647364507.428031000,13.224.141.44
36,-66,1647364507.428161000,13.224.141.44
37,-996,1647364507.428796000,13.224.141.44
38,66,1647364507.428809000,192.168.10.155
39,90,1647364507.429220000,192.168.10.155
40,66,1647364507.429259000,192.168.10.155
41,-90,1647364507.429477000,13.224.141.44
42,54,1647364507.429538000,192.168.10.155
43,-60,1647364507.431290000,13.224.141.44
44,-60,1647364507.431375000,13.224.141.44
45,74,1647364507.431821000,192.168.10.155
46,-74,1647364507.434112000,13.224.141.44
47,66,1647364507.434134000,192.168.10.155
48,583,1647364507.437157000,192.168.10.155
49,-66,1647364507.439784000,13.224.141.44
50,-2922,1647364507.440838000,13.224.141.44
51,66,1647364507.440862000,192.168.10.155
52,-1208,1647364507.442255000,13.224.141.44
53,66,1647364507.442266000,192.168.10.155
54,130,1647364507.446365000,192.168.10.155
55,518,1647364507.446548000,192.168.10.155
56,-66,1647364507.448216000,13.224.141.44
57,-66,1647364507.448564000,13.224.141.44
58,-675,1647364507.448906000,13.224.141.44
59,66,1647364507.448921000,192.168.10.155
60,90,1647364507.449252000,192.168.10.155
61,66,1647364507.449279000,192.168.10.155
62,-90,1647364507.449434000,13.224.141.44
63,54,1647364507.449452000,192.168.10.155
64,74,1647364507.451354000,192.168.10.155
65,-60,1647364507.451451000,13.224.141.44
66,-60,1647364507.451600000,13.224.141.44
