index,size,time,ip
0,66,1647425509.703509000,192.168.10.155
1,236,1647425509.714812000,192.168.10.155
2,657,1647425509.714852000,192.168.10.155
3,90,1647425509.715063000,192.168.10.155
4,66,1647425509.715085000,192.168.10.155
5,97,1647425509.715916000,192.168.10.155
6,74,1647425509.717175000,192.168.10.155
7,-66,1647425509.717944000,54.230.130.235
8,-66,1647425509.717945000,54.230.130.235
9,-60,1647425509.717946000,54.239.168.21
10,-60,1647425509.717946000,54.239.168.21
11,-66,1647425509.717946000,54.230.130.235
12,-74,1647425509.720635000,54.239.168.21
13,66,1647425509.720653000,192.168.10.155
14,583,1647425509.722556000,192.168.10.155
15,-66,1647425509.727293000,54.239.168.21
16,-66,1647425509.727294000,54.191.212.31
17,-2922,1647425509.727295000,54.239.168.21
18,66,1647425509.727330000,192.168.10.155
19,-1208,1647425509.729139000,54.239.168.21
20,66,1647425509.729147000,192.168.10.155
21,130,1647425509.731317000,192.168.10.155
22,495,1647425509.731432000,192.168.10.155
23,-66,1647425509.734551000,54.239.168.21
24,-642,1647425509.734551000,54.239.168.21
25,-90,1647425509.734552000,54.239.168.21
26,66,1647425509.734568000,192.168.10.155
27,90,1647425509.734739000,192.168.10.155
28,66,1647425509.734754000,192.168.10.155
29,74,1647425509.736313000,192.168.10.155
30,74,1647425509.737290000,192.168.10.155
31,-60,1647425509.738055000,54.239.168.21
32,-60,1647425509.738056000,54.239.168.21
33,-74,1647425509.739315000,54.239.168.21
34,66,1647425509.739337000,192.168.10.155
35,-74,1647425509.740587000,54.230.130.7
36,66,1647425509.740613000,192.168.10.155
37,583,1647425509.741784000,192.168.10.155
38,282,1647425509.741954000,192.168.10.155
39,-66,1647425509.749856000,54.239.168.21
40,-66,1647425509.749857000,54.230.130.7
41,-2922,1647425509.749858000,54.239.168.21
42,66,1647425509.749881000,192.168.10.155
43,-1208,1647425509.752326000,54.239.168.21
44,-2922,1647425509.752328000,54.230.130.7
45,66,1647425509.752352000,192.168.10.155
46,66,1647425509.752392000,192.168.10.155
47,-1109,1647425509.754518000,54.230.130.7
48,66,1647425509.754532000,192.168.10.155
49,159,1647425509.756277000,192.168.10.155
50,-66,1647425509.759594000,54.230.130.7
51,-237,1647425509.759595000,54.230.130.7
52,-135,1647425509.759596000,54.230.130.7
53,66,1647425509.759639000,192.168.10.155
54,66,1647425509.759674000,192.168.10.155
55,130,1647425509.761236000,192.168.10.155
56,500,1647425509.762173000,192.168.10.155
57,243,1647425509.762879000,192.168.10.155
58,375,1647425509.762898000,192.168.10.155
59,104,1647425509.763206000,192.168.10.155
60,-66,1647425509.764840000,54.239.168.21
61,-16472,1647425509.766510000,54.239.168.21
62,66,1647425509.766520000,192.168.10.155
63,-17202,1647425509.766560000,54.239.168.21
64,66,1647425509.766562000,192.168.10.155
65,-2922,1647425509.766582000,54.239.168.21
66,-66,1647425509.766582000,54.230.130.7
67,-66,1647425509.766583000,54.230.130.7
68,-2922,1647425509.766583000,54.239.168.21
69,-5790,1647425509.766585000,54.230.130.7
70,66,1647425509.766592000,192.168.10.155
71,66,1647425509.766606000,192.168.10.155
72,78,1647425509.766611000,192.168.10.155
73,-8634,1647425509.770046000,54.239.168.21
74,66,1647425509.770053000,192.168.10.155
75,-20058,1647425509.770302000,54.239.168.21
76,66,1647425509.770311000,192.168.10.155
77,-104,1647425509.770334000,54.230.130.7
78,-2922,1647425509.770335000,54.239.168.21
79,-3402,1647425509.770336000,54.239.168.21
80,66,1647425509.770342000,192.168.10.155
81,66,1647425509.770346000,192.168.10.155
82,66,1647425509.770361000,192.168.10.155
83,90,1647425509.770518000,192.168.10.155
84,66,1647425509.770531000,192.168.10.155
85,74,1647425509.773409000,192.168.10.155
86,-60,1647425509.775412000,54.239.168.21
87,-60,1647425509.775416000,54.239.168.21
88,-74,1647425509.780022000,54.239.168.21
89,66,1647425509.780060000,192.168.10.155
90,583,1647425509.784641000,192.168.10.155
91,-66,1647425509.788378000,54.239.168.21
92,-2922,1647425509.788379000,54.239.168.21
93,66,1647425509.788397000,192.168.10.155
94,-1208,1647425509.792459000,54.239.168.21
95,66,1647425509.792488000,192.168.10.155
96,130,1647425509.796527000,192.168.10.155
97,501,1647425509.796746000,192.168.10.155
