index,size,time,ip
0,236,1647450529.136146000,192.168.10.155
1,652,1647450529.136279000,192.168.10.155
2,97,1647450529.137083000,192.168.10.155
3,74,1647450529.138044000,192.168.10.155
4,130,1647450529.138996000,192.168.10.155
5,508,1647450529.139127000,192.168.10.155
6,-66,1647450529.140315000,54.230.130.235
7,-66,1647450529.140316000,54.230.130.235
8,-74,1647450529.141444000,54.230.130.93
9,66,1647450529.141459000,192.168.10.155
10,284,1647450529.141557000,192.168.10.155
11,-66,1647450529.145723000,54.239.168.21
12,-66,1647450529.146096000,54.230.130.93
13,-4102,1647450529.146100000,54.239.168.21
14,66,1647450529.146125000,192.168.10.155
15,90,1647450529.146480000,192.168.10.155
16,66,1647450529.146504000,192.168.10.155
17,-2922,1647450529.147136000,54.230.130.93
18,-90,1647450529.147137000,54.239.168.21
19,66,1647450529.147149000,192.168.10.155
20,54,1647450529.147182000,192.168.10.155
21,74,1647450529.148751000,192.168.10.155
22,-1122,1647450529.149021000,54.230.130.93
23,66,1647450529.149058000,192.168.10.155
24,-60,1647450529.150470000,54.239.168.21
25,-60,1647450529.150471000,54.239.168.21
26,-74,1647450529.152310000,54.239.168.21
27,66,1647450529.152351000,192.168.10.155
28,159,1647450529.152409000,192.168.10.155
29,-66,1647450529.155754000,54.230.130.93
30,-237,1647450529.155756000,54.230.130.93
31,66,1647450529.155792000,192.168.10.155
32,583,1647450529.155946000,192.168.10.155
33,538,1647450529.158220000,192.168.10.155
34,-66,1647450529.159763000,54.239.168.21
35,-66,1647450529.161487000,54.230.130.93
36,-2922,1647450529.161488000,54.239.168.21
37,-1060,1647450529.161488000,54.230.130.93
38,66,1647450529.161501000,192.168.10.155
39,66,1647450529.161518000,192.168.10.155
40,-1208,1647450529.163434000,54.239.168.21
41,66,1647450529.163457000,192.168.10.155
42,561,1647450529.168063000,192.168.10.155
43,130,1647450529.168722000,192.168.10.155
44,506,1647450529.168883000,192.168.10.155
45,-66,1647450529.171313000,54.230.130.93
46,-1449,1647450529.171314000,54.230.130.93
47,-66,1647450529.173047000,54.239.168.21
