index,size,time,ip
0,66,1649903329.654962,192.168.10.155
1,-97,1649903329.662230,35.164.251.155
2,-66,1649903329.662231,35.164.251.155
3,54,1649903329.662263,192.168.10.155
4,54,1649903329.662286,192.168.10.155
5,236,1649903329.663419,192.168.10.155
6,398,1649903329.663438,192.168.10.155
7,90,1649903329.663834,192.168.10.155
8,66,1649903329.663854,192.168.10.155
9,97,1649903329.663947,192.168.10.155
10,74,1649903329.664092,192.168.10.155
11,74,1649903329.665560,192.168.10.155
12,-60,1649903329.669060,54.230.130.11
13,-60,1649903329.669060,54.230.130.11
14,-74,1649903329.669060,54.230.130.93
15,-74,1649903329.669061,54.230.130.11
16,66,1649903329.669103,192.168.10.155
17,66,1649903329.669141,192.168.10.155
18,284,1649903329.669308,192.168.10.155
19,583,1649903329.671242,192.168.10.155
20,-66,1649903329.672977,54.230.130.93
21,-1494,1649903329.673545,54.230.130.93
22,66,1649903329.673553,192.168.10.155
23,-1494,1649903329.674136,54.230.130.93
24,66,1649903329.674139,192.168.10.155
25,-66,1649903329.674713,31.13.82.36
26,-66,1649903329.674713,31.13.82.36
27,-110,1649903329.675103,31.13.82.36
28,66,1649903329.675111,192.168.10.155
29,-1122,1649903329.675887,54.230.130.93
30,-66,1649903329.675888,54.230.130.11
31,66,1649903329.675897,192.168.10.155
32,-2922,1649903329.676276,54.230.130.11
33,66,1649903329.676285,192.168.10.155
34,159,1649903329.677251,192.168.10.155
35,-1208,1649903329.678141,54.230.130.11
36,66,1649903329.678152,192.168.10.155
37,-66,1649903329.680795,54.230.130.93
38,-237,1649903329.681174,54.230.130.93
39,66,1649903329.681185,192.168.10.155
40,538,1649903329.682653,192.168.10.155
41,130,1649903329.684276,192.168.10.155
42,500,1649903329.684657,192.168.10.155
43,-66,1649903329.687078,54.230.130.93
44,-66,1649903329.687434,54.230.130.11
45,-66,1649903329.687434,54.230.130.11
46,-1060,1649903329.687804,54.230.130.93
47,66,1649903329.687812,192.168.10.155
48,-1494,1649903329.689488,54.230.130.11
49,66,1649903329.689502,192.168.10.155
50,-15044,1649903329.690342,54.230.130.11
51,66,1649903329.690354,192.168.10.155
52,-15774,1649903329.690394,54.230.130.11
53,66,1649903329.690399,192.168.10.155
54,-7206,1649903329.690416,54.230.130.11
55,66,1649903329.690420,192.168.10.155
56,561,1649903329.691616,192.168.10.155
57,-1494,1649903329.693705,54.230.130.11
58,66,1649903329.693713,192.168.10.155
59,-1494,1649903329.694105,54.230.130.11
60,66,1649903329.694110,192.168.10.155
61,-66,1649903329.695293,54.230.130.93
62,-1451,1649903329.695699,54.230.130.93
63,-1494,1649903329.696560,54.230.130.11
64,66,1649903329.696572,192.168.10.155
65,-24342,1649903329.697643,54.230.130.11
66,66,1649903329.697655,192.168.10.155
67,-2922,1649903329.697689,54.230.130.11
68,-3402,1649903329.697691,54.230.130.11
69,66,1649903329.697702,192.168.10.155
70,66,1649903329.697723,192.168.10.155
71,90,1649903329.698024,192.168.10.155
