index,size,time,ip
0,236,1649836608.944828,192.168.10.155
1,394,1649836608.944856,192.168.10.155
2,583,1649836608.947100,192.168.10.155
3,74,1649836608.947278,192.168.10.155
4,-74,1649836608.950430,54.230.130.22
5,66,1649836608.950458,192.168.10.155
6,284,1649836608.950613,192.168.10.155
7,-66,1649836608.950773,54.230.130.11
8,-2922,1649836608.951486,54.230.130.11
9,66,1649836608.951494,192.168.10.155
10,-1208,1649836608.952722,54.230.130.11
11,66,1649836608.952734,192.168.10.155
12,-66,1649836608.953794,54.230.130.22
13,-1494,1649836608.954668,54.230.130.22
14,66,1649836608.954714,192.168.10.155
15,-1494,1649836608.955033,54.230.130.22
16,66,1649836608.955058,192.168.10.155
17,-66,1649836608.955582,23.46.27.23
18,-66,1649836608.956232,23.46.27.23
19,-1122,1649836608.956841,54.230.130.22
20,-2947,1649836608.956842,23.46.27.23
21,-2947,1649836608.956844,23.46.27.23
22,-2947,1649836608.956845,23.46.27.23
23,-2947,1649836608.956846,23.46.27.23
24,66,1649836608.956860,192.168.10.155
25,66,1649836608.956875,192.168.10.155
26,66,1649836608.956880,192.168.10.155
27,66,1649836608.956884,192.168.10.155
28,66,1649836608.956890,192.168.10.155
29,97,1649836608.957024,192.168.10.155
30,-4410,1649836608.957203,23.46.27.23
31,66,1649836608.957304,192.168.10.155
32,-1484,1649836608.958090,23.46.27.23
33,-2947,1649836608.958617,23.46.27.23
34,-2962,1649836608.958619,23.46.27.23
35,66,1649836608.958637,192.168.10.155
36,159,1649836608.958755,192.168.10.155
37,130,1649836608.959149,192.168.10.155
38,66,1649836608.959621,192.168.10.155
39,500,1649836608.959759,192.168.10.155
40,-66,1649836608.963985,54.230.130.22
41,-66,1649836608.964338,54.230.130.11
42,-66,1649836608.964339,54.230.130.11
43,-237,1649836608.964340,54.230.130.22
44,66,1649836608.964368,192.168.10.155
45,-610,1649836608.964939,54.230.130.11
46,538,1649836608.964947,192.168.10.155
47,66,1649836608.964960,192.168.10.155
48,90,1649836608.965111,192.168.10.155
49,66,1649836608.965124,192.168.10.155
50,-90,1649836608.965274,54.230.130.11
51,54,1649836608.965292,192.168.10.155
52,-66,1649836608.967908,54.230.130.22
53,-1514,1649836608.968474,23.46.27.23
54,-2962,1649836608.968975,23.46.27.23
55,66,1649836608.968991,192.168.10.155
56,-730,1649836608.969768,23.46.27.23
57,-66,1649836608.970127,23.46.27.23
58,-1060,1649836608.970128,54.230.130.22
59,66,1649836608.970147,192.168.10.155
60,74,1649836608.977446,192.168.10.155
61,-74,1649836608.980069,54.230.130.11
62,66,1649836608.980106,192.168.10.155
63,583,1649836608.985243,192.168.10.155
64,561,1649836608.985589,192.168.10.155
65,-66,1649836608.988109,54.230.130.22
66,-66,1649836608.988645,54.230.130.11
67,-1451,1649836608.989091,54.230.130.22
68,-2922,1649836608.989492,54.230.130.11
69,66,1649836608.989507,192.168.10.155
70,-1208,1649836608.990802,54.230.130.11
71,66,1649836608.990816,192.168.10.155
72,130,1649836608.993586,192.168.10.155
73,494,1649836608.993742,192.168.10.155
74,-66,1649836608.996437,54.230.130.11
75,-66,1649836608.996839,54.230.130.11
76,-1494,1649836608.997340,54.230.130.11
77,66,1649836608.997355,192.168.10.155
78,-5778,1649836608.998061,54.230.130.11
79,-90,1649836608.998062,54.230.130.11
80,-66,1649836608.998062,54.230.130.11
81,66,1649836608.998078,192.168.10.155
82,66,1649836608.998092,192.168.10.155
83,90,1649836608.998326,192.168.10.155
84,66,1649836608.998344,192.168.10.155
85,-60,1649836609.001295,54.230.130.11
86,-60,1649836609.001760,54.230.130.11
87,66,1649836609.010941,192.168.10.155
88,-97,1649836609.015675,52.26.78.123
89,54,1649836609.015722,192.168.10.155
