index,size,time,ip
0,-66,1649841623.307646,104.244.42.1
1,-1414,1649841623.309370,104.244.42.1
2,66,1649841623.309398,192.168.10.155
3,-1414,1649841623.309668,104.244.42.1
4,-810,1649841623.309668,104.244.42.1
5,66,1649841623.309680,192.168.10.155
6,66,1649841623.309691,192.168.10.155
7,74,1649841623.315878,192.168.10.155
8,-74,1649841623.319466,54.230.130.80
9,66,1649841623.319655,192.168.10.155
10,583,1649841623.323742,192.168.10.155
11,74,1649841623.324841,192.168.10.155
12,-66,1649841623.326769,54.230.130.80
13,-74,1649841623.327549,117.18.237.29
14,66,1649841623.327584,192.168.10.155
15,497,1649841623.327740,192.168.10.155
16,-2922,1649841623.327979,54.230.130.80
17,66,1649841623.327985,192.168.10.155
18,-1208,1649841623.329168,54.230.130.80
19,66,1649841623.329221,192.168.10.155
20,-66,1649841623.331605,117.18.237.29
21,-864,1649841623.333737,117.18.237.29
22,66,1649841623.333762,192.168.10.155
23,130,1649841623.340920,192.168.10.155
24,500,1649841623.341170,192.168.10.155
25,130,1649841623.343070,192.168.10.155
26,236,1649841623.343483,192.168.10.155
27,394,1649841623.343507,192.168.10.155
28,-66,1649841623.343747,54.230.130.80
29,-66,1649841623.344322,54.230.130.80
30,549,1649841623.345991,192.168.10.155
31,-16472,1649841623.348460,54.230.130.80
32,66,1649841623.348486,192.168.10.155
33,-20058,1649841623.348540,54.230.130.80
34,-2922,1649841623.348552,54.230.130.80
35,66,1649841623.348593,192.168.10.155
36,-66,1649841623.350296,54.230.130.25
37,-1494,1649841623.350759,54.230.130.25
38,66,1649841623.350789,192.168.10.155
39,-2067,1649841623.351751,54.230.130.25
40,66,1649841623.351778,192.168.10.155
41,-1494,1649841623.353145,54.230.130.80
42,-27198,1649841623.354020,54.230.130.80
43,66,1649841623.354049,192.168.10.155
44,-2922,1649841623.354118,54.230.130.80
45,-10062,1649841623.354122,54.230.130.80
46,66,1649841623.354134,192.168.10.155
47,66,1649841623.354143,192.168.10.155
48,-8702,1649841623.354355,54.230.130.80
49,66,1649841623.354365,192.168.10.155
50,-66,1649841623.355325,104.244.42.1
51,-66,1649841623.355678,104.244.42.1
52,-66,1649841623.355679,104.244.42.1
53,-593,1649841623.356259,104.244.42.1
54,66,1649841623.356271,192.168.10.155
55,97,1649841623.356847,192.168.10.155
56,-1494,1649841623.359022,54.230.130.80
57,66,1649841623.359050,192.168.10.155
58,-11422,1649841623.359935,54.230.130.80
59,66,1649841623.359943,192.168.10.155
60,-31482,1649841623.360038,54.230.130.80
61,66,1649841623.360043,192.168.10.155
62,-31482,1649841623.361198,54.230.130.80
63,66,1649841623.361209,192.168.10.155
64,-15774,1649841623.361828,54.230.130.80
65,66,1649841623.361839,192.168.10.155
66,-15774,1649841623.361900,54.230.130.80
67,66,1649841623.361908,192.168.10.155
68,-1494,1649841623.363386,54.230.130.80
