index,size,time,ip
0,130,1649825109.053089,192.168.10.155
1,500,1649825109.053317,192.168.10.155
2,-66,1649825109.055811,54.230.130.11
3,-66,1649825109.056187,54.230.130.11
4,-610,1649825109.056549,54.230.130.11
5,66,1649825109.056557,192.168.10.155
6,90,1649825109.056808,192.168.10.155
7,66,1649825109.056831,192.168.10.155
8,-90,1649825109.057392,54.230.130.11
9,54,1649825109.057411,192.168.10.155
10,74,1649825109.058477,192.168.10.155
11,-74,1649825109.062605,54.230.130.11
12,66,1649825109.062635,192.168.10.155
13,-74,1649825109.064267,103.102.166.224
14,66,1649825109.064288,192.168.10.155
15,583,1649825109.066362,192.168.10.155
16,583,1649825109.069727,192.168.10.155
17,-66,1649825109.072760,54.230.130.11
18,-2922,1649825109.072760,54.230.130.11
19,66,1649825109.072779,192.168.10.155
20,-1208,1649825109.074952,54.230.130.11
21,66,1649825109.074965,192.168.10.155
22,130,1649825109.077485,192.168.10.155
23,494,1649825109.077769,192.168.10.155
24,-66,1649825109.080965,54.230.130.11
25,-66,1649825109.080966,54.230.130.11
26,-1494,1649825109.081634,54.230.130.11
27,66,1649825109.081669,192.168.10.155
28,-5778,1649825109.082187,54.230.130.11
29,-90,1649825109.082189,54.230.130.11
30,-66,1649825109.082190,54.230.130.11
31,66,1649825109.082241,192.168.10.155
32,66,1649825109.082288,192.168.10.155
33,90,1649825109.086020,192.168.10.155
34,66,1649825109.086075,192.168.10.155
35,74,1649825109.087317,192.168.10.155
36,74,1649825109.087999,192.168.10.155
37,-60,1649825109.089269,54.230.130.11
38,-60,1649825109.089619,54.230.130.11
39,-74,1649825109.090450,54.230.130.11
40,66,1649825109.090467,192.168.10.155
41,-74,1649825109.091533,54.230.130.62
42,66,1649825109.091544,192.168.10.155
43,583,1649825109.093469,192.168.10.155
44,282,1649825109.093707,192.168.10.155
45,-66,1649825109.096965,54.230.130.62
46,-66,1649825109.097287,54.230.130.11
47,-2922,1649825109.098048,54.230.130.62
48,66,1649825109.098101,192.168.10.155
49,-2922,1649825109.098984,54.230.130.11
50,66,1649825109.099006,192.168.10.155
51,-1109,1649825109.099774,54.230.130.62
52,-1208,1649825109.099778,54.230.130.11
53,66,1649825109.099814,192.168.10.155
54,66,1649825109.099850,192.168.10.155
55,159,1649825109.101603,192.168.10.155
56,130,1649825109.104075,192.168.10.155
57,495,1649825109.104222,192.168.10.155
58,-66,1649825109.104451,54.230.130.62
59,-237,1649825109.105042,54.230.130.62
60,66,1649825109.105053,192.168.10.155
61,243,1649825109.105439,192.168.10.155
62,-135,1649825109.105993,54.230.130.62
63,66,1649825109.106002,192.168.10.155
64,104,1649825109.106038,192.168.10.155
65,-66,1649825109.107239,54.230.130.11
66,-66,1649825109.107600,54.230.130.11
67,-642,1649825109.107972,54.230.130.11
68,66,1649825109.107993,192.168.10.155
69,90,1649825109.108139,192.168.10.155
70,66,1649825109.108153,192.168.10.155
71,-90,1649825109.108779,54.230.130.11
72,-66,1649825109.108780,54.230.130.62
73,54,1649825109.108798,192.168.10.155
74,-66,1649825109.109816,54.230.130.62
75,-104,1649825109.109817,54.230.130.62
76,66,1649825109.109832,192.168.10.155
77,-97,1649825109.134690,35.164.251.155
78,54,1649825109.134736,192.168.10.155
79,-66,1649825109.134982,35.164.251.155
80,54,1649825109.135011,192.168.10.155
81,74,1649825109.135993,192.168.10.155
82,-3913,1649825109.138782,103.102.166.224
83,66,1649825109.138802,192.168.10.155
84,-74,1649825109.141022,54.230.130.11
85,66,1649825109.141043,192.168.10.155
86,583,1649825109.142694,192.168.10.155
87,-66,1649825109.147290,54.230.130.11
88,-1494,1649825109.147883,54.230.130.11
89,66,1649825109.147906,192.168.10.155
90,-1494,1649825109.148230,54.230.130.11
91,66,1649825109.148240,192.168.10.155
92,-1208,1649825109.149391,54.230.130.11
93,66,1649825109.149401,192.168.10.155
94,146,1649825109.152958,192.168.10.155
95,236,1649825109.183810,192.168.10.155
96,399,1649825109.183837,192.168.10.155
97,130,1649825109.184017,192.168.10.155
98,500,1649825109.184232,192.168.10.155
99,-66,1649825109.188278,54.230.130.11
100,-66,1649825109.188279,54.230.130.11
101,-1494,1649825109.189452,54.230.130.11
102,66,1649825109.189467,192.168.10.155
103,-2922,1649825109.190245,54.230.130.11
104,66,1649825109.190252,192.168.10.155
105,-12188,1649825109.191698,54.230.130.11
106,66,1649825109.191743,192.168.10.155
107,-20058,1649825109.191895,54.230.130.11
108,66,1649825109.191913,192.168.10.155
109,-2922,1649825109.191954,54.230.130.11
110,66,1649825109.191967,192.168.10.155
111,-1494,1649825109.193052,54.230.130.11
112,66,1649825109.193067,192.168.10.155
113,-1494,1649825109.193401,54.230.130.11
114,66,1649825109.193411,192.168.10.155
115,-1494,1649825109.195907,54.230.130.11
116,66,1649825109.195926,192.168.10.155
117,-4350,1649825109.196831,54.230.130.11
118,-20058,1649825109.196837,54.230.130.11
119,66,1649825109.196858,192.168.10.155
120,66,1649825109.196891,192.168.10.155
121,-2922,1649825109.196939,54.230.130.11
122,-3402,1649825109.196941,54.230.130.11
123,66,1649825109.196957,192.168.10.155
124,66,1649825109.196980,192.168.10.155
125,90,1649825109.197451,192.168.10.155
126,66,1649825109.197558,192.168.10.155
127,74,1649825109.199879,192.168.10.155
128,-60,1649825109.199944,54.230.130.11
129,-60,1649825109.202271,54.230.130.11
130,-74,1649825109.204790,54.230.130.11
131,66,1649825109.204808,192.168.10.155
132,583,1649825109.207579,192.168.10.155
133,-66,1649825109.211774,54.230.130.11
134,-1494,1649825109.212174,54.230.130.11
135,66,1649825109.212196,192.168.10.155
136,-1494,1649825109.212519,54.230.130.11
