index,size,time,ip
0,236,1649356332.179782000,10.11.219.6
1,655,1649356332.179817000,10.11.219.6
2,97,1649356332.181447000,10.11.219.6
3,-66,1649356332.182139000,18.65.110.227
4,-97,1649356332.183266000,18.65.110.227
5,-66,1649356332.183267000,18.65.110.227
6,66,1649356332.183286000,10.11.219.6
7,130,1649356332.184141000,10.11.219.6
8,494,1649356332.184274000,10.11.219.6
9,-66,1649356332.184313000,18.65.110.227
10,-66,1649356332.187526000,18.65.123.116
11,-66,1649356332.187526000,18.65.123.116
12,-2802,1649356332.188981000,18.65.123.116
13,66,1649356332.188986000,10.11.219.6
14,-2802,1649356332.189946000,18.65.123.116
15,-366,1649356332.189947000,18.65.123.116
16,-90,1649356332.189947000,18.65.123.116
17,-1434,1649356332.189947000,18.65.123.116
18,66,1649356332.189953000,10.11.219.6
19,78,1649356332.189965000,10.11.219.6
20,78,1649356332.189968000,10.11.219.6
21,66,1649356332.189973000,10.11.219.6
22,90,1649356332.190139000,10.11.219.6
23,66,1649356332.190151000,10.11.219.6
24,74,1649356332.191855000,10.11.219.6
25,-54,1649356332.192880000,18.65.123.116
26,-74,1649356332.195343000,18.65.123.116
27,66,1649356332.195407000,10.11.219.6
28,583,1649356332.198048000,10.11.219.6
29,74,1649356332.200705000,10.11.219.6
30,74,1649356332.200764000,10.11.219.6
31,-66,1649356332.201245000,18.65.123.116
32,-2802,1649356332.202420000,18.65.123.116
33,66,1649356332.202428000,10.11.219.6
34,-1328,1649356332.203435000,18.65.123.116
35,-74,1649356332.203435000,18.65.116.99
36,66,1649356332.203445000,10.11.219.6
37,66,1649356332.203460000,10.11.219.6
38,282,1649356332.204188000,10.11.219.6
39,-74,1649356332.204445000,18.65.116.99
40,66,1649356332.204457000,10.11.219.6
41,282,1649356332.204718000,10.11.219.6
42,130,1649356332.205997000,10.11.219.6
43,495,1649356332.206107000,10.11.219.6
44,-66,1649356332.207696000,18.65.116.99
45,-66,1649356332.207697000,18.65.116.99
46,-2802,1649356332.209185000,18.65.116.99
47,66,1649356332.209203000,10.11.219.6
48,-2802,1649356332.210264000,18.65.116.99
49,-66,1649356332.210265000,18.65.123.116
50,-66,1649356332.210265000,18.65.123.116
51,-1229,1649356332.210266000,18.65.116.99
52,66,1649356332.210281000,10.11.219.6
53,66,1649356332.210319000,10.11.219.6
54,-1229,1649356332.211116000,18.65.116.99
55,-642,1649356332.211118000,18.65.123.116
56,-90,1649356332.211118000,18.65.123.116
57,66,1649356332.211136000,10.11.219.6
58,66,1649356332.211156000,10.11.219.6
59,159,1649356332.211963000,10.11.219.6
60,159,1649356332.213783000,10.11.219.6
61,90,1649356332.214265000,10.11.219.6
62,66,1649356332.214303000,10.11.219.6
63,-66,1649356332.215845000,18.65.116.99
64,-237,1649356332.215847000,18.65.116.99
65,-135,1649356332.215849000,18.65.116.99
66,66,1649356332.215874000,10.11.219.6
67,66,1649356332.215898000,10.11.219.6
68,-66,1649356332.216952000,18.65.116.99
69,-237,1649356332.216953000,18.65.116.99
70,-135,1649356332.216954000,18.65.116.99
71,-54,1649356332.216955000,18.65.123.116
72,66,1649356332.216978000,10.11.219.6
73,66,1649356332.217000000,10.11.219.6
74,74,1649356332.218047000,10.11.219.6
75,243,1649356332.218721000,10.11.219.6
76,375,1649356332.218740000,10.11.219.6
77,104,1649356332.219061000,10.11.219.6
78,260,1649356332.219145000,10.11.219.6
79,190,1649356332.219278000,10.11.219.6
80,97,1649356332.219363000,10.11.219.6
81,-74,1649356332.221202000,18.65.123.116
82,-66,1649356332.221202000,18.65.116.99
83,-104,1649356332.221203000,18.65.116.99
84,-66,1649356332.221203000,18.65.116.99
85,66,1649356332.221220000,10.11.219.6
86,66,1649356332.221234000,10.11.219.6
87,583,1649356332.223170000,10.11.219.6
88,-66,1649356332.223558000,18.65.116.99
89,-2802,1649356332.223559000,18.65.116.99
90,-319,1649356332.223559000,18.65.116.99
91,-2802,1649356332.223559000,18.65.116.99
92,-66,1649356332.223560000,18.65.116.99
93,-66,1649356332.223560000,18.65.116.99
94,66,1649356332.223568000,10.11.219.6
95,78,1649356332.223578000,10.11.219.6
96,66,1649356332.223584000,10.11.219.6
97,-104,1649356332.223600000,18.65.116.99
98,-4170,1649356332.223601000,18.65.116.99
99,-319,1649356332.223601000,18.65.116.99
100,-66,1649356332.223601000,18.65.116.99
101,-1434,1649356332.223602000,18.65.116.99
102,54,1649356332.223614000,10.11.219.6
103,66,1649356332.223625000,10.11.219.6
104,78,1649356332.223641000,10.11.219.6
105,54,1649356332.223646000,10.11.219.6
106,66,1649356332.223651000,10.11.219.6
107,-66,1649356332.226494000,18.65.123.116
108,-2802,1649356332.229933000,18.65.123.116
109,-1328,1649356332.229935000,18.65.123.116
110,66,1649356332.229957000,10.11.219.6
111,66,1649356332.229986000,10.11.219.6
112,-97,1649356332.239378000,52.42.83.5
113,-66,1649356332.239380000,52.42.83.5
114,54,1649356332.239410000,10.11.219.6
115,54,1649356332.239431000,10.11.219.6
116,130,1649356332.242222000,10.11.219.6
117,500,1649356332.242517000,10.11.219.6
118,-66,1649356332.244745000,18.65.123.116
119,-66,1649356332.245796000,18.65.123.116
120,-5538,1649356332.248601000,18.65.123.116
121,66,1649356332.248621000,10.11.219.6
122,526,1649356332.248780000,10.11.219.6
123,-8274,1649356332.249070000,18.65.123.116
124,-1424,1649356332.249071000,18.65.123.116
125,-1434,1649356332.249071000,18.65.123.116
126,66,1649356332.249079000,10.11.219.6
127,78,1649356332.249091000,10.11.219.6
128,66,1649356332.249099000,10.11.219.6
129,-13746,1649356332.249137000,18.65.123.116
130,66,1649356332.249142000,10.11.219.6
131,-1434,1649356332.251319000,18.65.123.116
132,-2802,1649356332.251319000,18.65.123.116
133,66,1649356332.251326000,10.11.219.6
134,66,1649356332.251339000,10.11.219.6
135,-66,1649356332.252230000,18.65.116.118
136,-2802,1649356332.254986000,18.65.123.116
137,66,1649356332.255001000,10.11.219.6
138,-8274,1649356332.256618000,18.65.123.116
139,-6906,1649356332.256620000,18.65.123.116
140,66,1649356332.256641000,10.11.219.6
141,66,1649356332.256664000,10.11.219.6
142,-9642,1649356332.257184000,18.65.123.116
143,-4170,1649356332.257185000,18.65.123.116
144,66,1649356332.257192000,10.11.219.6
145,66,1649356332.257206000,10.11.219.6
146,-5538,1649356332.257227000,18.65.123.116
147,66,1649356332.257244000,10.11.219.6
148,-1434,1649356332.258876000,18.65.123.116
149,-210,1649356332.258877000,18.65.123.116
150,-1434,1649356332.258878000,18.65.123.116
151,66,1649356332.258893000,10.11.219.6
152,78,1649356332.258914000,10.11.219.6
153,66,1649356332.258920000,10.11.219.6
154,90,1649356332.259086000,10.11.219.6
155,66,1649356332.259109000,10.11.219.6
