index,size,time,ip
0,236,1649164949.098486000,10.11.219.6
1,630,1649164949.098515000,10.11.219.6
2,97,1649164949.100983000,10.11.219.6
3,-66,1649164949.101728000,18.65.110.227
4,-66,1649164949.101789000,18.65.110.227
5,-97,1649164949.101795000,18.65.110.227
6,66,1649164949.101819000,10.11.219.6
7,-66,1649164949.103761000,18.65.110.227
8,130,1649164949.107831000,10.11.219.6
9,499,1649164949.108135000,10.11.219.6
10,74,1649164949.110854000,10.11.219.6
11,-66,1649164949.111441000,18.65.123.80
12,-66,1649164949.111454000,18.65.123.80
13,-610,1649164949.111458000,18.65.123.80
14,66,1649164949.111464000,10.11.219.6
15,-90,1649164949.111482000,18.65.123.80
16,90,1649164949.111643000,10.11.219.6
17,66,1649164949.111656000,10.11.219.6
18,-74,1649164949.114327000,18.65.116.14
19,66,1649164949.114339000,10.11.219.6
20,-54,1649164949.114346000,18.65.123.80
21,74,1649164949.114347000,10.11.219.6
22,282,1649164949.114466000,10.11.219.6
23,-74,1649164949.117542000,18.65.123.80
24,66,1649164949.117567000,10.11.219.6
25,-66,1649164949.117584000,18.65.116.14
26,-2802,1649164949.118775000,18.65.116.14
27,66,1649164949.118786000,10.11.219.6
28,583,1649164949.120237000,10.11.219.6
29,-1229,1649164949.120335000,18.65.116.14
30,66,1649164949.120407000,10.11.219.6
31,159,1649164949.122810000,10.11.219.6
32,-66,1649164949.124122000,18.65.123.80
33,-2802,1649164949.124135000,18.65.123.80
34,66,1649164949.124145000,10.11.219.6
35,-1328,1649164949.125129000,18.65.123.80
36,66,1649164949.125146000,10.11.219.6
37,-66,1649164949.126150000,18.65.116.14
38,-237,1649164949.126161000,18.65.116.14
39,66,1649164949.126170000,10.11.219.6
40,-135,1649164949.126185000,18.65.116.14
41,66,1649164949.126192000,10.11.219.6
42,243,1649164949.127152000,10.11.219.6
43,104,1649164949.127466000,10.11.219.6
44,130,1649164949.127843000,10.11.219.6
45,500,1649164949.127957000,10.11.219.6
46,-66,1649164949.130419000,18.65.116.14
47,-104,1649164949.130432000,18.65.116.14
48,66,1649164949.130439000,10.11.219.6
49,-66,1649164949.130458000,18.65.116.14
50,-66,1649164949.130462000,18.65.123.80
51,-66,1649164949.131529000,18.65.123.80
52,-610,1649164949.131537000,18.65.123.80
53,66,1649164949.131544000,10.11.219.6
54,-90,1649164949.131564000,18.65.123.80
55,90,1649164949.131742000,10.11.219.6
56,66,1649164949.131763000,10.11.219.6
57,-54,1649164949.134675000,18.65.123.80
58,-66,1649164949.155068000,54.187.160.31
59,74,1649164949.158979000,10.11.219.6
60,-74,1649164949.162567000,18.65.123.80
61,66,1649164949.162588000,10.11.219.6
62,583,1649164949.165066000,10.11.219.6
63,-66,1649164949.167910000,18.65.123.80
64,-2802,1649164949.170374000,18.65.123.80
65,66,1649164949.170392000,10.11.219.6
66,-1328,1649164949.170414000,18.65.123.80
67,66,1649164949.170419000,10.11.219.6
68,130,1649164949.173983000,10.11.219.6
69,494,1649164949.174160000,10.11.219.6
70,-66,1649164949.176549000,18.65.123.80
71,-66,1649164949.176558000,18.65.123.80
72,-5538,1649164949.178173000,18.65.123.80
73,66,1649164949.178189000,10.11.219.6
74,-365,1649164949.178215000,18.65.123.80
75,78,1649164949.178223000,10.11.219.6
76,-1434,1649164949.178227000,18.65.123.80
77,66,1649164949.178232000,10.11.219.6
78,-90,1649164949.178235000,18.65.123.80
79,90,1649164949.178523000,10.11.219.6
80,66,1649164949.178551000,10.11.219.6
81,74,1649164949.180620000,10.11.219.6
82,-54,1649164949.180851000,18.65.123.80
83,-74,1649164949.184035000,18.65.123.80
84,66,1649164949.184072000,10.11.219.6
85,583,1649164949.188229000,10.11.219.6
86,-66,1649164949.191586000,18.65.123.80
87,-2802,1649164949.192818000,18.65.123.80
88,66,1649164949.192836000,10.11.219.6
89,-1328,1649164949.193951000,18.65.123.80
90,66,1649164949.193963000,10.11.219.6
91,130,1649164949.196859000,10.11.219.6
92,495,1649164949.197070000,10.11.219.6
93,-66,1649164949.199085000,18.65.123.80
94,-66,1649164949.200179000,18.65.123.80
95,-640,1649164949.200191000,18.65.123.80
96,66,1649164949.200214000,10.11.219.6
97,90,1649164949.200667000,10.11.219.6
98,66,1649164949.200795000,10.11.219.6
99,-90,1649164949.201209000,18.65.123.80
100,54,1649164949.201265000,10.11.219.6
101,74,1649164949.203738000,10.11.219.6
102,-74,1649164949.206566000,18.65.123.80
103,66,1649164949.206586000,10.11.219.6
104,583,1649164949.209708000,10.11.219.6
105,-66,1649164949.213053000,18.65.123.80
106,-2802,1649164949.218855000,18.65.123.80
107,66,1649164949.218874000,10.11.219.6
108,-1328,1649164949.218901000,18.65.123.80
109,66,1649164949.218907000,10.11.219.6
110,130,1649164949.223442000,10.11.219.6
111,500,1649164949.223624000,10.11.219.6
112,-66,1649164949.225907000,18.65.123.80
113,-66,1649164949.227027000,18.65.123.80
114,-5538,1649164949.228824000,18.65.123.80
115,66,1649164949.228840000,10.11.219.6
116,-8274,1649164949.230821000,18.65.123.80
117,66,1649164949.230838000,10.11.219.6
118,-1424,1649164949.231877000,18.65.123.80
119,78,1649164949.231898000,10.11.219.6
120,-1434,1649164949.231920000,18.65.123.80
121,66,1649164949.231938000,10.11.219.6
122,-15114,1649164949.231948000,18.65.123.80
123,66,1649164949.231955000,10.11.219.6
124,-4170,1649164949.231970000,18.65.123.80
125,66,1649164949.231973000,10.11.219.6
126,-2802,1649164949.233741000,18.65.123.80
127,66,1649164949.233764000,10.11.219.6
128,-8274,1649164949.234783000,18.65.123.80
129,66,1649164949.234800000,10.11.219.6
130,-2802,1649164949.239074000,18.65.123.80
131,66,1649164949.239088000,10.11.219.6
132,-13746,1649164949.239116000,18.65.123.80
133,66,1649164949.239123000,10.11.219.6
134,-5538,1649164949.239178000,18.65.123.80
135,66,1649164949.239186000,10.11.219.6
136,-1434,1649164949.239194000,18.65.123.80
