index,size,time,ip
0,236,1649357075.892703000,10.11.219.6
1,686,1649357075.892730000,10.11.219.6
2,97,1649357075.894301000,10.11.219.6
3,74,1649357075.894508000,10.11.219.6
4,-66,1649357075.895362000,18.65.110.227
5,-97,1649357075.895364000,18.65.110.227
6,-66,1649357075.895364000,18.65.110.227
7,66,1649357075.895386000,10.11.219.6
8,-66,1649357075.897553000,18.65.110.227
9,-74,1649357075.897555000,18.65.116.40
10,130,1649357075.897561000,10.11.219.6
11,66,1649357075.897583000,10.11.219.6
12,500,1649357075.897762000,10.11.219.6
13,282,1649357075.897862000,10.11.219.6
14,-66,1649357075.900776000,13.224.141.96
15,-66,1649357075.900777000,13.224.141.96
16,-610,1649357075.900777000,13.224.141.96
17,66,1649357075.900796000,10.11.219.6
18,90,1649357075.901054000,10.11.219.6
19,66,1649357075.901078000,10.11.219.6
20,74,1649357075.902914000,10.11.219.6
21,-66,1649357075.904196000,18.65.116.40
22,-90,1649357075.904197000,13.224.141.96
23,-2802,1649357075.904198000,18.65.116.40
24,-1229,1649357075.904198000,18.65.116.40
25,54,1649357075.904217000,10.11.219.6
26,66,1649357075.904231000,10.11.219.6
27,66,1649357075.904240000,10.11.219.6
28,-66,1649357075.905022000,52.10.136.43
29,159,1649357075.905957000,10.11.219.6
30,-74,1649357075.906073000,13.224.141.96
31,66,1649357075.906086000,10.11.219.6
32,583,1649357075.908791000,10.11.219.6
33,-66,1649357075.909365000,18.65.116.40
34,-237,1649357075.909366000,18.65.116.40
35,-135,1649357075.909367000,18.65.116.40
36,66,1649357075.909380000,10.11.219.6
37,66,1649357075.909391000,10.11.219.6
38,-66,1649357075.911436000,13.224.141.96
39,243,1649357075.911966000,10.11.219.6
40,427,1649357075.911983000,10.11.219.6
41,104,1649357075.912295000,10.11.219.6
42,-2802,1649357075.916001000,13.224.141.96
43,66,1649357075.916016000,10.11.219.6
44,-1328,1649357075.917958000,13.224.141.96
45,-66,1649357075.917959000,18.65.116.40
46,-66,1649357075.917959000,18.65.116.40
47,-104,1649357075.917959000,18.65.116.40
48,-395,1649357075.917960000,18.65.116.40
49,-66,1649357075.917960000,18.65.116.40
50,66,1649357075.917970000,10.11.219.6
51,66,1649357075.917988000,10.11.219.6
52,66,1649357075.917992000,10.11.219.6
53,130,1649357075.921326000,10.11.219.6
54,494,1649357075.921544000,10.11.219.6
55,-66,1649357075.924323000,13.224.141.96
56,-66,1649357075.924324000,13.224.141.96
57,-5538,1649357075.926770000,13.224.141.96
58,-366,1649357075.926770000,13.224.141.96
59,-1434,1649357075.926771000,13.224.141.96
60,-90,1649357075.926771000,13.224.141.96
61,66,1649357075.926793000,10.11.219.6
62,78,1649357075.926810000,10.11.219.6
63,66,1649357075.926816000,10.11.219.6
64,90,1649357075.927184000,10.11.219.6
65,66,1649357075.927208000,10.11.219.6
66,-54,1649357075.929656000,13.224.141.96
67,74,1649357075.930064000,10.11.219.6
68,-74,1649357075.932861000,13.224.141.96
69,66,1649357075.932892000,10.11.219.6
70,583,1649357075.935383000,10.11.219.6
71,-66,1649357075.938170000,13.224.141.96
72,-2802,1649357075.942720000,13.224.141.96
73,-1328,1649357075.942721000,13.224.141.96
74,66,1649357075.942740000,10.11.219.6
75,66,1649357075.942767000,10.11.219.6
76,538,1649357075.943952000,10.11.219.6
77,130,1649357075.945255000,10.11.219.6
78,495,1649357075.945363000,10.11.219.6
79,-66,1649357075.946870000,18.65.116.87
80,-1060,1649357075.946872000,18.65.116.87
81,66,1649357075.946901000,10.11.219.6
82,-66,1649357075.947859000,13.224.141.96
83,-66,1649357075.947860000,13.224.141.96
84,-642,1649357075.948971000,13.224.141.96
85,-90,1649357075.948972000,13.224.141.96
86,66,1649357075.948992000,10.11.219.6
87,90,1649357075.949268000,10.11.219.6
88,66,1649357075.949306000,10.11.219.6
89,74,1649357075.951295000,10.11.219.6
90,-54,1649357075.952114000,13.224.141.96
91,561,1649357075.952574000,10.11.219.6
92,-74,1649357075.954269000,13.224.141.96
93,66,1649357075.954286000,10.11.219.6
94,-66,1649357075.955407000,18.65.116.87
95,-82,1649357075.955408000,18.65.116.87
96,-1434,1649357075.955408000,18.65.116.87
97,78,1649357075.955417000,10.11.219.6
98,66,1649357075.955425000,10.11.219.6
99,583,1649357075.956521000,10.11.219.6
100,-66,1649357075.959643000,13.224.141.96
101,-2802,1649357075.961977000,13.224.141.96
102,-1328,1649357075.961978000,13.224.141.96
103,66,1649357075.961991000,10.11.219.6
104,66,1649357075.962013000,10.11.219.6
105,130,1649357075.965633000,10.11.219.6
106,500,1649357075.965823000,10.11.219.6
107,-66,1649357075.969255000,13.224.141.96
108,-66,1649357075.969256000,13.224.141.96
109,-2802,1649357075.971434000,13.224.141.96
110,66,1649357075.971448000,10.11.219.6
111,-13736,1649357075.979360000,13.224.141.96
112,66,1649357075.979385000,10.11.219.6
113,-15114,1649357075.979598000,13.224.141.96
114,66,1649357075.979604000,10.11.219.6
