index,size,time,ip
0,-74,1649837175.269346,54.230.130.15
1,66,1649837175.269375,192.168.10.155
2,583,1649837175.271484,192.168.10.155
3,-66,1649837175.274565,54.230.130.15
4,-1494,1649837175.275137,54.230.130.15
5,66,1649837175.275151,192.168.10.155
6,-1494,1649837175.275505,54.230.130.15
7,66,1649837175.275512,192.168.10.155
8,-1208,1649837175.277835,54.230.130.15
9,66,1649837175.277849,192.168.10.155
10,130,1649837175.283718,192.168.10.155
11,494,1649837175.283861,192.168.10.155
12,-66,1649837175.286045,54.230.130.15
13,-66,1649837175.286745,54.230.130.15
14,74,1649837175.286961,192.168.10.155
15,-7206,1649837175.287319,54.230.130.15
16,-90,1649837175.287319,54.230.130.15
17,66,1649837175.287326,192.168.10.155
18,66,1649837175.287337,192.168.10.155
19,90,1649837175.287533,192.168.10.155
20,66,1649837175.287550,192.168.10.155
21,-66,1649837175.287801,54.230.130.15
22,66,1649837175.287810,192.168.10.155
23,74,1649837175.288768,192.168.10.155
24,-60,1649837175.291226,54.230.130.15
25,-74,1649837175.292461,54.230.130.15
26,66,1649837175.292499,192.168.10.155
27,583,1649837175.295323,192.168.10.155
28,74,1649837175.295668,192.168.10.155
29,-74,1649837175.298747,54.230.130.7
30,66,1649837175.298800,192.168.10.155
31,282,1649837175.299232,192.168.10.155
32,-66,1649837175.299391,54.230.130.15
33,-2922,1649837175.299995,54.230.130.15
34,66,1649837175.300006,192.168.10.155
35,-1208,1649837175.301407,54.230.130.15
36,66,1649837175.301423,192.168.10.155
37,-66,1649837175.302471,54.230.130.7
38,-1494,1649837175.303056,54.230.130.7
39,66,1649837175.303070,192.168.10.155
40,-1494,1649837175.303668,54.230.130.7
41,66,1649837175.303679,192.168.10.155
42,-1109,1649837175.304667,54.230.130.7
43,66,1649837175.304678,192.168.10.155
44,159,1649837175.306649,192.168.10.155
45,130,1649837175.306855,192.168.10.155
46,495,1649837175.307194,192.168.10.155
47,-66,1649837175.310692,54.230.130.15
48,-66,1649837175.311470,54.230.130.7
49,-237,1649837175.311470,54.230.130.7
50,-135,1649837175.311470,54.230.130.7
51,66,1649837175.311481,192.168.10.155
52,66,1649837175.311500,192.168.10.155
53,243,1649837175.312044,192.168.10.155
54,104,1649837175.312345,192.168.10.155
55,-66,1649837175.312593,54.230.130.15
56,-642,1649837175.313217,54.230.130.15
57,66,1649837175.313231,192.168.10.155
58,90,1649837175.313451,192.168.10.155
59,66,1649837175.313467,192.168.10.155
60,-90,1649837175.314078,54.230.130.15
