index,size,time,ip
0,236,1647365959.838015000,192.168.10.155
1,-66,1647365959.840680000,13.249.150.146
2,-97,1647365959.840681000,13.249.150.146
3,66,1647365959.840705000,192.168.10.155
4,583,1647365959.840763000,192.168.10.155
5,593,1647365959.841069000,192.168.10.155
6,74,1647365959.841422000,192.168.10.155
7,97,1647365959.841871000,192.168.10.155
8,-66,1647365959.843463000,13.249.150.146
9,-66,1647365959.843464000,13.224.141.10
10,-74,1647365959.843514000,13.33.5.114
11,66,1647365959.843549000,192.168.10.155
12,-66,1647365959.843581000,13.249.150.146
13,282,1647365959.844017000,192.168.10.155
14,-2922,1647365959.844227000,13.224.141.10
15,66,1647365959.844250000,192.168.10.155
16,-1208,1647365959.845769000,13.224.141.10
17,66,1647365959.845786000,192.168.10.155
18,-66,1647365959.846411000,13.33.5.114
19,-1494,1647365959.847105000,13.33.5.114
20,66,1647365959.847126000,192.168.10.155
21,-1494,1647365959.847188000,13.33.5.114
22,66,1647365959.847193000,192.168.10.155
23,-1109,1647365959.848719000,13.33.5.114
24,66,1647365959.848742000,192.168.10.155
25,159,1647365959.850116000,192.168.10.155
26,-66,1647365959.852379000,13.33.5.114
27,-237,1647365959.852634000,13.33.5.114
28,66,1647365959.852643000,192.168.10.155
29,130,1647365959.852820000,192.168.10.155
30,495,1647365959.853303000,192.168.10.155
31,-135,1647365959.853403000,13.33.5.114
32,66,1647365959.853409000,192.168.10.155
33,243,1647365959.853436000,192.168.10.155
34,104,1647365959.853725000,192.168.10.155
35,-66,1647365959.854708000,13.224.141.10
36,-66,1647365959.855184000,13.224.141.10
37,-66,1647365959.855288000,13.33.5.114
38,-104,1647365959.855551000,13.33.5.114
39,-66,1647365959.855551000,13.33.5.114
40,66,1647365959.855558000,192.168.10.155
41,-642,1647365959.855655000,13.224.141.10
42,66,1647365959.855667000,192.168.10.155
43,90,1647365959.855855000,192.168.10.155
44,66,1647365959.855881000,192.168.10.155
45,-90,1647365959.856447000,13.224.141.10
46,54,1647365959.856461000,192.168.10.155
47,74,1647365959.857719000,192.168.10.155
48,538,1647365959.858282000,192.168.10.155
49,-66,1647365959.861024000,99.86.218.18
50,-74,1647365959.861025000,13.224.141.10
51,66,1647365959.861067000,192.168.10.155
52,-1060,1647365959.861571000,99.86.218.18
53,66,1647365959.861586000,192.168.10.155
54,583,1647365959.864080000,192.168.10.155
55,-66,1647365959.866592000,13.224.141.10
56,-2922,1647365959.867436000,13.224.141.10
57,66,1647365959.867446000,192.168.10.155
58,561,1647365959.868789000,192.168.10.155
59,-1208,1647365959.868972000,13.224.141.10
60,66,1647365959.868984000,192.168.10.155
61,-1449,1647365959.871167000,99.86.218.18
62,130,1647365959.871309000,192.168.10.155
63,500,1647365959.871691000,192.168.10.155
64,-66,1647365959.873188000,13.224.141.10
