index,size,time,ip
0,-66,1647395936.445510000,35.81.125.88
1,243,1647395936.445575000,192.168.10.155
2,535,1647395936.445603000,192.168.10.155
3,74,1647395936.446679000,192.168.10.155
4,-66,1647395936.447672000,104.93.9.144
5,-66,1647395936.447673000,104.93.9.144
6,-74,1647395936.449308000,54.230.130.93
7,66,1647395936.449335000,192.168.10.155
8,284,1647395936.449471000,192.168.10.155
9,130,1647395936.449827000,192.168.10.155
10,499,1647395936.449936000,192.168.10.155
11,-66,1647395936.452429000,54.239.168.21
12,-66,1647395936.452499000,54.230.130.93
13,-143,1647395936.452932000,104.93.9.144
14,66,1647395936.452943000,192.168.10.155
15,-66,1647395936.453018000,54.239.168.21
16,104,1647395936.453029000,192.168.10.155
17,-610,1647395936.453625000,54.239.168.21
18,66,1647395936.453631000,192.168.10.155
19,-1494,1647395936.453737000,54.230.130.93
20,66,1647395936.453746000,192.168.10.155
21,90,1647395936.453835000,192.168.10.155
22,66,1647395936.453851000,192.168.10.155
23,-1494,1647395936.454001000,54.230.130.93
24,-90,1647395936.454001000,54.239.168.21
25,66,1647395936.454009000,192.168.10.155
26,54,1647395936.454029000,192.168.10.155
27,-66,1647395936.454870000,104.93.9.144
28,74,1647395936.455312000,192.168.10.155
29,-1122,1647395936.455611000,54.230.130.93
30,66,1647395936.455617000,192.168.10.155
31,159,1647395936.456530000,192.168.10.155
32,-66,1647395936.460815000,54.230.130.93
33,-74,1647395936.460917000,54.239.168.21
34,66,1647395936.460940000,192.168.10.155
35,-237,1647395936.461727000,54.230.130.93
36,66,1647395936.461750000,192.168.10.155
37,583,1647395936.464068000,192.168.10.155
38,526,1647395936.464928000,192.168.10.155
39,-66,1647395936.467274000,54.239.168.21
40,-66,1647395936.467369000,54.230.130.93
41,-2922,1647395936.469482000,54.239.168.21
42,-1048,1647395936.469482000,54.230.130.93
43,66,1647395936.469504000,192.168.10.155
44,66,1647395936.469518000,192.168.10.155
45,-1208,1647395936.469778000,54.239.168.21
46,66,1647395936.469782000,192.168.10.155
47,130,1647395936.473241000,192.168.10.155
48,500,1647395936.473428000,192.168.10.155
49,549,1647395936.474889000,192.168.10.155
50,-66,1647395936.475573000,54.239.168.21
51,-66,1647395936.475844000,54.239.168.21
52,-610,1647395936.476587000,54.239.168.21
53,66,1647395936.476595000,192.168.10.155
54,90,1647395936.476825000,192.168.10.155
55,66,1647395936.476851000,192.168.10.155
56,-90,1647395936.476864000,54.239.168.21
57,54,1647395936.476888000,192.168.10.155
58,-66,1647395936.477422000,54.230.130.93
59,-1494,1647395936.477866000,54.230.130.93
60,-2179,1647395936.478012000,54.230.130.93
61,66,1647395936.478212000,192.168.10.155
62,74,1647395936.479214000,192.168.10.155
63,-74,1647395936.481714000,54.239.168.21
64,66,1647395936.481762000,192.168.10.155
65,583,1647395936.486542000,192.168.10.155
66,-66,1647395936.489818000,54.239.168.21
67,-2922,1647395936.491601000,54.239.168.21
68,66,1647395936.491618000,192.168.10.155
69,-1208,1647395936.492941000,54.239.168.21
70,66,1647395936.492954000,192.168.10.155
71,375,1647395936.493990000,192.168.10.155
72,130,1647395936.495993000,192.168.10.155
73,494,1647395936.496128000,192.168.10.155
74,-66,1647395936.496757000,54.230.130.56
75,-5789,1647395936.496987000,54.230.130.56
76,66,1647395936.497003000,192.168.10.155
77,-66,1647395936.498718000,54.239.168.21
78,-66,1647395936.498813000,54.239.168.21
79,-4350,1647395936.500068000,54.239.168.21
80,66,1647395936.500086000,192.168.10.155
81,-2922,1647395936.501644000,54.239.168.21
82,-90,1647395936.501645000,54.239.168.21
83,-66,1647395936.501645000,54.239.168.21
84,66,1647395936.501665000,192.168.10.155
85,66,1647395936.501687000,192.168.10.155
86,90,1647395936.501970000,192.168.10.155
87,66,1647395936.502002000,192.168.10.155
88,-60,1647395936.504652000,54.239.168.21
89,-60,1647395936.504652000,54.239.168.21
90,74,1647395936.504805000,192.168.10.155
91,-74,1647395936.508566000,54.239.168.21
92,66,1647395936.508612000,192.168.10.155
93,583,1647395936.511017000,192.168.10.155
94,-66,1647395936.514145000,54.239.168.21
95,-1494,1647395936.514909000,54.239.168.21
96,66,1647395936.514933000,192.168.10.155
97,-1494,1647395936.514998000,54.239.168.21
98,66,1647395936.515010000,192.168.10.155
99,-1208,1647395936.516740000,54.239.168.21
100,66,1647395936.516766000,192.168.10.155
101,130,1647395936.520946000,192.168.10.155
102,495,1647395936.521113000,192.168.10.155
103,538,1647395936.522286000,192.168.10.155
104,-66,1647395936.525791000,54.239.168.21
105,-66,1647395936.525791000,54.239.168.21
106,-642,1647395936.526167000,54.239.168.21
107,-90,1647395936.526167000,54.239.168.21
108,-66,1647395936.526167000,54.230.130.93
109,-1060,1647395936.526167000,54.230.130.93
110,66,1647395936.526190000,192.168.10.155
111,90,1647395936.526573000,192.168.10.155
112,66,1647395936.526589000,192.168.10.155
113,-60,1647395936.528953000,54.239.168.21
114,-60,1647395936.528953000,54.239.168.21
115,74,1647395936.529396000,192.168.10.155
116,-74,1647395936.531896000,54.239.168.21
117,66,1647395936.531947000,192.168.10.155
118,583,1647395936.534746000,192.168.10.155
119,561,1647395936.534889000,192.168.10.155
120,-1448,1647395936.538723000,54.230.130.93
121,-66,1647395936.538723000,54.239.168.21
122,-2922,1647395936.539826000,54.239.168.21
123,66,1647395936.539843000,192.168.10.155
124,-1208,1647395936.541494000,54.239.168.21
125,66,1647395936.541520000,192.168.10.155
126,130,1647395936.547252000,192.168.10.155
127,500,1647395936.547543000,192.168.10.155
128,-66,1647395936.550244000,54.239.168.21
129,-66,1647395936.550244000,54.239.168.21
130,-2922,1647395936.552925000,54.239.168.21
131,66,1647395936.552948000,192.168.10.155
132,-13616,1647395936.554677000,54.239.168.21
133,66,1647395936.554707000,192.168.10.155
134,-15774,1647395936.554779000,54.239.168.21
135,66,1647395936.554792000,192.168.10.155
136,-7206,1647395936.554813000,54.239.168.21
137,66,1647395936.554824000,192.168.10.155
138,-2922,1647395936.556415000,54.239.168.21
139,66,1647395936.556427000,192.168.10.155
140,-2922,1647395936.557027000,54.239.168.21
141,66,1647395936.557035000,192.168.10.155
142,-2922,1647395936.559506000,54.239.168.21
143,66,1647395936.559533000,192.168.10.155
144,-2922,1647395936.561598000,54.239.168.21
