index,size,time,ip
0,236,1647328375.259431000,192.168.10.155
1,595,1647328375.259753000,192.168.10.155
2,97,1647328375.260137000,192.168.10.155
3,74,1647328375.260179000,192.168.10.155
4,74,1647328375.260289000,192.168.10.155
5,-66,1647328375.264000000,54.230.130.235
6,-97,1647328375.264001000,54.230.130.235
7,66,1647328375.264031000,192.168.10.155
8,-66,1647328375.265836000,54.230.130.235
9,-66,1647328375.265837000,54.230.130.235
10,-74,1647328375.265837000,54.230.130.25
11,-74,1647328375.265838000,54.239.168.21
12,-97,1647328375.265838000,34.213.33.47
13,-66,1647328375.265838000,34.213.33.47
14,66,1647328375.265938000,192.168.10.155
15,66,1647328375.265993000,192.168.10.155
16,54,1647328375.266047000,192.168.10.155
17,54,1647328375.266077000,192.168.10.155
18,284,1647328375.266326000,192.168.10.155
19,583,1647328375.268568000,192.168.10.155
20,-66,1647328375.269836000,54.230.130.25
21,-1494,1647328375.269967000,54.230.130.25
22,66,1647328375.269974000,192.168.10.155
23,-1494,1647328375.270823000,54.230.130.25
24,66,1647328375.270825000,192.168.10.155
25,-66,1647328375.272000000,54.239.168.21
26,-1122,1647328375.272001000,54.230.130.25
27,66,1647328375.272029000,192.168.10.155
28,-2922,1647328375.272337000,54.239.168.21
29,66,1647328375.272345000,192.168.10.155
30,159,1647328375.273892000,192.168.10.155
31,-1208,1647328375.274929000,54.239.168.21
32,66,1647328375.274943000,192.168.10.155
33,-66,1647328375.277818000,54.230.130.25
34,-237,1647328375.277819000,54.230.130.25
35,66,1647328375.277845000,192.168.10.155
36,538,1647328375.279513000,192.168.10.155
37,130,1647328375.279972000,192.168.10.155
38,500,1647328375.280159000,192.168.10.155
39,-66,1647328375.283320000,54.230.130.25
40,-66,1647328375.283320000,54.239.168.21
41,-66,1647328375.283321000,54.239.168.21
42,-1060,1647328375.284482000,54.230.130.25
43,-610,1647328375.284484000,54.239.168.21
44,-90,1647328375.284484000,54.239.168.21
45,66,1647328375.284514000,192.168.10.155
46,66,1647328375.284550000,192.168.10.155
47,90,1647328375.285153000,192.168.10.155
48,66,1647328375.285175000,192.168.10.155
49,-60,1647328375.287977000,54.239.168.21
50,-60,1647328375.287978000,54.239.168.21
51,74,1647328375.288475000,192.168.10.155
52,561,1647328375.290455000,192.168.10.155
53,-74,1647328375.293629000,54.239.168.21
54,-66,1647328375.293629000,54.230.130.25
55,66,1647328375.293652000,192.168.10.155
56,583,1647328375.296627000,192.168.10.155
57,-1449,1647328375.299362000,54.230.130.25
58,-66,1647328375.300652000,54.239.168.21
59,-1494,1647328375.301439000,54.239.168.21
60,66,1647328375.301459000,192.168.10.155
61,-1494,1647328375.301533000,54.239.168.21
62,66,1647328375.301541000,192.168.10.155
63,-1208,1647328375.304111000,54.239.168.21
64,66,1647328375.304127000,192.168.10.155
65,130,1647328375.307737000,192.168.10.155
66,494,1647328375.307911000,192.168.10.155
67,-66,1647328375.310146000,54.239.168.21
68,-66,1647328375.310451000,54.239.168.21
69,-2922,1647328375.311968000,54.239.168.21
70,66,1647328375.311985000,192.168.10.155
71,-4350,1647328375.312990000,54.239.168.21
72,-90,1647328375.312990000,54.239.168.21
73,-66,1647328375.312990000,54.239.168.21
74,66,1647328375.312997000,192.168.10.155
75,66,1647328375.313008000,192.168.10.155
76,90,1647328375.313204000,192.168.10.155
77,66,1647328375.313221000,192.168.10.155
78,74,1647328375.314950000,192.168.10.155
79,-60,1647328375.315915000,54.239.168.21
80,-60,1647328375.315916000,54.239.168.21
81,-74,1647328375.317447000,54.239.168.21
82,66,1647328375.317464000,192.168.10.155
83,583,1647328375.320026000,192.168.10.155
84,74,1647328375.320620000,192.168.10.155
85,-66,1647328375.323355000,54.239.168.21
86,-74,1647328375.323356000,54.230.130.62
87,66,1647328375.323385000,192.168.10.155
88,583,1647328375.324490000,192.168.10.155
89,-2922,1647328375.324545000,54.239.168.21
90,66,1647328375.324550000,192.168.10.155
91,-1208,1647328375.325715000,54.239.168.21
92,66,1647328375.325735000,192.168.10.155
93,-66,1647328375.327769000,54.230.130.62
94,-222,1647328375.327770000,54.230.130.62
95,66,1647328375.327810000,192.168.10.155
96,117,1647328375.328323000,192.168.10.155
97,130,1647328375.328574000,192.168.10.155
98,243,1647328375.328781000,192.168.10.155
99,495,1647328375.328937000,192.168.10.155
100,-66,1647328375.331228000,54.230.130.62
