index,size,time,ip
0,236,1647336195.899069000,192.168.10.155
1,851,1647336195.899096000,192.168.10.155
2,74,1647336195.899244000,192.168.10.155
3,549,1647336195.899341000,192.168.10.155
4,97,1647336195.899680000,192.168.10.155
5,-66,1647336195.902134000,54.230.130.235
6,-66,1647336195.902134000,54.230.130.235
7,-66,1647336195.902464000,54.230.130.15
8,-74,1647336195.902464000,54.239.168.127
9,-66,1647336195.902464000,54.230.130.235
10,-97,1647336195.902465000,54.230.130.235
11,66,1647336195.902480000,192.168.10.155
12,66,1647336195.902493000,192.168.10.155
13,-3816,1647336195.902855000,54.230.130.15
14,66,1647336195.902859000,192.168.10.155
15,583,1647336195.904395000,192.168.10.155
16,-66,1647336195.908657000,54.239.168.127
17,-1494,1647336195.909423000,54.239.168.127
18,66,1647336195.909440000,192.168.10.155
19,-1494,1647336195.909525000,54.239.168.127
20,66,1647336195.909541000,192.168.10.155
21,-1208,1647336195.911503000,54.239.168.127
22,66,1647336195.911523000,192.168.10.155
23,130,1647336195.914902000,192.168.10.155
24,494,1647336195.915574000,192.168.10.155
25,-66,1647336195.917288000,54.239.168.127
26,-66,1647336195.918020000,54.239.168.127
27,-1494,1647336195.918845000,54.239.168.127
28,66,1647336195.918855000,192.168.10.155
29,-1494,1647336195.918965000,54.239.168.127
30,66,1647336195.918967000,192.168.10.155
31,-4350,1647336195.919634000,54.239.168.127
32,-90,1647336195.919635000,54.239.168.127
33,-66,1647336195.919635000,54.239.168.127
34,66,1647336195.919646000,192.168.10.155
35,66,1647336195.919663000,192.168.10.155
36,90,1647336195.920031000,192.168.10.155
37,66,1647336195.920051000,192.168.10.155
38,74,1647336195.922552000,192.168.10.155
39,-60,1647336195.922777000,54.239.168.127
40,-60,1647336195.922778000,54.239.168.127
41,74,1647336195.922942000,192.168.10.155
42,-74,1647336195.925294000,54.239.168.127
43,66,1647336195.925323000,192.168.10.155
44,-74,1647336195.926134000,54.230.130.27
45,66,1647336195.926150000,192.168.10.155
46,583,1647336195.931120000,192.168.10.155
