index,size,time,ip
0,-97,1647367137.417427000,34.217.217.27
1,-66,1647367137.417428000,34.217.217.27
2,54,1647367137.417468000,192.168.10.155
3,54,1647367137.417496000,192.168.10.155
4,236,1647367137.426299000,192.168.10.155
5,695,1647367137.426482000,192.168.10.155
6,97,1647367137.426753000,192.168.10.155
7,74,1647367137.426810000,192.168.10.155
8,549,1647367137.427644000,192.168.10.155
9,-66,1647367137.428884000,54.230.130.235
10,-66,1647367137.428885000,54.230.130.235
11,-97,1647367137.428987000,54.230.130.235
12,-66,1647367137.428988000,54.230.130.235
13,66,1647367137.428995000,192.168.10.155
14,-74,1647367137.429855000,54.239.168.127
15,66,1647367137.429868000,192.168.10.155
16,-66,1647367137.430405000,54.230.130.15
17,-1494,1647367137.430955000,54.230.130.15
18,66,1647367137.430961000,192.168.10.155
19,-2387,1647367137.431094000,54.230.130.15
20,66,1647367137.431101000,192.168.10.155
21,583,1647367137.431752000,192.168.10.155
22,-66,1647367137.434574000,54.239.168.127
23,-1494,1647367137.435288000,54.239.168.127
24,66,1647367137.435317000,192.168.10.155
25,-1494,1647367137.435379000,54.239.168.127
26,66,1647367137.435385000,192.168.10.155
27,-1208,1647367137.437658000,54.239.168.127
28,66,1647367137.437740000,192.168.10.155
29,130,1647367137.442066000,192.168.10.155
30,506,1647367137.442217000,192.168.10.155
31,-66,1647367137.444458000,54.239.168.127
32,-66,1647367137.444940000,54.239.168.127
33,-1494,1647367137.445340000,54.239.168.127
34,66,1647367137.445352000,192.168.10.155
35,-1393,1647367137.445456000,54.239.168.127
36,66,1647367137.445461000,192.168.10.155
37,90,1647367137.445668000,192.168.10.155
38,66,1647367137.445691000,192.168.10.155
39,-90,1647367137.446280000,54.239.168.127
40,54,1647367137.446300000,192.168.10.155
41,74,1647367137.447115000,192.168.10.155
42,-74,1647367137.449566000,54.239.168.127
43,66,1647367137.449581000,192.168.10.155
44,583,1647367137.455398000,192.168.10.155
45,74,1647367137.455800000,192.168.10.155
46,-66,1647367137.458164000,54.239.168.127
47,-74,1647367137.458254000,54.230.130.62
48,66,1647367137.458277000,192.168.10.155
49,282,1647367137.458507000,192.168.10.155
50,-2922,1647367137.459200000,54.239.168.127
51,66,1647367137.459211000,192.168.10.155
52,-66,1647367137.461216000,54.230.130.62
53,-1208,1647367137.461802000,54.239.168.127
54,66,1647367137.461810000,192.168.10.155
55,-1494,1647367137.461908000,54.230.130.62
56,66,1647367137.461913000,192.168.10.155
57,-1494,1647367137.462455000,54.230.130.62
58,66,1647367137.462467000,192.168.10.155
59,-1109,1647367137.463593000,54.230.130.62
60,66,1647367137.463608000,192.168.10.155
61,159,1647367137.465107000,192.168.10.155
62,130,1647367137.466083000,192.168.10.155
63,518,1647367137.466497000,192.168.10.155
64,-66,1647367137.467714000,54.230.130.62
65,-237,1647367137.467829000,54.230.130.62
66,66,1647367137.467843000,192.168.10.155
67,-135,1647367137.468124000,54.230.130.62
68,66,1647367137.468129000,192.168.10.155
69,-66,1647367137.468667000,54.239.168.127
70,243,1647367137.468772000,192.168.10.155
71,-66,1647367137.468996000,54.239.168.127
72,104,1647367137.469310000,192.168.10.155
73,-996,1647367137.470240000,54.239.168.127
74,-90,1647367137.470241000,54.239.168.127
75,66,1647367137.470255000,192.168.10.155
76,90,1647367137.470456000,192.168.10.155
77,66,1647367137.470472000,192.168.10.155
78,-66,1647367137.471289000,54.230.130.62
79,-104,1647367137.471371000,54.230.130.62
80,66,1647367137.471389000,192.168.10.155
81,-66,1647367137.472007000,54.230.130.62
82,-60,1647367137.472860000,54.239.168.127
83,-60,1647367137.472860000,54.239.168.127
84,74,1647367137.474843000,192.168.10.155
85,-74,1647367137.477410000,54.239.168.127
86,66,1647367137.477431000,192.168.10.155
87,583,1647367137.479157000,192.168.10.155
88,538,1647367137.479240000,192.168.10.155
89,-66,1647367137.481954000,54.239.168.127
90,-2922,1647367137.482873000,54.239.168.127
91,66,1647367137.482878000,192.168.10.155
92,-1059,1647367137.483435000,54.230.130.15
93,66,1647367137.483451000,192.168.10.155
94,-1208,1647367137.484244000,54.239.168.127
95,66,1647367137.484264000,192.168.10.155
96,130,1647367137.489009000,192.168.10.155
97,561,1647367137.489582000,192.168.10.155
98,518,1647367137.489713000,192.168.10.155
99,-66,1647367137.491352000,54.239.168.127
100,-1448,1647367137.492148000,54.230.130.15
101,-66,1647367137.492149000,54.239.168.127
102,-675,1647367137.492606000,54.239.168.127
103,66,1647367137.492619000,192.168.10.155
104,90,1647367137.492879000,192.168.10.155
105,66,1647367137.492906000,192.168.10.155
106,-90,1647367137.493151000,54.239.168.127
107,54,1647367137.493169000,192.168.10.155
108,74,1647367137.495793000,192.168.10.155
109,-74,1647367137.498234000,54.239.168.127
110,66,1647367137.498261000,192.168.10.155
111,583,1647367137.501435000,192.168.10.155
112,-66,1647367137.504198000,54.239.168.127
113,-1494,1647367137.504983000,54.239.168.127
114,66,1647367137.504995000,192.168.10.155
115,-1494,1647367137.505114000,54.239.168.127
116,66,1647367137.505117000,192.168.10.155
117,-1208,1647367137.508429000,54.239.168.127
118,66,1647367137.508443000,192.168.10.155
119,130,1647367137.511623000,192.168.10.155
120,517,1647367137.511768000,192.168.10.155
121,-66,1647367137.513889000,54.239.168.127
122,-66,1647367137.514201000,54.239.168.127
