index,size,time,ip
0,236,1647364482.943204000,192.168.10.155
1,670,1647364482.943227000,192.168.10.155
2,74,1647364482.943589000,192.168.10.155
3,97,1647364482.943648000,192.168.10.155
4,-66,1647364482.945392000,13.249.150.146
5,-66,1647364482.945393000,13.249.150.146
6,-97,1647364482.945469000,13.249.150.146
7,66,1647364482.945477000,192.168.10.155
8,-74,1647364482.946124000,13.224.141.44
9,-66,1647364482.946124000,13.249.150.146
10,66,1647364482.946138000,192.168.10.155
11,583,1647364482.949066000,192.168.10.155
12,-66,1647364482.951592000,13.224.141.44
13,-2922,1647364482.952762000,13.224.141.44
14,66,1647364482.952772000,192.168.10.155
15,-1208,1647364482.954469000,13.224.141.44
16,66,1647364482.954489000,192.168.10.155
17,130,1647364482.957712000,192.168.10.155
18,508,1647364482.957879000,192.168.10.155
19,-66,1647364482.959538000,13.224.141.44
20,-66,1647364482.959855000,13.224.141.44
21,-1494,1647364482.960367000,13.224.141.44
22,66,1647364482.960380000,192.168.10.155
23,-1494,1647364482.960487000,13.224.141.44
24,66,1647364482.960491000,192.168.10.155
25,-1246,1647364482.961116000,13.224.141.44
26,-90,1647364482.961117000,13.224.141.44
27,66,1647364482.961129000,192.168.10.155
28,90,1647364482.961569000,192.168.10.155
29,66,1647364482.961640000,192.168.10.155
30,-60,1647364482.963320000,13.224.141.44
31,-60,1647364482.963419000,13.224.141.44
32,74,1647364482.964011000,192.168.10.155
33,-74,1647364482.965983000,13.224.141.44
34,66,1647364482.965999000,192.168.10.155
35,583,1647364482.968722000,192.168.10.155
36,-66,1647364482.971386000,13.224.141.44
37,-2922,1647364482.972456000,13.224.141.44
38,66,1647364482.972474000,192.168.10.155
39,-1208,1647364482.973799000,13.224.141.44
40,66,1647364482.973821000,192.168.10.155
41,130,1647364482.978362000,192.168.10.155
42,506,1647364482.978537000,192.168.10.155
43,-66,1647364482.980460000,13.224.141.44
44,-66,1647364482.980461000,13.224.141.44
45,-1494,1647364482.980716000,13.224.141.44
46,66,1647364482.980722000,192.168.10.155
47,-1392,1647364482.980881000,13.224.141.44
48,66,1647364482.980888000,192.168.10.155
49,-90,1647364482.981075000,13.224.141.44
50,90,1647364482.981124000,192.168.10.155
51,66,1647364482.981148000,192.168.10.155
52,-60,1647364482.982980000,13.224.141.44
53,74,1647364482.982984000,192.168.10.155
54,-74,1647364482.985077000,13.224.141.44
55,66,1647364482.985122000,192.168.10.155
56,-66,1647364482.987776000,52.41.155.26
57,583,1647364482.989189000,192.168.10.155
58,-66,1647364482.991861000,13.224.141.44
59,-1494,1647364482.992858000,13.224.141.44
60,66,1647364482.992890000,192.168.10.155
61,-1494,1647364482.993446000,13.224.141.44
62,66,1647364482.993456000,192.168.10.155
63,-1208,1647364482.994777000,13.224.141.44
64,66,1647364482.994781000,192.168.10.155
65,130,1647364482.998164000,192.168.10.155
66,518,1647364482.998334000,192.168.10.155
67,-66,1647364483.000002000,13.224.141.44
68,-66,1647364483.000093000,13.224.141.44
69,-996,1647364483.000604000,13.224.141.44
70,66,1647364483.000611000,192.168.10.155
71,90,1647364483.000868000,192.168.10.155
72,66,1647364483.000891000,192.168.10.155
73,-90,1647364483.001410000,13.224.141.44
74,54,1647364483.001432000,192.168.10.155
75,74,1647364483.002941000,192.168.10.155
76,-60,1647364483.003238000,13.224.141.44
77,-60,1647364483.003238000,13.224.141.44
78,-74,1647364483.005368000,13.224.141.44
79,66,1647364483.005399000,192.168.10.155
80,583,1647364483.008782000,192.168.10.155
81,-66,1647364483.011237000,13.224.141.44
82,-1494,1647364483.011927000,13.224.141.44
