index,size,time,ip
0,236,1647315428.956825000,192.168.10.155
1,725,1647315428.956863000,192.168.10.155
2,97,1647315428.957283000,192.168.10.155
3,74,1647315428.957433000,192.168.10.155
4,74,1647315428.957510000,192.168.10.155
5,-66,1647315428.959672000,54.230.130.235
6,-66,1647315428.959673000,54.230.130.235
7,-97,1647315428.959770000,54.230.130.235
8,-66,1647315428.959771000,54.230.130.235
9,66,1647315428.959785000,192.168.10.155
10,-74,1647315428.960104000,54.239.168.127
11,66,1647315428.960124000,192.168.10.155
12,-74,1647315428.960207000,54.230.130.7
13,66,1647315428.960218000,192.168.10.155
14,282,1647315428.961172000,192.168.10.155
15,-66,1647315428.963923000,54.230.130.7
16,583,1647315428.964321000,192.168.10.155
17,-2922,1647315428.965392000,54.230.130.7
18,66,1647315428.965408000,192.168.10.155
19,-1109,1647315428.967007000,54.230.130.7
20,66,1647315428.967035000,192.168.10.155
21,-66,1647315428.967930000,54.239.168.127
22,-1494,1647315428.968258000,54.239.168.127
23,66,1647315428.968266000,192.168.10.155
24,159,1647315428.968310000,192.168.10.155
25,-1494,1647315428.968364000,54.239.168.127
26,66,1647315428.968367000,192.168.10.155
27,-1208,1647315428.969898000,54.239.168.127
28,66,1647315428.969909000,192.168.10.155
29,-66,1647315428.970755000,54.230.130.7
30,-237,1647315428.971177000,54.230.130.7
31,66,1647315428.971192000,192.168.10.155
32,-135,1647315428.971279000,54.230.130.7
33,66,1647315428.971284000,192.168.10.155
34,243,1647315428.972229000,192.168.10.155
35,130,1647315428.972533000,192.168.10.155
36,104,1647315428.972542000,192.168.10.155
37,494,1647315428.972661000,192.168.10.155
38,-66,1647315428.974546000,54.230.130.7
39,-104,1647315428.974647000,54.230.130.7
40,66,1647315428.974660000,192.168.10.155
41,-66,1647315428.975708000,54.230.130.7
42,-66,1647315428.975808000,54.239.168.127
43,-66,1647315428.975808000,54.239.168.127
44,-2922,1647315428.977418000,54.239.168.127
45,66,1647315428.977438000,192.168.10.155
46,-4350,1647315428.978695000,54.239.168.127
47,-90,1647315428.978696000,54.239.168.127
48,-66,1647315428.978696000,54.239.168.127
49,66,1647315428.978713000,192.168.10.155
50,66,1647315428.978734000,192.168.10.155
51,90,1647315428.978965000,192.168.10.155
52,66,1647315428.978987000,192.168.10.155
53,-60,1647315428.981672000,54.239.168.127
54,-60,1647315428.981675000,54.239.168.127
55,74,1647315428.983013000,192.168.10.155
56,-66,1647315428.985888000,34.218.33.26
57,-74,1647315428.987664000,54.239.168.127
58,66,1647315428.987689000,192.168.10.155
59,583,1647315428.989645000,192.168.10.155
60,538,1647315428.990893000,192.168.10.155
61,-66,1647315428.992455000,54.239.168.127
62,-66,1647315428.993423000,54.230.130.15
63,-1059,1647315428.994081000,54.230.130.15
64,66,1647315428.994095000,192.168.10.155
65,-1494,1647315428.994192000,54.239.168.127
66,66,1647315428.994201000,192.168.10.155
67,-1494,1647315428.994760000,54.239.168.127
68,66,1647315428.994771000,192.168.10.155
69,-1208,1647315428.996226000,54.239.168.127
70,66,1647315428.996248000,192.168.10.155
71,561,1647315428.998662000,192.168.10.155
