index,size,time,ip
0,66,1647344969.875531000,192.168.10.155
1,236,1647344969.881926000,192.168.10.155
2,719,1647344969.881976000,192.168.10.155
3,90,1647344969.882543000,192.168.10.155
4,66,1647344969.882563000,192.168.10.155
5,97,1647344969.882713000,192.168.10.155
6,74,1647344969.883948000,192.168.10.155
7,-66,1647344969.885014000,54.230.130.235
8,-66,1647344969.885015000,54.230.130.235
9,-97,1647344969.885015000,54.230.130.235
10,66,1647344969.885031000,192.168.10.155
11,-60,1647344969.885713000,54.239.168.97
12,-60,1647344969.885713000,54.239.168.97
13,-66,1647344969.885714000,54.230.130.235
14,-74,1647344969.886472000,54.239.168.97
15,66,1647344969.886494000,192.168.10.155
16,583,1647344969.888629000,192.168.10.155
17,-66,1647344969.891505000,54.239.168.97
18,-97,1647344969.892732000,54.244.7.161
19,-66,1647344969.892732000,54.244.7.161
20,54,1647344969.892749000,192.168.10.155
21,54,1647344969.892768000,192.168.10.155
22,-2922,1647344969.893576000,54.239.168.97
23,66,1647344969.893583000,192.168.10.155
24,74,1647344969.897121000,192.168.10.155
25,-74,1647344969.899867000,54.230.130.62
26,66,1647344969.899904000,192.168.10.155
27,282,1647344969.900137000,192.168.10.155
28,-66,1647344969.902967000,54.230.130.62
29,-1208,1647344969.903280000,54.239.168.97
30,66,1647344969.903297000,192.168.10.155
31,-1494,1647344969.904375000,54.230.130.62
32,66,1647344969.904397000,192.168.10.155
33,-1494,1647344969.904458000,54.230.130.62
34,66,1647344969.904465000,192.168.10.155
35,-1109,1647344969.905947000,54.230.130.62
36,66,1647344969.905964000,192.168.10.155
37,159,1647344969.908186000,192.168.10.155
38,-66,1647344969.910934000,54.230.130.62
39,-237,1647344969.911047000,54.230.130.62
40,-135,1647344969.911047000,54.230.130.62
41,66,1647344969.911055000,192.168.10.155
42,66,1647344969.911065000,192.168.10.155
43,130,1647344969.911685000,192.168.10.155
44,495,1647344969.912036000,192.168.10.155
45,243,1647344969.912574000,192.168.10.155
46,104,1647344969.912866000,192.168.10.155
47,-66,1647344969.913899000,54.239.168.97
48,-66,1647344969.914276000,54.239.168.97
49,-66,1647344969.915164000,54.230.130.62
50,-104,1647344969.915165000,54.230.130.62
51,66,1647344969.915188000,192.168.10.155
52,-66,1647344969.915273000,54.230.130.62
53,538,1647344969.918085000,192.168.10.155
54,-642,1647344969.918261000,54.239.168.97
55,66,1647344969.918274000,192.168.10.155
56,-90,1647344969.918362000,54.239.168.97
57,90,1647344969.918411000,192.168.10.155
58,66,1647344969.918425000,192.168.10.155
59,74,1647344969.920118000,192.168.10.155
60,-66,1647344969.920791000,54.230.130.22
61,-60,1647344969.920900000,54.239.168.97
62,-60,1647344969.920900000,54.239.168.97
63,-1060,1647344969.921316000,54.230.130.22
64,66,1647344969.921322000,192.168.10.155
65,-74,1647344969.922615000,54.239.168.97
66,66,1647344969.922646000,192.168.10.155
67,583,1647344969.924914000,192.168.10.155
68,561,1647344969.925024000,192.168.10.155
69,-66,1647344969.927611000,54.230.130.22
70,-66,1647344969.927711000,54.239.168.97
71,-1448,1647344969.928520000,54.230.130.22
72,66,1647344969.928530000,192.168.10.155
73,-1494,1647344969.928634000,54.239.168.97
74,66,1647344969.928648000,192.168.10.155
75,-1494,1647344969.928898000,54.239.168.97
76,66,1647344969.928908000,192.168.10.155
77,-1208,1647344969.930534000,54.239.168.97
