index,size,time,ip
0,-74,1647373135.676369000,54.239.168.21
1,66,1647373135.676419000,192.168.10.155
2,583,1647373135.681049000,192.168.10.155
3,561,1647373135.681332000,192.168.10.155
4,-66,1647373135.684127000,54.230.130.25
5,-66,1647373135.684230000,54.239.168.21
6,-1449,1647373135.684586000,54.230.130.25
7,66,1647373135.684594000,192.168.10.155
8,-1494,1647373135.685104000,54.239.168.21
9,66,1647373135.685119000,192.168.10.155
10,-1494,1647373135.685220000,54.239.168.21
11,66,1647373135.685228000,192.168.10.155
12,-66,1647373135.685879000,34.210.39.83
13,-1208,1647373135.687048000,54.239.168.21
14,66,1647373135.687058000,192.168.10.155
15,130,1647373135.690330000,192.168.10.155
16,518,1647373135.690584000,192.168.10.155
17,-66,1647373135.692583000,54.239.168.21
18,-66,1647373135.692673000,54.239.168.21
19,74,1647373135.692826000,192.168.10.155
20,-996,1647373135.693413000,54.239.168.21
21,66,1647373135.693429000,192.168.10.155
22,-90,1647373135.693500000,54.239.168.21
23,90,1647373135.693801000,192.168.10.155
24,66,1647373135.693829000,192.168.10.155
25,-74,1647373135.695759000,54.230.130.7
26,66,1647373135.695794000,192.168.10.155
27,282,1647373135.695955000,192.168.10.155
28,-60,1647373135.696634000,54.239.168.21
29,-60,1647373135.696635000,54.239.168.21
30,74,1647373135.697711000,192.168.10.155
31,-66,1647373135.699350000,54.230.130.7
32,-1494,1647373135.699890000,54.230.130.7
33,66,1647373135.699901000,192.168.10.155
34,-1494,1647373135.700003000,54.230.130.7
35,66,1647373135.700006000,192.168.10.155
36,-74,1647373135.700601000,54.239.168.21
37,66,1647373135.700613000,192.168.10.155
38,-1109,1647373135.701489000,54.230.130.7
39,66,1647373135.701493000,192.168.10.155
40,583,1647373135.702893000,192.168.10.155
41,-66,1647373135.705626000,54.239.168.21
42,159,1647373135.705752000,192.168.10.155
43,-1494,1647373135.706370000,54.239.168.21
44,66,1647373135.706380000,192.168.10.155
45,-1494,1647373135.706493000,54.239.168.21
46,66,1647373135.706500000,192.168.10.155
47,-1208,1647373135.708074000,54.239.168.21
48,-66,1647373135.708088000,54.230.130.7
49,66,1647373135.708134000,192.168.10.155
50,-237,1647373135.708441000,54.230.130.7
51,-135,1647373135.708442000,54.230.130.7
52,66,1647373135.708488000,192.168.10.155
