index,size,time,ip
0,66,1647350295.415514000,192.168.10.155
1,236,1647350295.425849000,192.168.10.155
2,693,1647350295.426105000,192.168.10.155
3,90,1647350295.426326000,192.168.10.155
4,66,1647350295.426350000,192.168.10.155
5,97,1647350295.426514000,192.168.10.155
6,74,1647350295.427947000,192.168.10.155
7,-66,1647350295.429292000,54.230.130.235
8,-97,1647350295.429293000,54.230.130.235
9,-66,1647350295.429293000,54.230.130.235
10,66,1647350295.429306000,192.168.10.155
11,-66,1647350295.429857000,54.230.130.235
12,-60,1647350295.429857000,54.239.168.127
13,-60,1647350295.429858000,54.239.168.127
14,-74,1647350295.430759000,54.239.168.127
15,66,1647350295.430770000,192.168.10.155
16,583,1647350295.433319000,192.168.10.155
17,74,1647350295.433797000,192.168.10.155
18,-74,1647350295.436292000,54.230.130.62
19,66,1647350295.436319000,192.168.10.155
20,-66,1647350295.436389000,54.239.168.127
21,282,1647350295.436481000,192.168.10.155
22,-2922,1647350295.438690000,54.239.168.127
23,66,1647350295.438716000,192.168.10.155
24,-66,1647350295.439813000,54.230.130.62
25,-1494,1647350295.440534000,54.230.130.62
26,66,1647350295.440551000,192.168.10.155
27,-1494,1647350295.440621000,54.230.130.62
28,66,1647350295.440628000,192.168.10.155
29,-1208,1647350295.441230000,54.239.168.127
30,66,1647350295.441246000,192.168.10.155
31,-1109,1647350295.442077000,54.230.130.62
32,66,1647350295.442090000,192.168.10.155
33,159,1647350295.444997000,192.168.10.155
34,-66,1647350295.447574000,54.230.130.62
35,-237,1647350295.447898000,54.230.130.62
36,66,1647350295.447911000,192.168.10.155
37,-135,1647350295.448003000,54.230.130.62
38,130,1647350295.448008000,192.168.10.155
39,66,1647350295.448018000,192.168.10.155
40,506,1647350295.448232000,192.168.10.155
41,243,1647350295.448724000,192.168.10.155
42,104,1647350295.449013000,192.168.10.155
43,-66,1647350295.450380000,54.239.168.127
44,-66,1647350295.450722000,54.239.168.127
45,-66,1647350295.451051000,54.230.130.62
46,-104,1647350295.451164000,54.230.130.62
47,66,1647350295.451171000,192.168.10.155
48,-66,1647350295.451802000,54.230.130.62
49,-1494,1647350295.451935000,54.239.168.127
50,66,1647350295.451939000,192.168.10.155
51,-1394,1647350295.452199000,54.239.168.127
52,66,1647350295.452203000,192.168.10.155
53,-90,1647350295.452286000,54.239.168.127
54,90,1647350295.452374000,192.168.10.155
55,66,1647350295.452392000,192.168.10.155
56,-60,1647350295.455226000,54.239.168.127
57,-60,1647350295.455228000,54.239.168.127
58,74,1647350295.483067000,192.168.10.155
59,-74,1647350295.486194000,54.239.168.127
60,66,1647350295.486219000,192.168.10.155
61,583,1647350295.489806000,192.168.10.155
62,-66,1647350295.492753000,54.239.168.127
63,-1494,1647350295.495196000,54.239.168.127
64,66,1647350295.495217000,192.168.10.155
65,-1494,1647350295.495271000,54.239.168.127
66,66,1647350295.495277000,192.168.10.155
67,-1208,1647350295.497384000,54.239.168.127
68,66,1647350295.497403000,192.168.10.155
69,130,1647350295.500878000,192.168.10.155
70,518,1647350295.501072000,192.168.10.155
71,-66,1647350295.503235000,54.239.168.127
72,-66,1647350295.503527000,54.239.168.127
73,-995,1647350295.515365000,54.239.168.127
74,-90,1647350295.515366000,54.239.168.127
75,66,1647350295.515384000,192.168.10.155
76,90,1647350295.515981000,192.168.10.155
77,66,1647350295.516027000,192.168.10.155
78,-60,1647350295.518342000,54.239.168.127
79,-60,1647350295.518430000,54.239.168.127
80,74,1647350295.519262000,192.168.10.155
81,-74,1647350295.521780000,54.239.168.127
82,66,1647350295.521824000,192.168.10.155
83,583,1647350295.525447000,192.168.10.155
84,-66,1647350295.528758000,54.239.168.127
85,-1494,1647350295.529604000,54.239.168.127
86,66,1647350295.529618000,192.168.10.155
87,-1494,1647350295.529693000,54.239.168.127
88,66,1647350295.529702000,192.168.10.155
89,-1208,1647350295.531529000,54.239.168.127
90,66,1647350295.531538000,192.168.10.155
91,130,1647350295.535000000,192.168.10.155
92,518,1647350295.535168000,192.168.10.155
93,-66,1647350295.537793000,54.239.168.127
