index,size,time,ip
0,236,1647315324.156717000,192.168.10.155
1,777,1647315324.156750000,192.168.10.155
2,-97,1647315324.157850000,44.240.140.78
3,-66,1647315324.157851000,44.240.140.78
4,54,1647315324.157892000,192.168.10.155
5,54,1647315324.157923000,192.168.10.155
6,97,1647315324.159945000,192.168.10.155
7,74,1647315324.160227000,192.168.10.155
8,-66,1647315324.161201000,54.230.130.235
9,-66,1647315324.161202000,54.230.130.235
10,-97,1647315324.161202000,54.230.130.235
11,66,1647315324.161240000,192.168.10.155
12,130,1647315324.163562000,192.168.10.155
13,500,1647315324.163906000,192.168.10.155
14,-66,1647315324.164859000,54.230.130.235
15,-74,1647315324.164860000,54.230.130.93
16,66,1647315324.164897000,192.168.10.155
17,284,1647315324.165188000,192.168.10.155
18,-66,1647315324.166338000,54.239.168.127
19,-66,1647315324.166883000,54.239.168.127
20,-610,1647315324.168557000,54.239.168.127
21,-90,1647315324.168557000,54.239.168.127
22,66,1647315324.168582000,192.168.10.155
23,-66,1647315324.168946000,54.230.130.93
24,-2922,1647315324.168948000,54.230.130.93
25,66,1647315324.168972000,192.168.10.155
26,-1122,1647315324.170619000,54.230.130.93
27,66,1647315324.170639000,192.168.10.155
28,159,1647315324.172478000,192.168.10.155
29,90,1647315324.172869000,192.168.10.155
30,66,1647315324.172885000,192.168.10.155
31,-66,1647315324.174867000,54.230.130.93
32,74,1647315324.174901000,192.168.10.155
33,-237,1647315324.174979000,54.230.130.93
34,66,1647315324.174984000,192.168.10.155
35,-60,1647315324.175403000,54.239.168.127
36,-60,1647315324.175404000,54.239.168.127
37,526,1647315324.177156000,192.168.10.155
38,-74,1647315324.178133000,54.239.168.127
39,66,1647315324.178161000,192.168.10.155
40,-66,1647315324.179506000,54.230.130.93
41,-1048,1647315324.180293000,54.230.130.93
42,66,1647315324.180304000,192.168.10.155
43,583,1647315324.181692000,192.168.10.155
44,-66,1647315324.184706000,54.239.168.127
45,-1494,1647315324.185138000,54.239.168.127
46,66,1647315324.185156000,192.168.10.155
47,-1494,1647315324.185259000,54.239.168.127
48,66,1647315324.185265000,192.168.10.155
49,-1208,1647315324.187167000,54.239.168.127
50,66,1647315324.187184000,192.168.10.155
51,549,1647315324.191273000,192.168.10.155
52,130,1647315324.193521000,192.168.10.155
53,494,1647315324.193741000,192.168.10.155
54,-66,1647315324.194373000,54.230.130.93
55,-1494,1647315324.194500000,54.230.130.93
56,66,1647315324.194507000,192.168.10.155
57,-2388,1647315324.195407000,54.230.130.93
58,66,1647315324.195414000,192.168.10.155
59,-66,1647315324.195962000,54.239.168.127
60,-66,1647315324.196070000,54.239.168.127
61,-1494,1647315324.197088000,54.239.168.127
62,66,1647315324.197102000,192.168.10.155
63,-1494,1647315324.197200000,54.239.168.127
64,66,1647315324.197207000,192.168.10.155
65,-4350,1647315324.197881000,54.239.168.127
66,-90,1647315324.197882000,54.239.168.127
67,-66,1647315324.197882000,54.239.168.127
68,66,1647315324.197893000,192.168.10.155
69,66,1647315324.197906000,192.168.10.155
70,90,1647315324.198417000,192.168.10.155
71,66,1647315324.198444000,192.168.10.155
72,-60,1647315324.200897000,54.239.168.127
73,-60,1647315324.200898000,54.239.168.127
74,74,1647315324.205105000,192.168.10.155
75,-74,1647315324.207608000,54.239.168.127
76,66,1647315324.207635000,192.168.10.155
77,583,1647315324.210800000,192.168.10.155
78,-66,1647315324.213967000,54.239.168.127
79,74,1647315324.214299000,192.168.10.155
80,-1494,1647315324.214540000,54.239.168.127
81,66,1647315324.214558000,192.168.10.155
82,-1494,1647315324.214630000,54.239.168.127
83,66,1647315324.214637000,192.168.10.155
84,-1208,1647315324.216868000,54.239.168.127
85,66,1647315324.216892000,192.168.10.155
86,-74,1647315324.218254000,54.230.130.56
87,66,1647315324.218280000,192.168.10.155
