index,size,time,ip
0,74,1640314395.912820000,10.11.121.188
1,-74,1640314395.918733000,23.48.230.197
2,66,1640314395.918774000,10.11.121.188
3,583,1640314395.919279000,10.11.121.188
4,-66,1640314395.922875000,23.48.230.197
5,-2802,1640314395.924616000,23.48.230.197
6,66,1640314395.924643000,10.11.121.188
7,-1426,1640314395.924687000,23.48.230.197
8,66,1640314395.924703000,10.11.121.188
9,-1329,1640314395.926287000,23.48.230.197
10,66,1640314395.926314000,10.11.121.188
11,192,1640314395.938430000,10.11.121.188
12,165,1640314395.938920000,10.11.121.188
13,426,1640314395.938984000,10.11.121.188
14,-66,1640314395.942011000,23.48.230.197
15,-324,1640314395.942023000,23.48.230.197
16,66,1640314395.942031000,10.11.121.188
17,-66,1640314395.942053000,23.48.230.197
18,-66,1640314395.942057000,23.48.230.197
19,-143,1640314395.947506000,23.48.230.197
20,66,1640314395.947520000,10.11.121.188
21,104,1640314395.947681000,10.11.121.188
22,-66,1640314395.951776000,23.48.230.197
23,-2794,1640314396.254511000,23.48.230.197
24,66,1640314396.254556000,10.11.121.188
25,-2794,1640314396.254594000,23.48.230.197
26,66,1640314396.254611000,10.11.121.188
27,-500,1640314396.257325000,23.48.230.197
28,66,1640314396.257352000,10.11.121.188
29,-2794,1640314396.257383000,23.48.230.197
30,66,1640314396.257395000,10.11.121.188
31,-1434,1640314396.257408000,23.48.230.197
32,66,1640314396.257420000,10.11.121.188
33,-4154,1640314396.257518000,23.48.230.197
34,66,1640314396.257532000,10.11.121.188
35,-1434,1640314396.257548000,23.48.230.197
36,66,1640314396.257559000,10.11.121.188
37,-1426,1640314396.259331000,23.48.230.197
38,66,1640314396.259354000,10.11.121.188
39,-2602,1640314396.259382000,23.48.230.197
40,66,1640314396.259394000,10.11.121.188
41,-1318,1640314396.259405000,23.48.230.197
42,66,1640314396.259414000,10.11.121.188
43,-2132,1640314396.261455000,23.48.230.197
44,66,1640314396.261479000,10.11.121.188
45,74,1640314396.282384000,10.11.121.188
46,74,1640314396.282429000,10.11.121.188
47,74,1640314396.282467000,10.11.121.188
48,-74,1640314396.286311000,18.65.139.147
49,66,1640314396.286346000,10.11.121.188
50,-74,1640314396.286360000,18.65.139.147
51,66,1640314396.286367000,10.11.121.188
52,-74,1640314396.286371000,18.65.139.147
53,66,1640314396.286376000,10.11.121.188
54,583,1640314396.286595000,10.11.121.188
55,583,1640314396.286775000,10.11.121.188
56,583,1640314396.286923000,10.11.121.188
57,-66,1640314396.289628000,18.65.139.147
58,-66,1640314396.332005000,18.65.139.147
59,-66,1640314396.332027000,18.65.139.147
60,-4170,1640314396.332033000,18.65.139.147
61,66,1640314396.332067000,10.11.121.188
62,-4170,1640314396.332096000,18.65.139.147
63,66,1640314396.332107000,10.11.121.188
64,-4170,1640314396.332142000,18.65.139.147
65,66,1640314396.332152000,10.11.121.188
66,-1055,1640314396.332162000,18.65.139.147
67,66,1640314396.332168000,10.11.121.188
68,-1055,1640314396.332175000,18.65.139.147
69,66,1640314396.332181000,10.11.121.188
70,-1055,1640314396.332188000,18.65.139.147
71,66,1640314396.332193000,10.11.121.188
72,-1055,1640314396.332200000,18.65.139.147
73,78,1640314396.332206000,10.11.121.188
74,-1055,1640314396.332212000,18.65.139.147
75,78,1640314396.332218000,10.11.121.188
76,130,1640314396.339820000,10.11.121.188
77,130,1640314396.340123000,10.11.121.188
78,130,1640314396.340272000,10.11.121.188
79,66,1640314396.340422000,10.11.121.188
80,66,1640314396.340475000,10.11.121.188
81,158,1640314396.340508000,10.11.121.188
82,1281,1640314396.351751000,10.11.121.188
83,1281,1640314396.368979000,10.11.121.188
84,66,1640314396.369019000,10.11.121.188
85,66,1640314396.369064000,10.11.121.188
86,-1055,1640314396.378066000,18.65.139.147
87,78,1640314396.378096000,10.11.121.188
