index,size,time,ip
0,74,1640311574.572555000,10.11.121.188
1,-74,1640311574.583770000,119.63.197.139
2,54,1640311574.583820000,10.11.121.188
3,571,1640311574.584416000,10.11.121.188
4,-54,1640311574.611205000,119.63.197.139
5,-122,1640311574.611228000,119.63.197.139
6,54,1640311574.611244000,10.11.121.188
7,-3833,1640311574.611286000,119.63.197.139
8,54,1640311574.611297000,10.11.121.188
9,-392,1640311574.612420000,119.63.197.139
10,54,1640311574.612443000,10.11.121.188
11,-63,1640311574.612469000,119.63.197.139
12,54,1640311574.612478000,10.11.121.188
13,-63,1640311574.612486000,119.63.197.139
14,66,1640311574.612493000,10.11.121.188
15,180,1640311574.622954000,10.11.121.188
16,599,1640311574.623145000,10.11.121.188
17,-54,1640311574.641627000,119.63.197.139
18,-173,1640311574.641649000,119.63.197.139
19,54,1640311574.641666000,10.11.121.188
20,-60,1640311574.641705000,119.63.197.139
21,54,1640311574.641712000,10.11.121.188
22,-99,1640311574.641720000,119.63.197.139
23,54,1640311574.641727000,10.11.121.188
24,-54,1640311574.641734000,119.63.197.139
25,-99,1640311574.651531000,119.63.197.139
26,66,1640311574.651561000,10.11.121.188
27,-1874,1640311574.724492000,119.63.197.139
28,54,1640311574.724518000,10.11.121.188
29,-1179,1640311574.724560000,119.63.197.139
30,54,1640311574.724567000,10.11.121.188
31,-2748,1640311574.730462000,119.63.197.139
32,54,1640311574.730492000,10.11.121.188
33,-2774,1640311574.730548000,119.63.197.139
34,54,1640311574.730567000,10.11.121.188
35,-2774,1640311574.736793000,119.63.197.139
36,54,1640311574.736807000,10.11.121.188
37,-12294,1640311574.752572000,119.63.197.139
38,54,1640311574.752594000,10.11.121.188
39,-2774,1640311574.760289000,119.63.197.139
40,54,1640311574.760304000,10.11.121.188
41,-1414,1640311574.762536000,119.63.197.139
42,54,1640311574.762550000,10.11.121.188
43,-2774,1640311574.762607000,119.63.197.139
44,54,1640311574.762616000,10.11.121.188
45,-5494,1640311574.764952000,119.63.197.139
46,54,1640311574.764961000,10.11.121.188
47,-6854,1640311574.767723000,119.63.197.139
48,54,1640311574.767733000,10.11.121.188
49,-10934,1640311574.783865000,119.63.197.139
50,54,1640311574.783880000,10.11.121.188
51,-1414,1640311574.787685000,119.63.197.139
52,54,1640311574.787711000,10.11.121.188
53,-13654,1640311574.804707000,119.63.197.139
54,54,1640311574.804731000,10.11.121.188
55,-10934,1640311574.819012000,119.63.197.139
56,54,1640311574.819029000,10.11.121.188
57,74,1640311574.828916000,10.11.121.188
58,74,1640311574.828971000,10.11.121.188
59,74,1640311574.829096000,10.11.121.188
60,74,1640311574.829220000,10.11.121.188
61,74,1640311574.829333000,10.11.121.188
62,74,1640311574.829448000,10.11.121.188
63,74,1640311574.829570000,10.11.121.188
64,74,1640311574.829674000,10.11.121.188
65,74,1640311574.829799000,10.11.121.188
66,74,1640311574.829913000,10.11.121.188
67,-6641,1640311574.835466000,119.63.197.139
68,54,1640311574.835481000,10.11.121.188
69,831,1640311574.836275000,10.11.121.188
70,-74,1640311574.862847000,119.63.197.139
71,54,1640311574.862877000,10.11.121.188
72,-54,1640311574.862892000,119.63.197.139
73,571,1640311574.863142000,10.11.121.188
74,-74,1640311574.863884000,119.63.197.139
75,54,1640311574.863902000,10.11.121.188
76,-74,1640311574.863911000,119.63.197.139
77,54,1640311574.863918000,10.11.121.188
78,571,1640311574.864113000,10.11.121.188
79,571,1640311574.864322000,10.11.121.188
80,-74,1640311574.866083000,119.63.197.139
81,54,1640311574.866105000,10.11.121.188
82,571,1640311574.866263000,10.11.121.188
83,74,1640311574.876235000,10.11.121.188
84,-54,1640311574.891147000,119.63.197.139
85,-150,1640311574.891160000,119.63.197.139
86,54,1640311574.891168000,10.11.121.188
87,-60,1640311574.891190000,119.63.197.139
88,54,1640311574.891194000,10.11.121.188
89,-99,1640311574.891198000,119.63.197.139
90,54,1640311574.891201000,10.11.121.188
91,-54,1640311574.891204000,119.63.197.139
92,105,1640311574.891417000,10.11.121.188
