index,size,time,ip
0,-74,1640307533.699131000,31.13.82.36
1,66,1640307533.699180000,10.11.121.188
2,583,1640307533.699869000,10.11.121.188
3,-66,1640307533.709886000,31.13.82.36
4,-2458,1640307533.711574000,31.13.82.36
5,66,1640307533.711593000,10.11.121.188
6,130,1640307533.722003000,10.11.121.188
7,158,1640307533.722342000,10.11.121.188
8,420,1640307533.722671000,10.11.121.188
9,-66,1640307533.731354000,31.13.82.36
10,-66,1640307533.733645000,31.13.82.36
11,-237,1640307533.733662000,31.13.82.36
12,66,1640307533.733673000,10.11.121.188
13,-146,1640307533.733702000,31.13.82.36
14,66,1640307533.733709000,10.11.121.188
15,-97,1640307533.733714000,31.13.82.36
16,66,1640307533.733717000,10.11.121.188
17,-66,1640307533.733722000,31.13.82.36
18,-101,1640307533.733727000,31.13.82.36
19,66,1640307533.733730000,10.11.121.188
20,97,1640307533.733937000,10.11.121.188
21,-66,1640307533.744044000,31.13.82.36
22,-1434,1640307534.023187000,31.13.82.36
23,66,1640307534.023258000,10.11.121.188
24,-215,1640307534.023313000,31.13.82.36
25,78,1640307534.023322000,10.11.121.188
26,-1434,1640307534.023331000,31.13.82.36
27,66,1640307534.023336000,10.11.121.188
28,-2802,1640307534.023338000,31.13.82.36
29,66,1640307534.023342000,10.11.121.188
30,-2802,1640307534.023344000,31.13.82.36
31,66,1640307534.023347000,10.11.121.188
32,-2802,1640307534.023431000,31.13.82.36
33,-1434,1640307534.023436000,31.13.82.36
34,-1434,1640307534.023437000,31.13.82.36
35,66,1640307534.023473000,10.11.121.188
36,66,1640307534.023518000,10.11.121.188
37,66,1640307534.023532000,10.11.121.188
38,-1434,1640307534.033843000,31.13.82.36
39,66,1640307534.033852000,10.11.121.188
40,-2802,1640307534.033867000,31.13.82.36
41,66,1640307534.033870000,10.11.121.188
42,-2802,1640307534.036767000,31.13.82.36
43,66,1640307534.036787000,10.11.121.188
44,-2802,1640307534.037826000,31.13.82.36
45,66,1640307534.037845000,10.11.121.188
46,-2802,1640307534.039966000,31.13.82.36
47,66,1640307534.039985000,10.11.121.188
48,-850,1640307534.041063000,31.13.82.36
49,78,1640307534.041141000,10.11.121.188
50,-1434,1640307534.041210000,31.13.82.36
51,66,1640307534.041254000,10.11.121.188
52,74,1640307534.051051000,10.11.121.188
53,74,1640307534.051104000,10.11.121.188
54,74,1640307534.051138000,10.11.121.188
55,74,1640307534.051171000,10.11.121.188
56,74,1640307534.051202000,10.11.121.188
57,74,1640307534.051231000,10.11.121.188
58,-74,1640307534.061173000,31.13.82.7
59,66,1640307534.061204000,10.11.121.188
60,-74,1640307534.061220000,31.13.82.7
61,66,1640307534.061228000,10.11.121.188
62,-74,1640307534.061236000,31.13.82.7
63,66,1640307534.061241000,10.11.121.188
64,-74,1640307534.061245000,31.13.82.7
65,66,1640307534.061250000,10.11.121.188
66,-74,1640307534.061254000,31.13.82.7
67,66,1640307534.061259000,10.11.121.188
68,-74,1640307534.061262000,31.13.82.7
69,66,1640307534.061267000,10.11.121.188
70,583,1640307534.061408000,10.11.121.188
71,583,1640307534.061559000,10.11.121.188
72,583,1640307534.061692000,10.11.121.188
73,583,1640307534.061811000,10.11.121.188
74,583,1640307534.061930000,10.11.121.188
75,583,1640307534.062045000,10.11.121.188
76,-66,1640307534.074470000,31.13.82.7
77,-66,1640307534.074496000,31.13.82.7
78,-66,1640307534.074503000,31.13.82.7
79,-66,1640307534.074508000,31.13.82.7
80,-66,1640307534.074518000,31.13.82.7
81,-66,1640307534.074525000,31.13.82.7
82,-2456,1640307534.074532000,31.13.82.7
83,66,1640307534.074551000,10.11.121.188
84,-2458,1640307534.074623000,31.13.82.7
85,66,1640307534.074635000,10.11.121.188
86,-2457,1640307534.074810000,31.13.82.7
87,66,1640307534.074822000,10.11.121.188
88,-2457,1640307534.074838000,31.13.82.7
89,66,1640307534.074845000,10.11.121.188
90,-2456,1640307534.074855000,31.13.82.7
91,66,1640307534.074861000,10.11.121.188
92,-2457,1640307534.078163000,31.13.82.7
93,66,1640307534.078190000,10.11.121.188
94,130,1640307534.081355000,10.11.121.188
95,130,1640307534.082057000,10.11.121.188
96,130,1640307534.082515000,10.11.121.188
97,130,1640307534.082788000,10.11.121.188
98,130,1640307534.083075000,10.11.121.188
99,130,1640307534.083320000,10.11.121.188
100,66,1640307534.083430000,10.11.121.188
101,66,1640307534.083483000,10.11.121.188
102,66,1640307534.083532000,10.11.121.188
103,66,1640307534.083555000,10.11.121.188
104,66,1640307534.083592000,10.11.121.188
105,158,1640307534.083612000,10.11.121.188
106,433,1640307534.083892000,10.11.121.188
107,763,1640307534.083988000,10.11.121.188
108,-66,1640307534.090706000,31.13.82.7
109,-245,1640307534.090717000,31.13.82.7
110,66,1640307534.090725000,10.11.121.188
111,-146,1640307534.091806000,31.13.82.7
112,66,1640307534.091814000,10.11.121.188
113,-66,1640307534.091826000,31.13.82.7
114,-245,1640307534.091835000,31.13.82.7
115,54,1640307534.091854000,10.11.121.188
116,-66,1640307534.091879000,31.13.82.7
117,-146,1640307534.091886000,31.13.82.7
118,54,1640307534.091896000,10.11.121.188
119,97,1640307534.091946000,10.11.121.188
120,-66,1640307534.093388000,31.13.82.7
121,-245,1640307534.093406000,31.13.82.7
122,54,1640307534.093428000,10.11.121.188
123,-146,1640307534.093456000,31.13.82.7
124,54,1640307534.093463000,10.11.121.188
125,-66,1640307534.093467000,31.13.82.7
126,-245,1640307534.093471000,31.13.82.7
127,54,1640307534.093479000,10.11.121.188
128,-146,1640307534.093484000,31.13.82.7
129,54,1640307534.093488000,10.11.121.188
130,-245,1640307534.093492000,31.13.82.7
131,54,1640307534.093497000,10.11.121.188
132,-66,1640307534.093502000,31.13.82.7
133,-146,1640307534.093531000,31.13.82.7
134,54,1640307534.093535000,10.11.121.188
135,-97,1640307534.093539000,31.13.82.7
136,66,1640307534.093548000,10.11.121.188
137,-66,1640307534.093564000,31.13.82.7
138,-66,1640307534.093569000,31.13.82.7
139,54,1640307534.093576000,10.11.121.188
140,-66,1640307534.093585000,31.13.82.7
141,54,1640307534.093590000,10.11.121.188
142,-66,1640307534.093595000,31.13.82.7
143,54,1640307534.093600000,10.11.121.188
144,-66,1640307534.093605000,31.13.82.7
145,54,1640307534.093613000,10.11.121.188
146,-66,1640307534.094460000,31.13.82.7
147,66,1640307534.094483000,10.11.121.188
148,-66,1640307534.094511000,31.13.82.7
149,-101,1640307534.094519000,31.13.82.7
150,66,1640307534.094523000,10.11.121.188
151,-179,1640307534.100911000,31.13.82.7
152,66,1640307534.100935000,10.11.121.188
153,-2802,1640307534.100969000,31.13.82.7
