index,size,time,ip
0,74,1640312849.087284000,10.11.121.188
1,-74,1640312849.094668000,142.250.206.228
2,66,1640312849.094708000,10.11.121.188
3,583,1640312849.095134000,10.11.121.188
4,-66,1640312849.101013000,142.250.206.228
5,-4475,1640312849.140163000,142.250.206.228
6,66,1640312849.140211000,10.11.121.188
7,140,1640312849.152312000,10.11.121.188
8,158,1640312849.152676000,10.11.121.188
9,419,1640312849.160859000,10.11.121.188
10,-928,1640312849.165354000,142.250.206.228
11,66,1640312849.165374000,10.11.121.188
12,-66,1640312849.165395000,142.250.206.228
13,66,1640312849.165400000,10.11.121.188
14,-97,1640312849.165406000,142.250.206.228
15,66,1640312849.165410000,10.11.121.188
16,97,1640312849.165697000,10.11.121.188
17,-66,1640312849.170577000,142.250.206.228
18,-66,1640312849.171646000,142.250.206.228
19,-716,1640312849.271119000,142.250.206.228
20,66,1640312849.271146000,10.11.121.188
21,-1434,1640312849.271193000,142.250.206.228
22,66,1640312849.271206000,10.11.121.188
23,-1434,1640312849.271224000,142.250.206.228
24,66,1640312849.271234000,10.11.121.188
25,-707,1640312849.271247000,142.250.206.228
26,78,1640312849.271261000,10.11.121.188
27,-1434,1640312849.271270000,142.250.206.228
28,66,1640312849.271283000,10.11.121.188
29,-262,1640312849.271293000,142.250.206.228
30,66,1640312849.271321000,10.11.121.188
31,-1434,1640312849.273559000,142.250.206.228
32,66,1640312849.273582000,10.11.121.188
33,-2802,1640312849.273605000,142.250.206.228
34,66,1640312849.273617000,10.11.121.188
35,-5538,1640312849.273629000,142.250.206.228
36,-1434,1640312849.273636000,142.250.206.228
37,66,1640312849.273774000,10.11.121.188
38,-1434,1640312849.281482000,142.250.206.228
39,567,1640312849.290738000,10.11.121.188
40,-4170,1640312849.303815000,142.250.206.228
41,-537,1640312849.303828000,142.250.206.228
42,-1434,1640312849.303830000,142.250.206.228
43,66,1640312849.303925000,10.11.121.188
44,-2802,1640312849.307122000,142.250.206.228
45,66,1640312849.307135000,10.11.121.188
46,-2802,1640312849.317295000,142.250.206.228
47,66,1640312849.317313000,10.11.121.188
48,-5538,1640312849.317514000,142.250.206.228
49,66,1640312849.317523000,10.11.121.188
50,-2802,1640312849.325148000,142.250.206.228
51,66,1640312849.325159000,10.11.121.188
52,-4170,1640312849.325334000,142.250.206.228
53,66,1640312849.325338000,10.11.121.188
54,-1434,1640312849.325344000,142.250.206.228
55,-2614,1640312849.332399000,142.250.206.228
56,66,1640312849.332414000,10.11.121.188
57,-1246,1640312849.332437000,142.250.206.228
58,78,1640312849.332447000,10.11.121.188
59,105,1640312849.344975000,10.11.121.188
60,219,1640312849.346467000,10.11.121.188
61,-66,1640312849.347848000,142.250.206.228
62,-66,1640312849.347862000,142.250.206.228
63,-550,1640312849.351891000,142.250.206.228
64,66,1640312849.351908000,10.11.121.188
65,74,1640312849.354640000,10.11.121.188
66,74,1640312849.354684000,10.11.121.188
67,-1434,1640312849.357447000,142.250.206.228
68,66,1640312849.357460000,10.11.121.188
69,-1434,1640312849.357476000,142.250.206.228
70,66,1640312849.357479000,10.11.121.188
71,158,1640312849.359826000,10.11.121.188
72,-2802,1640312849.359916000,142.250.206.228
73,66,1640312849.359926000,10.11.121.188
74,-2802,1640312849.359939000,142.250.206.228
75,66,1640312849.359955000,10.11.121.188
76,-4170,1640312849.360296000,142.250.206.228
77,66,1640312849.360301000,10.11.121.188
78,-1434,1640312849.360310000,142.250.206.228
79,66,1640312849.360313000,10.11.121.188
80,-2802,1640312849.363222000,142.250.206.228
81,66,1640312849.363236000,10.11.121.188
82,-2802,1640312849.363280000,142.250.206.228
83,66,1640312849.363287000,10.11.121.188
84,-2802,1640312849.363296000,142.250.206.228
85,66,1640312849.363309000,10.11.121.188
86,-4170,1640312849.365897000,142.250.206.228
87,66,1640312849.365907000,10.11.121.188
88,-1434,1640312849.365920000,142.250.206.228
89,66,1640312849.365924000,10.11.121.188
90,-2802,1640312849.365946000,142.250.206.228
91,66,1640312849.365954000,10.11.121.188
92,-2802,1640312849.371989000,142.250.206.228
93,66,1640312849.372011000,10.11.121.188
94,-6906,1640312849.374563000,142.250.206.228
95,66,1640312849.374578000,10.11.121.188
96,-1434,1640312849.374590000,142.250.206.228
97,66,1640312849.374595000,10.11.121.188
98,-2802,1640312849.374642000,142.250.206.228
