index,size,time,ip
0,74,1640314858.133676000,10.11.121.188
1,-66,1640314858.148244000,47.89.66.239
2,54,1640314858.148308000,10.11.121.188
3,571,1640314858.149222000,10.11.121.188
4,-54,1640314858.161027000,47.89.66.239
5,-1434,1640314858.671574000,47.89.66.239
6,54,1640314858.671619000,10.11.121.188
7,-1115,1640314858.671650000,47.89.66.239
8,66,1640314858.671660000,10.11.121.188
9,-1434,1640314858.671667000,47.89.66.239
10,54,1640314858.671677000,10.11.121.188
11,-1115,1640314858.671684000,47.89.66.239
12,66,1640314858.671691000,10.11.121.188
13,-1434,1640314858.671698000,47.89.66.239
14,66,1640314858.671704000,10.11.121.188
15,147,1640314858.685915000,10.11.121.188
16,153,1640314858.686076000,10.11.121.188
17,415,1640314858.687838000,10.11.121.188
18,-1115,1640314858.689681000,47.89.66.239
19,66,1640314858.689696000,10.11.121.188
20,-1434,1640314858.691247000,47.89.66.239
21,66,1640314858.691260000,10.11.121.188
22,-54,1640314858.699644000,47.89.66.239
23,-54,1640314858.699673000,47.89.66.239
24,-54,1640314858.699678000,47.89.66.239
25,-312,1640314858.700761000,47.89.66.239
26,54,1640314858.700787000,10.11.121.188
27,-132,1640314858.707972000,47.89.66.239
28,54,1640314858.707998000,10.11.121.188
29,92,1640314858.708349000,10.11.121.188
30,-1026,1640314858.738293000,47.89.66.239
31,66,1640314858.738329000,10.11.121.188
32,-1434,1640314858.738357000,47.89.66.239
33,54,1640314858.738384000,10.11.121.188
34,-109,1640314858.738392000,47.89.66.239
35,66,1640314858.738398000,10.11.121.188
36,-1434,1640314858.738405000,47.89.66.239
37,54,1640314858.738411000,10.11.121.188
38,-102,1640314858.738417000,47.89.66.239
39,54,1640314858.738425000,10.11.121.188
40,74,1640314858.761191000,10.11.121.188
41,74,1640314858.761586000,10.11.121.188
42,74,1640314858.761619000,10.11.121.188
43,74,1640314858.761639000,10.11.121.188
44,74,1640314858.761657000,10.11.121.188
45,74,1640314858.761676000,10.11.121.188
46,74,1640314858.761694000,10.11.121.188
47,74,1640314858.761712000,10.11.121.188
48,-66,1640314858.772509000,128.1.157.252
49,54,1640314858.772529000,10.11.121.188
50,571,1640314858.772781000,10.11.121.188
51,-66,1640314858.774174000,128.1.157.252
52,54,1640314858.774241000,10.11.121.188
53,-66,1640314858.774278000,128.1.157.252
54,54,1640314858.774299000,10.11.121.188
55,-66,1640314858.774314000,128.1.157.252
56,54,1640314858.774333000,10.11.121.188
57,-66,1640314858.774343000,128.1.157.252
58,54,1640314858.774359000,10.11.121.188
59,-66,1640314858.774371000,128.1.157.252
60,54,1640314858.774389000,10.11.121.188
61,-66,1640314858.774400000,128.1.157.252
62,54,1640314858.774420000,10.11.121.188
63,-66,1640314858.774443000,128.1.157.252
64,54,1640314858.774462000,10.11.121.188
65,571,1640314858.774763000,10.11.121.188
66,571,1640314858.775213000,10.11.121.188
67,571,1640314858.775613000,10.11.121.188
68,571,1640314858.775990000,10.11.121.188
69,571,1640314858.776303000,10.11.121.188
70,571,1640314858.776621000,10.11.121.188
71,571,1640314858.777071000,10.11.121.188
72,-54,1640314858.796762000,128.1.157.252
73,-54,1640314858.796787000,128.1.157.252
74,-54,1640314858.796791000,128.1.157.252
75,-54,1640314858.796796000,128.1.157.252
76,-54,1640314858.796800000,128.1.157.252
77,-54,1640314858.796804000,128.1.157.252
78,-54,1640314858.796808000,128.1.157.252
79,-54,1640314858.796812000,128.1.157.252
80,-1434,1640314858.805090000,128.1.157.252
81,54,1640314858.805135000,10.11.121.188
82,-910,1640314858.814309000,128.1.157.252
83,66,1640314858.814338000,10.11.121.188
84,-3670,1640314858.814366000,128.1.157.252
85,54,1640314858.814392000,10.11.121.188
86,-1434,1640314858.814406000,128.1.157.252
87,54,1640314858.814419000,10.11.121.188
88,-1434,1640314858.814430000,128.1.157.252
89,54,1640314858.814444000,10.11.121.188
90,134,1640314858.821260000,10.11.121.188
91,-2290,1640314858.821365000,128.1.157.252
92,54,1640314858.821380000,10.11.121.188
93,-1434,1640314858.821396000,128.1.157.252
94,54,1640314858.821406000,10.11.121.188
95,-910,1640314858.821517000,128.1.157.252
96,66,1640314858.821528000,10.11.121.188
97,134,1640314858.821696000,10.11.121.188
98,134,1640314858.822102000,10.11.121.188
99,146,1640314858.822438000,10.11.121.188
100,54,1640314858.822613000,10.11.121.188
101,146,1640314858.822728000,10.11.121.188
102,54,1640314858.822802000,10.11.121.188
103,66,1640314858.822853000,10.11.121.188
104,54,1640314858.822910000,10.11.121.188
105,54,1640314858.822948000,10.11.121.188
106,367,1640314858.823102000,10.11.121.188
107,-1434,1640314858.831160000,128.1.157.252
108,54,1640314858.831190000,10.11.121.188
109,881,1640314858.849739000,10.11.121.188
110,-3670,1640314858.852201000,128.1.157.252
111,54,1640314858.852245000,10.11.121.188
112,-1434,1640314858.852283000,128.1.157.252
113,54,1640314858.852294000,10.11.121.188
114,-910,1640314858.852304000,128.1.157.252
115,54,1640314858.852315000,10.11.121.188
116,367,1640314858.860983000,10.11.121.188
117,54,1640314858.861023000,10.11.121.188
118,-3670,1640314858.873044000,128.1.157.252
119,54,1640314858.873094000,10.11.121.188
120,-1434,1640314858.873131000,128.1.157.252
121,54,1640314858.873161000,10.11.121.188
122,-1434,1640314858.873182000,128.1.157.252
123,54,1640314858.873213000,10.11.121.188
124,134,1640314858.874133000,10.11.121.188
125,146,1640314858.874392000,10.11.121.188
126,-1434,1640314858.876255000,128.1.157.252
127,54,1640314858.876287000,10.11.121.188
128,410,1640314858.883753000,10.11.121.188
129,-910,1640314858.887926000,128.1.157.252
130,54,1640314858.887957000,10.11.121.188
131,-910,1640314858.887987000,128.1.157.252
132,66,1640314858.888006000,10.11.121.188
133,-910,1640314858.888015000,128.1.157.252
134,54,1640314858.888023000,10.11.121.188
135,-910,1640314858.888030000,128.1.157.252
136,54,1640314858.888037000,10.11.121.188
137,-910,1640314858.888044000,128.1.157.252
138,54,1640314858.888050000,10.11.121.188
139,-910,1640314858.888057000,128.1.157.252
140,54,1640314858.888063000,10.11.121.188
141,-910,1640314858.888069000,128.1.157.252
142,66,1640314858.888076000,10.11.121.188
143,-333,1640314858.888083000,128.1.157.252
144,54,1640314858.888120000,10.11.121.188
145,-333,1640314858.888174000,128.1.157.252
146,54,1640314858.888191000,10.11.121.188
