index,size,time,ip
0,74,1640312671.655536000,10.11.121.188
1,-74,1640312671.806939000,103.102.166.224
2,66,1640312671.807003000,10.11.121.188
3,583,1640312671.807918000,10.11.121.188
4,-3913,1640312671.890414000,103.102.166.224
5,66,1640312671.890462000,10.11.121.188
6,146,1640312671.902410000,10.11.121.188
7,158,1640312671.902574000,10.11.121.188
8,421,1640312671.902969000,10.11.121.188
9,-337,1640312671.979708000,103.102.166.224
10,66,1640312671.979740000,10.11.121.188
11,-353,1640312671.979780000,103.102.166.224
12,66,1640312671.979789000,10.11.121.188
13,-112,1640312671.979798000,103.102.166.224
14,66,1640312671.979807000,10.11.121.188
15,-2802,1640312671.979815000,103.102.166.224
16,66,1640312671.979820000,10.11.121.188
17,97,1640312671.980184000,10.11.121.188
18,-5538,1640312671.983166000,103.102.166.224
19,66,1640312671.983189000,10.11.121.188
20,-5538,1640312671.985649000,103.102.166.224
21,66,1640312671.985673000,10.11.121.188
22,-4170,1640312672.130889000,103.102.166.224
23,66,1640312672.130916000,10.11.121.188
24,-1434,1640312672.133956000,103.102.166.224
25,66,1640312672.133985000,10.11.121.188
26,-766,1640312672.135883000,103.102.166.224
27,66,1640312672.135903000,10.11.121.188
28,-66,1640312672.135932000,103.102.166.224
29,368,1640312672.151301000,10.11.121.188
30,158,1640312672.157481000,10.11.121.188
31,-66,1640312672.224928000,103.102.166.224
32,-1434,1640312672.228093000,103.102.166.224
33,-5538,1640312672.231823000,103.102.166.224
34,66,1640312672.231832000,10.11.121.188
35,-1434,1640312672.232151000,103.102.166.224
36,-2802,1640312672.261548000,103.102.166.224
37,66,1640312672.261563000,10.11.121.188
38,-2802,1640312672.261581000,103.102.166.224
39,66,1640312672.261622000,10.11.121.188
40,-1434,1640312672.268499000,103.102.166.224
41,-1434,1640312672.274068000,103.102.166.224
42,66,1640312672.274074000,10.11.121.188
43,-2802,1640312672.274085000,103.102.166.224
44,-2802,1640312672.274099000,103.102.166.224
45,66,1640312672.274112000,10.11.121.188
46,-2802,1640312672.280286000,103.102.166.224
47,66,1640312672.280298000,10.11.121.188
48,-2802,1640312672.291091000,103.102.166.224
49,66,1640312672.291102000,10.11.121.188
50,-2802,1640312672.291117000,103.102.166.224
51,-2802,1640312672.291126000,103.102.166.224
52,66,1640312672.291157000,10.11.121.188
53,-2309,1640312672.291181000,103.102.166.224
54,66,1640312672.291185000,10.11.121.188
55,168,1640312672.603965000,10.11.121.188
56,158,1640312672.605215000,10.11.121.188
57,161,1640312672.616140000,10.11.121.188
58,-5538,1640312672.683203000,103.102.166.224
59,66,1640312672.683392000,10.11.121.188
60,-2802,1640312672.684581000,103.102.166.224
61,66,1640312672.684607000,10.11.121.188
62,-1130,1640312672.689439000,103.102.166.224
63,-81,1640312672.696618000,103.102.166.224
64,78,1640312672.696648000,10.11.121.188
65,-1434,1640312672.696674000,103.102.166.224
66,66,1640312672.696698000,10.11.121.188
67,-2919,1640312672.699863000,103.102.166.224
68,66,1640312672.699894000,10.11.121.188
69,168,1640312672.705422000,10.11.121.188
70,-786,1640312672.896472000,103.102.166.224
71,78,1640312672.896490000,10.11.121.188
72,-1434,1640312672.896503000,103.102.166.224
73,66,1640312672.896516000,10.11.121.188
