index,size,time,ip
0,74,1640312582.406211000,10.11.121.188
1,-74,1640312582.489955000,202.165.107.49
2,66,1640312582.490023000,10.11.121.188
3,583,1640312582.490905000,10.11.121.188
4,-66,1640312582.597693000,202.165.107.49
5,-2802,1640312582.597720000,202.165.107.49
6,66,1640312582.597737000,10.11.121.188
7,-1192,1640312582.606752000,202.165.107.49
8,66,1640312582.606804000,10.11.121.188
9,130,1640312582.621662000,10.11.121.188
10,158,1640312582.621847000,10.11.121.188
11,418,1640312582.623751000,10.11.121.188
12,-353,1640312582.705948000,202.165.107.49
13,66,1640312582.705986000,10.11.121.188
14,-353,1640312582.706032000,202.165.107.49
15,66,1640312582.706040000,10.11.121.188
16,-118,1640312582.706049000,202.165.107.49
17,66,1640312582.706054000,10.11.121.188
18,97,1640312582.706401000,10.11.121.188
19,-66,1640312582.745236000,202.165.107.49
20,-66,1640312582.797364000,202.165.107.49
21,-1388,1640312583.532067000,202.165.107.49
22,66,1640312583.532108000,10.11.121.188
23,-288,1640312583.532131000,202.165.107.49
24,66,1640312583.532136000,10.11.121.188
25,-1388,1640312583.532143000,202.165.107.49
26,66,1640312583.532150000,10.11.121.188
27,-240,1640312583.532155000,202.165.107.49
28,66,1640312583.532162000,10.11.121.188
29,-1388,1640312583.532168000,202.165.107.49
30,66,1640312583.532173000,10.11.121.188
31,-412,1640312583.532177000,202.165.107.49
32,66,1640312583.532181000,10.11.121.188
33,-1388,1640312583.532186000,202.165.107.49
34,66,1640312583.532190000,10.11.121.188
35,-239,1640312583.532194000,202.165.107.49
36,66,1640312583.532199000,10.11.121.188
37,-1388,1640312583.532212000,202.165.107.49
38,66,1640312583.532254000,10.11.121.188
39,-1388,1640312583.608735000,202.165.107.49
40,66,1640312583.608764000,10.11.121.188
41,-1434,1640312583.608807000,202.165.107.49
42,66,1640312583.608818000,10.11.121.188
43,-1388,1640312583.608835000,202.165.107.49
44,78,1640312583.608845000,10.11.121.188
45,74,1640312583.609661000,10.11.121.188
46,-2802,1640312583.638520000,202.165.107.49
47,66,1640312583.638550000,10.11.121.188
48,-11010,1640312583.646009000,202.165.107.49
49,66,1640312583.646036000,10.11.121.188
50,-2802,1640312583.651661000,202.165.107.49
51,66,1640312583.651684000,10.11.121.188
52,-74,1640312583.657038000,119.161.5.252
53,66,1640312583.657099000,10.11.121.188
54,-5538,1640312583.657138000,202.165.107.49
55,66,1640312583.657150000,10.11.121.188
56,583,1640312583.657516000,10.11.121.188
57,-66,1640312583.679668000,119.161.5.252
58,-1162,1640312583.679692000,119.161.5.252
59,66,1640312583.679709000,10.11.121.188
60,-2802,1640312583.679739000,119.161.5.252
61,66,1640312583.679763000,10.11.121.188
62,-1434,1640312583.679784000,119.161.5.252
63,66,1640312583.679798000,10.11.121.188
64,130,1640312583.686537000,10.11.121.188
65,158,1640312583.686833000,10.11.121.188
66,366,1640312583.688930000,10.11.121.188
67,-353,1640312583.718519000,119.161.5.252
68,66,1640312583.718557000,10.11.121.188
69,-353,1640312583.718602000,119.161.5.252
70,66,1640312583.718615000,10.11.121.188
71,-118,1640312583.718630000,119.161.5.252
72,66,1640312583.718642000,10.11.121.188
73,-1434,1640312583.718653000,202.165.107.49
74,66,1640312583.718664000,10.11.121.188
75,97,1640312583.718923000,10.11.121.188
76,-1388,1640312583.720985000,119.161.5.252
77,66,1640312583.721046000,10.11.121.188
78,-1388,1640312583.721078000,119.161.5.252
79,66,1640312583.721091000,10.11.121.188
80,-4170,1640312583.721106000,202.165.107.49
81,66,1640312583.721120000,10.11.121.188
82,-2802,1640312583.721133000,119.161.5.252
83,66,1640312583.721148000,10.11.121.188
84,-4170,1640312583.748470000,119.161.5.252
85,66,1640312583.748499000,10.11.121.188
86,-1434,1640312583.748545000,202.165.107.49
87,66,1640312583.748559000,10.11.121.188
88,-4170,1640312583.754850000,202.165.107.49
89,66,1640312583.754880000,10.11.121.188
90,-1434,1640312583.754925000,202.165.107.49
91,66,1640312583.754936000,10.11.121.188
92,-4170,1640312583.757282000,202.165.107.49
93,66,1640312583.757315000,10.11.121.188
94,-4170,1640312583.757352000,202.165.107.49
95,66,1640312583.757367000,10.11.121.188
96,-1434,1640312583.773821000,202.165.107.49
97,66,1640312583.773832000,10.11.121.188
98,-4170,1640312583.773849000,202.165.107.49
99,66,1640312583.773853000,10.11.121.188
100,-2802,1640312583.774023000,202.165.107.49
101,66,1640312583.774029000,10.11.121.188
102,245,1640312583.776120000,10.11.121.188
103,-1434,1640312583.776287000,202.165.107.49
104,66,1640312583.776296000,10.11.121.188
105,-1434,1640312583.776305000,119.161.5.252
106,147,1640312583.783342000,10.11.121.188
107,-2802,1640312583.783353000,119.161.5.252
108,-2802,1640312583.783359000,202.165.107.49
109,66,1640312583.783368000,10.11.121.188
110,66,1640312583.783372000,10.11.121.188
111,168,1640312583.784080000,10.11.121.188
112,610,1640312583.784241000,10.11.121.188
113,-2802,1640312583.795634000,119.161.5.252
114,1224,1640312583.795645000,10.11.121.188
115,-5538,1640312583.795661000,202.165.107.49
116,66,1640312583.795665000,10.11.121.188
117,-5538,1640312583.795694000,119.161.5.252
118,66,1640312583.795708000,10.11.121.188
119,-2802,1640312583.814830000,119.161.5.252
120,66,1640312583.814864000,10.11.121.188
121,-2802,1640312583.817302000,119.161.5.252
122,66,1640312583.817325000,10.11.121.188
123,-1434,1640312583.817364000,119.161.5.252
124,-4170,1640312583.817376000,202.165.107.49
125,66,1640312583.817390000,10.11.121.188
126,-2802,1640312583.817543000,202.165.107.49
127,66,1640312583.817560000,10.11.121.188
128,-2802,1640312583.820965000,202.165.107.49
129,66,1640312583.820992000,10.11.121.188
130,-2802,1640312583.826821000,119.161.5.252
131,66,1640312583.826830000,10.11.121.188
132,861,1640312583.847756000,10.11.121.188
133,-5538,1640312583.851436000,119.161.5.252
134,66,1640312583.851488000,10.11.121.188
135,-2802,1640312583.857430000,202.165.107.49
136,66,1640312583.857439000,10.11.121.188
137,-5538,1640312583.878346000,202.165.107.49
138,66,1640312583.878358000,10.11.121.188
139,-66,1640312583.891751000,119.161.5.252
140,-2802,1640312583.891762000,202.165.107.49
141,66,1640312583.891769000,10.11.121.188
142,-2802,1640312583.891784000,202.165.107.49
143,66,1640312583.891790000,10.11.121.188
144,-2802,1640312583.927715000,202.165.107.49
145,66,1640312583.927727000,10.11.121.188
146,-2802,1640312583.927744000,202.165.107.49
147,66,1640312583.927755000,10.11.121.188
148,-5538,1640312583.937153000,202.165.107.49
149,66,1640312583.937169000,10.11.121.188
150,-2802,1640312583.947835000,202.165.107.49
151,66,1640312583.947850000,10.11.121.188
152,102,1640312583.960739000,10.11.121.188
153,138,1640312583.960772000,10.11.121.188
154,174,1640312583.964055000,10.11.121.188
155,191,1640312583.965121000,10.11.121.188
156,240,1640312583.965561000,10.11.121.188
157,-8274,1640312583.982862000,202.165.107.49
158,66,1640312583.982877000,10.11.121.188
159,-2802,1640312584.007823000,202.165.107.49
160,66,1640312584.007842000,10.11.121.188
161,-4170,1640312584.013324000,202.165.107.49
162,66,1640312584.013349000,10.11.121.188
163,-1434,1640312584.013388000,119.161.5.252
164,266,1640312584.017663000,10.11.121.188
165,-2802,1640312584.021225000,119.161.5.252
166,66,1640312584.021242000,10.11.121.188
167,-2802,1640312584.021283000,119.161.5.252
168,66,1640312584.021295000,10.11.121.188
169,138,1640312584.032035000,10.11.121.188
170,-1434,1640312584.051365000,119.161.5.252
171,-1434,1640312584.051402000,202.165.107.49
172,66,1640312584.051423000,10.11.121.188
173,-5538,1640312584.053848000,202.165.107.49
174,66,1640312584.053875000,10.11.121.188
175,266,1640312584.057462000,10.11.121.188
176,-2802,1640312584.057571000,202.165.107.49
177,66,1640312584.057585000,10.11.121.188
178,467,1640312584.057718000,10.11.121.188
179,-1434,1640312584.058364000,202.165.107.49
180,66,1640312584.058374000,10.11.121.188
181,-1434,1640312584.058388000,202.165.107.49
182,66,1640312584.058398000,10.11.121.188
183,534,1640312584.060152000,10.11.121.188
184,139,1640312584.064137000,10.11.121.188
185,345,1640312584.064313000,10.11.121.188
186,-2802,1640312584.066014000,202.165.107.49
187,66,1640312584.066028000,10.11.121.188
188,-1434,1640312584.078535000,202.165.107.49
189,66,1640312584.078544000,10.11.121.188
190,240,1640312584.080875000,10.11.121.188
191,-2802,1640312584.087667000,119.161.5.252
192,66,1640312584.087699000,10.11.121.188
193,-1434,1640312584.087710000,119.161.5.252
194,-1434,1640312584.087714000,202.165.107.49
195,-4170,1640312584.087719000,119.161.5.252
196,66,1640312584.087724000,10.11.121.188
197,-2802,1640312584.087759000,119.161.5.252
198,66,1640312584.087763000,10.11.121.188
199,-4170,1640312584.113858000,119.161.5.252
200,66,1640312584.113881000,10.11.121.188
201,-2802,1640312584.113897000,119.161.5.252
202,66,1640312584.113899000,10.11.121.188
203,-2802,1640312584.117294000,119.161.5.252
204,66,1640312584.117303000,10.11.121.188
205,66,1640312584.128879000,10.11.121.188
206,-1434,1640312584.139075000,119.161.5.252
207,102,1640312584.140729000,10.11.121.188
208,138,1640312584.140868000,10.11.121.188
209,-6906,1640312584.150133000,119.161.5.252
210,66,1640312584.150158000,10.11.121.188
211,-4170,1640312584.160925000,119.161.5.252
212,66,1640312584.160938000,10.11.121.188
213,-1434,1640312584.163570000,119.161.5.252
214,-1434,1640312584.188188000,119.161.5.252
215,66,1640312584.188214000,10.11.121.188
216,-4170,1640312584.188264000,119.161.5.252
217,1434,1640312584.188299000,10.11.121.188
218,366,1640312584.188309000,10.11.121.188
219,-2802,1640312584.196602000,119.161.5.252
220,66,1640312584.196628000,10.11.121.188
221,-1434,1640312584.196675000,119.161.5.252
222,-2802,1640312584.216734000,119.161.5.252
223,66,1640312584.216762000,10.11.121.188
224,-1434,1640312584.216808000,202.165.107.49
225,66,1640312584.216825000,10.11.121.188
226,-4170,1640312584.225058000,202.165.107.49
227,66,1640312584.225087000,10.11.121.188
228,-66,1640312584.225108000,202.165.107.49
229,-66,1640312584.235480000,119.161.5.252
230,-4170,1640312584.235495000,202.165.107.49
231,66,1640312584.235505000,10.11.121.188
232,-1434,1640312584.236738000,202.165.107.49
233,66,1640312584.236747000,10.11.121.188
234,-4170,1640312584.241675000,202.165.107.49
235,66,1640312584.241690000,10.11.121.188
236,-1434,1640312584.260669000,202.165.107.49
237,66,1640312584.260684000,10.11.121.188
238,-2802,1640312584.260709000,202.165.107.49
239,66,1640312584.260714000,10.11.121.188
240,-1434,1640312584.260726000,202.165.107.49
241,66,1640312584.260730000,10.11.121.188
242,-1434,1640312584.263133000,202.165.107.49
243,66,1640312584.263144000,10.11.121.188
244,-2802,1640312584.263159000,202.165.107.49
245,66,1640312584.263163000,10.11.121.188
246,154,1640312584.266676000,10.11.121.188
247,-1434,1640312584.270135000,202.165.107.49
248,66,1640312584.270147000,10.11.121.188
249,102,1640312584.283742000,10.11.121.188
250,102,1640312584.286618000,10.11.121.188
251,-2802,1640312584.293303000,202.165.107.49
252,66,1640312584.293320000,10.11.121.188
253,-1434,1640312584.293341000,202.165.107.49
254,66,1640312584.293345000,10.11.121.188
255,-4170,1640312584.302336000,202.165.107.49
256,66,1640312584.302352000,10.11.121.188
257,-1434,1640312584.302381000,202.165.107.49
258,66,1640312584.302393000,10.11.121.188
259,-66,1640312584.319372000,119.161.5.252
260,-1434,1640312584.319383000,202.165.107.49
261,66,1640312584.319391000,10.11.121.188
262,-2802,1640312584.319410000,202.165.107.49
263,66,1640312584.319414000,10.11.121.188
264,-1434,1640312584.321694000,202.165.107.49
265,66,1640312584.321700000,10.11.121.188
266,-941,1640312584.321709000,202.165.107.49
267,78,1640312584.321716000,10.11.121.188
268,-1434,1640312584.321722000,202.165.107.49
269,66,1640312584.321727000,10.11.121.188
270,-2802,1640312584.329582000,119.161.5.252
271,66,1640312584.329622000,10.11.121.188
272,-4170,1640312584.332115000,119.161.5.252
273,66,1640312584.332134000,10.11.121.188
274,-1434,1640312584.343146000,119.161.5.252
275,-2802,1640312584.343166000,119.161.5.252
276,66,1640312584.343183000,10.11.121.188
277,-66,1640312584.353584000,202.165.107.49
278,-1388,1640312584.353596000,202.165.107.49
279,66,1640312584.353607000,10.11.121.188
280,-2802,1640312584.353621000,119.161.5.252
281,66,1640312584.353624000,10.11.121.188
282,-1388,1640312584.356184000,202.165.107.49
283,66,1640312584.356198000,10.11.121.188
284,-2710,1640312584.356219000,202.165.107.49
285,66,1640312584.357264000,10.11.121.188
286,133,1640312584.359794000,10.11.121.188
287,142,1640312584.359839000,10.11.121.188
288,1434,1640312584.361547000,10.11.121.188
289,161,1640312584.361559000,10.11.121.188
290,-1434,1640312584.361611000,202.165.107.49
291,431,1640312584.362024000,10.11.121.188
292,533,1640312584.362587000,10.11.121.188
293,198,1640312584.362930000,10.11.121.188
294,277,1640312584.370341000,10.11.121.188
295,-4170,1640312584.370424000,202.165.107.49
296,66,1640312584.370457000,10.11.121.188
297,-1434,1640312584.370587000,202.165.107.49
298,-1434,1640312584.373574000,202.165.107.49
299,66,1640312584.373581000,10.11.121.188
300,-2802,1640312584.390182000,119.161.5.252
301,66,1640312584.390245000,10.11.121.188
302,-66,1640312584.390282000,119.161.5.252
303,-2802,1640312584.417631000,202.165.107.49
304,66,1640312584.417811000,10.11.121.188
305,-66,1640312584.438139000,119.161.5.252
