index,size,time,ip
0,74,1640312417.726720000,10.11.121.188
1,-74,1640312417.748009000,172.217.161.206
2,66,1640312417.748058000,10.11.121.188
3,583,1640312417.749015000,10.11.121.188
4,-66,1640312417.791568000,172.217.161.206
5,-2802,1640312417.808842000,172.217.161.206
6,66,1640312417.808893000,10.11.121.188
7,-2802,1640312417.815535000,172.217.161.206
8,66,1640312417.815563000,10.11.121.188
9,-1371,1640312417.815607000,172.217.161.206
10,66,1640312417.815621000,10.11.121.188
11,140,1640312417.826767000,10.11.121.188
12,158,1640312417.827053000,10.11.121.188
13,420,1640312417.836816000,10.11.121.188
14,-976,1640312417.863778000,172.217.161.206
15,66,1640312417.863796000,10.11.121.188
16,-97,1640312417.863816000,172.217.161.206
17,66,1640312417.863818000,10.11.121.188
18,-66,1640312417.863821000,172.217.161.206
19,97,1640312417.863968000,10.11.121.188
20,-66,1640312417.895853000,172.217.161.206
21,-1097,1640312418.286889000,172.217.161.206
22,66,1640312418.286934000,10.11.121.188
23,-1434,1640312418.286968000,172.217.161.206
24,66,1640312418.286977000,10.11.121.188
25,-554,1640312418.286986000,172.217.161.206
26,78,1640312418.286996000,10.11.121.188
27,-1434,1640312418.291970000,172.217.161.206
28,66,1640312418.292003000,10.11.121.188
29,-1434,1640312418.292040000,172.217.161.206
30,66,1640312418.292053000,10.11.121.188
31,-2802,1640312418.292069000,172.217.161.206
32,66,1640312418.292081000,10.11.121.188
33,-2802,1640312418.292092000,172.217.161.206
34,66,1640312418.292139000,10.11.121.188
35,-2802,1640312418.292156000,172.217.161.206
36,66,1640312418.292173000,10.11.121.188
37,-2802,1640312418.294381000,172.217.161.206
38,66,1640312418.294404000,10.11.121.188
39,-1165,1640312418.294435000,172.217.161.206
40,66,1640312418.294447000,10.11.121.188
41,-1434,1640312418.294460000,172.217.161.206
42,66,1640312418.294471000,10.11.121.188
43,-1434,1640312418.294547000,172.217.161.206
44,66,1640312418.294562000,10.11.121.188
45,-1434,1640312418.294575000,172.217.161.206
46,66,1640312418.294584000,10.11.121.188
47,-1434,1640312418.308228000,172.217.161.206
48,66,1640312418.308238000,10.11.121.188
49,-1434,1640312418.308249000,172.217.161.206
50,66,1640312418.308253000,10.11.121.188
51,-1434,1640312418.308376000,172.217.161.206
52,66,1640312418.308381000,10.11.121.188
53,-2802,1640312418.308386000,172.217.161.206
54,-444,1640312418.308388000,172.217.161.206
55,-1097,1640312418.308390000,172.217.161.206
56,78,1640312418.308393000,10.11.121.188
57,317,1640312418.309581000,10.11.121.188
58,401,1640312418.309829000,10.11.121.188
59,-4170,1640312418.375853000,172.217.161.206
60,66,1640312418.375904000,10.11.121.188
61,-2802,1640312418.375946000,172.217.161.206
62,66,1640312418.375961000,10.11.121.188
63,-2802,1640312418.375976000,172.217.161.206
64,66,1640312418.375988000,10.11.121.188
65,-2802,1640312418.375999000,172.217.161.206
66,-1434,1640312418.376017000,172.217.161.206
67,66,1640312418.376025000,10.11.121.188
68,66,1640312418.376060000,10.11.121.188
69,401,1640312418.380886000,10.11.121.188
70,-1434,1640312418.381017000,172.217.161.206
71,66,1640312418.381049000,10.11.121.188
72,-2802,1640312418.381074000,172.217.161.206
73,66,1640312418.381089000,10.11.121.188
74,-1434,1640312418.381102000,172.217.161.206
75,66,1640312418.381118000,10.11.121.188
76,-1434,1640312418.381584000,172.217.161.206
77,66,1640312418.381594000,10.11.121.188
78,-1434,1640312418.381609000,172.217.161.206
79,66,1640312418.381615000,10.11.121.188
